1'裁判哨响！                   1'比赛第1分钟就呈现开放性
1'上半场开始了！                   1'比赛第1分钟就呈现开放性
4'斯特林右侧强行突破！                   1'比赛第1分钟就呈现开放性
4'和防守球员撞到一起！                   1'比赛第1分钟就呈现开放性
4'缓了好一会才起来！                   1'比赛第1分钟就呈现开放性
17'克拉马里奇点球破门！！                   16'霍芬海姆第16分钟取得领先，舒尔茨外围射门被封堵，拉波尔特禁区内拉倒许布纳，克拉马里奇主罚点球命中
17'霍芬海姆取得领先！                   16'霍芬海姆第16分钟取得领先，舒尔茨外围射门被封堵，拉波尔特禁区内拉倒许布纳，克拉马里奇主罚点球命中
19'曼城左侧进攻拿到角球1                   16'霍芬海姆第16分钟取得领先，舒尔茨外围射门被封堵，拉波尔特禁区内拉倒许布纳，克拉马里奇主罚点球命中
19'角球给到前点！                   16'霍芬海姆第16分钟取得领先，舒尔茨外围射门被封堵，拉波尔特禁区内拉倒许布纳，克拉马里奇主罚点球命中
19'热苏斯头球攻门！                   16'霍芬海姆第16分钟取得领先，舒尔茨外围射门被封堵，拉波尔特禁区内拉倒许布纳，克拉马里奇主罚点球命中
19'碰！                   16'霍芬海姆第16分钟取得领先，舒尔茨外围射门被封堵，拉波尔特禁区内拉倒许布纳，克拉马里奇主罚点球命中
34'奥塔门迪任意球打门！                   34'第34分钟，京多安左路任意球传射，奥塔门迪近距离头球攻门击中横梁
34'打中横梁弹出啊！                   34'第34分钟，京多安左路任意球传射，奥塔门迪近距离头球攻门击中横梁
34'球被解围出去1                   34'第34分钟，京多安左路任意球传射，奥塔门迪近距离头球攻门击中横梁
37'斯特林右侧突破！                   34'第34分钟，京多安左路任意球传射，奥塔门迪近距离头球攻门击中横梁
37'传中球被鲍曼没收了1                   34'第34分钟，京多安左路任意球传射，奥塔门迪近距离头球攻门击中横梁
50'曼城左侧进攻拿到角球！                   49'曼城第49分钟险些反超比分，萨内角球开至远点，拉波尔特小禁区边缘头球攻门被鲍曼勉强挡出，拉波尔特小禁区右侧再射却击中右侧立柱弹出
50'给后点1                   49'曼城第49分钟险些反超比分，萨内角球开至远点，拉波尔特小禁区边缘头球攻门被鲍曼勉强挡出，拉波尔特小禁区右侧再射却击中右侧立柱弹出
50'打门被鲍曼扑出！                   49'曼城第49分钟险些反超比分，萨内角球开至远点，拉波尔特小禁区边缘头球攻门被鲍曼勉强挡出，拉波尔特小禁区右侧再射却击中右侧立柱弹出
52'京多安后场得球推进！                   49'曼城第49分钟险些反超比分，萨内角球开至远点，拉波尔特小禁区边缘头球攻门被鲍曼勉强挡出，拉波尔特小禁区右侧再射却击中右侧立柱弹出
52'被乔灵顿绊倒犯规！                   49'曼城第49分钟险些反超比分，萨内角球开至远点，拉波尔特小禁区边缘头球攻门被鲍曼勉强挡出，拉波尔特小禁区右侧再射却击中右侧立柱弹出
55'曼城左侧进攻拿到角球！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
55'角球短传出来！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
55'传中到后点！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
55'奥塔门迪头球顶高了！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
55'霍芬海姆左侧进攻拿到角球1                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
56'曼城后场断球反击！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
56'斯特林突破禁区！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
56'横传萨内！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
56'没有打门1                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
56'横传贝尔纳多-席尔瓦！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
56'推射被扑出底线！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
57'角球给后点！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
57'奥塔门迪头球偏出底线！                   55'第55分钟，曼城反击3打1机会，斯特林斜传，萨内再横敲，但贝尔纳多射门被鲍曼封堵
61'曼城中路反击！                   61'曼城第61分钟反超，斯特林反击中斜传，萨内突破至小禁区边缘单刀破门，2-1
61'斯特林弧顶得球！                   61'曼城第61分钟反超，斯特林反击中斜传，萨内突破至小禁区边缘单刀破门，2-1
61'斜传禁区中路！                   61'曼城第61分钟反超，斯特林反击中斜传，萨内突破至小禁区边缘单刀破门，2-1
62'萨内得球左脚低射！！                   61'曼城第61分钟反超，斯特林反击中斜传，萨内突破至小禁区边缘单刀破门，2-1
62'球进了！！！                   61'曼城第61分钟反超，斯特林反击中斜传，萨内突破至小禁区边缘单刀破门，2-1
62'曼城反超了比分！                   61'曼城第61分钟反超，斯特林反击中斜传，萨内突破至小禁区边缘单刀破门，2-1
64'曼城换人了！                   61'曼城第61分钟反超，斯特林反击中斜传，萨内突破至小禁区边缘单刀破门，2-1
64'德尔夫换下津琴科！                   61'曼城第61分钟反超，斯特林反击中斜传，萨内突破至小禁区边缘单刀破门，2-1
84'京多安中路直传1                   84'第84分钟，福登右路传中，斯特林10码处凌空扫射偏出左侧立柱
84'斯特林分球失误了！                   84'第84分钟，福登右路传中，斯特林10码处凌空扫射偏出左侧立柱
85'福登右侧突破传中！                   84'第84分钟，福登右路传中，斯特林10码处凌空扫射偏出左侧立柱
85'斯特林中路包抄！                   84'第84分钟，福登右路传中，斯特林10码处凌空扫射偏出左侧立柱
85'扫射偏出左侧底线！                   84'第84分钟，福登右路传中，斯特林10码处凌空扫射偏出左侧立柱
85'曼城换人了！                   84'第84分钟，福登右路传中，斯特林10码处凌空扫射偏出左侧立柱
85'贝尔纳多-席尔瓦被换下！                   84'第84分钟，福登右路传中，斯特林10码处凌空扫射偏出左侧立柱
86'孔帕尼上来！                   84'第84分钟，福登右路传中，斯特林10码处凌空扫射偏出左侧立柱
