2'弗兰德为霍芬海姆在左路,赢得一个任意球.                   1'第1分钟，罗伊斯没有停好过顶球，否则将获单刀机会
2'多特蒙德球员苏博蒂奇拼抢犯规,对手获得控球权.                   1'第1分钟，罗伊斯没有停好过顶球，否则将获单刀机会
3'施梅尔策将球处理出底线,霍芬海姆获得角球.                   1'第1分钟，罗伊斯没有停好过顶球，否则将获单刀机会
3'霍芬海姆球员沙尔大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是埃米尔.                   1'第1分钟，罗伊斯没有停好过顶球，否则将获单刀机会
3'霍芬海姆球员弗兰德小禁区右侧左脚射门,被防守球员封堵.给他传球的是沙尔.                   1'第1分钟，罗伊斯没有停好过顶球，否则将获单刀机会
3'皮什切克将球处理出底线,霍芬海姆获得角球.                   1'第1分钟，罗伊斯没有停好过顶球，否则将获单刀机会
25'射门!!!霍芬海姆球员弗兰德大禁区外左脚射门,被对方守门员横身扑出.给他传球的是鲁迪.                   25'霍村第25分钟取得领先
25'进球啦！！！霍芬海姆球员鲁迪大禁区中央右脚射门,球从中路飞进球门,球进了! 多特蒙德 0-1 霍芬海姆.                   25'霍村第25分钟取得领先
27'霍芬海姆球员鲁迪拼抢犯规,对手获得控球权.                   25'霍村第25分钟取得领先
27'香川真司为多特蒙德在右路,赢得一个任意球.                   25'霍村第25分钟取得领先
49'射门!!!霍芬海姆球员尤他小禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是埃米尔.                   49'仅过4分钟，乌特反击传球，福兰德禁区内扣过后卫，左脚大力抽射远角，比尔基托出横梁
49'多特蒙德球员京多安一脚直塞球给姆希塔良,但是边裁举旗显示后者已经越位.                   49'仅过4分钟，乌特反击传球，福兰德禁区内扣过后卫，左脚大力抽射远角，比尔基托出横梁
48'多特蒙德球员京多安大禁区中央左脚射门,命中门柱左侧立柱.给他传球的是魏格尔.                   48'下半时，京多安换下表现平平的香川真司，第48分钟险些扳平比分，他接到魏格尔传球，禁区边缘突破两名后卫，左脚大力抽射击中左门柱
48'多特蒙德球员罗伊斯大禁区中央尝试左脚射门,可惜皮球高出球门.                   48'下半时，京多安换下表现平平的香川真司，第48分钟险些扳平比分，他接到魏格尔传球，禁区边缘突破两名后卫，左脚大力抽射击中左门柱
49'射门!!!霍芬海姆球员尤他小禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是埃米尔.                   48'下半时，京多安换下表现平平的香川真司，第48分钟险些扳平比分，他接到魏格尔传球，禁区边缘突破两名后卫，左脚大力抽射击中左门柱
49'多特蒙德球员京多安一脚直塞球给姆希塔良,但是边裁举旗显示后者已经越位.                   48'下半时，京多安换下表现平平的香川真司，第48分钟险些扳平比分，他接到魏格尔传球，禁区边缘突破两名后卫，左脚大力抽射击中左门柱
58'霍芬海姆球员鲁迪拼抢犯规,对手获得控球权.                   58'第58分钟出现转折，奥巴梅扬拿球反击，进球功臣鲁迪背后放铲，累计2张黄牌被罚下
58'奥巴梅扬为多特蒙德在对方半场,赢得一个任意球.                   58'第58分钟出现转折，奥巴梅扬拿球反击，进球功臣鲁迪背后放铲，累计2张黄牌被罚下
58'裁判将霍芬海姆的鲁迪直接红牌罚下.                   58'第58分钟出现转折，奥巴梅扬拿球反击，进球功臣鲁迪背后放铲，累计2张黄牌被罚下
60'弗兰德为霍芬海姆赢得一个任意球.                   58'第58分钟出现转折，奥巴梅扬拿球反击，进球功臣鲁迪背后放铲，累计2张黄牌被罚下
60'多特蒙德球员姆希塔良拼抢犯规,对手获得控球权.                   58'第58分钟出现转折，奥巴梅扬拿球反击，进球功臣鲁迪背后放铲，累计2张黄牌被罚下
61'射门!!!多特蒙德球员沙欣大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是施梅尔策.                   58'第58分钟出现转折，奥巴梅扬拿球反击，进球功臣鲁迪背后放铲，累计2张黄牌被罚下
80'多特蒙德球员奥巴梅扬大禁区中央左脚射门,被防守球员封堵.给他传球的是施梅尔策.                   80'多特第80分钟扳平比分，战术角球开出后，姆希塔良左路回传，京多安又塞给内切的姆希塔良，姆希塔良小禁区角上左脚推进远角，1比1
80'比恰克希奇将球处理出底线,多特蒙德获得角球.                   80'多特第80分钟扳平比分，战术角球开出后，姆希塔良左路回传，京多安又塞给内切的姆希塔良，姆希塔良小禁区角上左脚推进远角，1比1
80'进球啦！！！多特蒙德球员姆希塔良大禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是京多安. 多特蒙德 1-1 霍芬海姆.                   80'多特第80分钟扳平比分，战术角球开出后，姆希塔良左路回传，京多安又塞给内切的姆希塔良，姆希塔良小禁区角上左脚推进远角，1比1
81'霍芬海姆球员波兰斯基大禁区外尝试左脚射门,可惜皮球偏出球门.                   80'多特第80分钟扳平比分，战术角球开出后，姆希塔良左路回传，京多安又塞给内切的姆希塔良，姆希塔良小禁区角上左脚推进远角，1比1
82'霍芬海姆鲍曼受伤倒地,比赛暂停                   80'多特第80分钟扳平比分，战术角球开出后，姆希塔良左路回传，京多安又塞给内切的姆希塔良，姆希塔良小禁区角上左脚推进远角，1比1
83'暂停结束,球员们重新开始比赛.                   80'多特第80分钟扳平比分，战术角球开出后，姆希塔良左路回传，京多安又塞给内切的姆希塔良，姆希塔良小禁区角上左脚推进远角，1比1
83'多特蒙德球员奥巴梅扬大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是姆希塔良.                   80'多特第80分钟扳平比分，战术角球开出后，姆希塔良左路回传，京多安又塞给内切的姆希塔良，姆希塔良小禁区角上左脚推进远角，1比1
47'霍芬海姆球员尤他拼抢犯规,对手获得控球权.                   47'补时第2分钟，多特反击形成多打少，姆希塔良禁区左侧横传，奥巴梅扬后点距门7米处推入近角，3比1，在射手榜上以22球紧追莱万
47'苏博蒂奇为多特蒙德赢得一个任意球.                   47'补时第2分钟，多特反击形成多打少，姆希塔良禁区左侧横传，奥巴梅扬后点距门7米处推入近角，3比1，在射手榜上以22球紧追莱万
48'多特蒙德球员京多安大禁区中央左脚射门,命中门柱左侧立柱.给他传球的是魏格尔.                   47'补时第2分钟，多特反击形成多打少，姆希塔良禁区左侧横传，奥巴梅扬后点距门7米处推入近角，3比1，在射手榜上以22球紧追莱万
48'多特蒙德球员罗伊斯大禁区中央尝试左脚射门,可惜皮球高出球门.                   47'补时第2分钟，多特反击形成多打少，姆希塔良禁区左侧横传，奥巴梅扬后点距门7米处推入近角，3比1，在射手榜上以22球紧追莱万
49'射门!!!霍芬海姆球员尤他小禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是埃米尔.                   47'补时第2分钟，多特反击形成多打少，姆希塔良禁区左侧横传，奥巴梅扬后点距门7米处推入近角，3比1，在射手榜上以22球紧追莱万
49'多特蒙德球员京多安一脚直塞球给姆希塔良,但是边裁举旗显示后者已经越位.                   47'补时第2分钟，多特反击形成多打少，姆希塔良禁区左侧横传，奥巴梅扬后点距门7米处推入近角，3比1，在射手榜上以22球紧追莱万
