2'刚才梅西接应比利亚的传中，左脚的打门擦着立柱飞出底线                   2'开场仅2分钟，阿尔巴禁区左侧传中，梅西14码处左脚扫射偏出左侧立柱
2'而萨拉戈萨主要还是打防守反击                   2'开场仅2分钟，阿尔巴禁区左侧传中，梅西14码处左脚扫射偏出左侧立柱
2'在巴萨的主场和巴萨打对攻的球队一般都死得比较惨                   2'开场仅2分钟，阿尔巴禁区左侧传中，梅西14码处左脚扫射偏出左侧立柱
4'阿兰达刚才接球越位了                   2'开场仅2分钟，阿尔巴禁区左侧传中，梅西14码处左脚扫射偏出左侧立柱
60'皮克今天剃了胡子，看起来好年轻                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
60'好久没有看到他如此青涩的一面了                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'哈维在中场控球，对方的球员有犯规的嫌疑                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'裁判没有吹                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'梅西！！！                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'Gooooooooooooooal！！！                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'这一次他没有浪费机会！                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'阿尔巴禁区线上横敲给梅西，趟了一步顺势过了后卫，面对出击的门将！梅西推射球门左下角！                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
62'第77球，梅西！                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
62'梅西如果能够保持这样的状态，打破穆勒的85球纪录也不是不可以                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
63'游客1955a:柠檬，普队看起来怎么样？---没问题了，否则也不会让他首发                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
63'右路又机会，佩刀下底传中速度慢了                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
63'巴萨中场反抢回来，伊涅斯塔塞直线找比利亚                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
63'裁判鸣哨了，比利亚越位                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
60'传中球被出击的萨拉戈萨门将击出禁区                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
60'萨拉戈萨前场3打4                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
60'平特尔直塞送入禁区，巴尔德斯出击把球没收                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
60'萨拉戈萨的球员体能保持的还不错                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
60'右路空了                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'梅西！！！                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'Goooooooooooooooooooal！！！                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'又一次梅开二度！！！又是梅西！！！                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'第78球                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
61'梅西中路拿球吸引了防守，突然直塞右路插上的蒙托亚~再回敲！梅西禁区线上左脚搓射！打了一个死角                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
62'巴萨换下比利亚换上特略                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
62'今天比利亚好像也没有射门吧                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
63'但是他本来可以有次助攻的，只是梅西才开场就浪费了那个绝佳的机会                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
63'时间还早，梅西有机会上演帽子戏法的                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
63'宋在防守中踢人犯规了                   60'巴萨第60分钟扩大比分，梅西分球右路，蒙托亚突破回传，梅西禁区弧边缘左脚射入左下死角，3-1
66'游客8088: 穆勒的进球纪录他应该是破不了---加上今天这场今年还有10场比赛....以他的状态，谁说不可以                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
67'梓晨1636759784:柠檬：教授怎么没上？---留着打欧冠                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
67'萨拉戈萨转移到右路                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
68'祖库里尼的传中划过禁区！                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
