1'上半场比赛开始！！                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
1'马竞率先开球，从画面的左侧向右进攻！                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
1'卡拉斯科前场拿球，远射打在后卫身上弹出！                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
2'比达尔后场拿球，面对逼抢，横传给到阿隆索                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
2'阿拉巴左路拿球，横传里贝里                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
3'里贝里回传阿拉巴，没机会，阿拉巴回传比达尔                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
3'比达尔再给马丁内斯，马丁内斯分球拉姆                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
3'拉姆长传找莱万，戈丁回防将球解围出底线！                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
3'拜仁获得右侧角球机会，开出来                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
3'第一点被马竞球员头球解围！！                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
4'马竞左路的进攻，托雷斯拿球，拉姆上抢将球解围出边线                   1'第1分钟马竞逼抢很紧，双方都难以连续多脚传递
22'胡安弗兰右路拿球，阿拉巴上抢                   22' 马竞第22分钟险些破门
22'胡安弗兰横传给加比，加比斜传左侧给菲利佩                   22' 马竞第22分钟险些破门
22'菲利佩拿球内切，进入禁区，再突，被破坏出底线                   22' 马竞第22分钟险些破门
22'马竞获得左侧角球机会                   22' 马竞第22分钟险些破门
23'角球开出到后点，无人防守的托雷斯，头球轰门，击中立柱！！！                   22' 马竞第22分钟险些破门
23'球弹回再次落在托雷斯身上，坐在地上的托雷斯再打，被诺伊尔拿到                   22' 马竞第22分钟险些破门
23'托雷斯错失破门良机啊，多好的机会                   22' 马竞第22分钟险些破门
24'莱万回撤接应，转身强突，被身后防守的萨维奇放倒在地                   22' 马竞第22分钟险些破门
25'马丁内斯中圈拿球，给到阿隆索                   22' 马竞第22分钟险些破门
25'阿隆索再给比达尔，比达尔斜传左侧给阿拉巴                   22' 马竞第22分钟险些破门
25'阿拉巴内切，分球里贝里                   22' 马竞第22分钟险些破门
25'里贝里再给阿隆索                   22' 马竞第22分钟险些破门
25'阿隆索分球右路找拉姆                   22' 马竞第22分钟险些破门
35'比达尔中场拿球，过顶想找莱万，被马竞球员头球解围                   35'马竞第35分钟取得领先
35'1-0，卡拉斯科！！！                   35'马竞第35分钟取得领先
37'格列兹曼分球，卡拉斯科前场中路拿球，一趟摆脱蒂亚戈的放铲，强突禁区后左脚怒射，击中右侧立柱弹进网窝！                   35'马竞第35分钟取得领先
37'上半场35分钟，马竞取得领先，这下比赛应该要好看了！                   35'马竞第35分钟取得领先
38'格列兹曼前场拿球，直塞禁区找托雷斯                   35'马竞第35分钟取得领先
38'托雷斯让球到身前，起脚打门，被马丁内斯挡出                   35'马竞第35分钟取得领先
83'裁判给了马竞点球！！                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
83'格列兹曼准备主罚，面对诺伊尔！！                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
83'横梁！！！                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
84'格列兹曼左脚撩射，击中横梁上沿弹出！！                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
84'萨乌尔外围拿球，再突被比达尔放翻在地！                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
84'两人双双受伤倒地，队医进场啦！！                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
85'裁判也是手拿黄牌，等待比达尔起身出牌！                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
86'萨乌尔和比达尔起身离场，接受治疗                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
86'比达尔被主裁判出示了黄牌警告！！                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
86'马竞获得前场右路的任意球机会！！                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
86'科凯主罚，开出到禁区，阿隆索头球解围！                   83'马竞第83分钟错过扩大比分的机会，费利佩禁区左侧拿球，比达尔毫无必要将其撞倒，点球
