24'阿圭罗冷静的抓住一次机会                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
24'丁丁给出一记精妙的身后球撕开对手防线，阿圭罗拿球右侧趟过出击门将，冷静推射空门                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
24'马蒂普左侧给到克拉万，斜传马内                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
24'向前突破被踢翻在地                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
24'定位球，长传到前场                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
25'中路菲尔米诺拿球，在给右侧詹                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
25'身前送一脚斜传，门迪挡出来                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
25'中路还是菲尔米诺的，在给右侧萨拉赫                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
25'低传到禁区，还是被门将没收                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
25'大脚开起来                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
25'德布劳内中圈右侧附近拿球，回敲后场                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
25'斯通斯慢一下节奏，在给费尔南迪尼奥                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
25'转到右侧给席尔瓦                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
26'莫雷诺把球断下，中路马内deq                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
26'马内一路向前奔袭，禁区前沿被费尔南迪尼奥撞翻在地                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
26'费尔南迪尼奥染黄                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
26'禁区前沿非常好的机会                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
