1'上半场比赛开始                   1'曼城第1分钟控制比赛
1'上半场由哈德斯菲尔德率先中圈开球                   1'曼城第1分钟控制比赛
1'哈德斯菲尔德身穿浅蓝与白色坚间条球衣                   1'曼城第1分钟控制比赛
1'哈德斯菲尔德左路的界外球                   1'曼城第1分钟控制比赛
2'马罗尼掷界外球                   1'曼城第1分钟控制比赛
2'威胁不大                   1'曼城第1分钟控制比赛
2'费尔南迪尼奥放长传到右肋部，给深了一丁点，斯特林没有追上                   1'曼城第1分钟控制比赛
3'孔帕尼后场控球交给奥塔门迪                   1'曼城第1分钟控制比赛
3'孔帕尼再接应，已经压过半场，德波伊特尔上抢很积极，差点断球单刀                   1'曼城第1分钟控制比赛
3'沃克右路上来，交给孔帕尼，转移给了德布劳内                   1'曼城第1分钟控制比赛
4'还是孔帕尼控球                   1'曼城第1分钟控制比赛
4'德布劳内接应回传                   1'曼城第1分钟控制比赛
4'奥塔门迪过顶长传，也是给得深了一点，剃了光头的席尔瓦没有拿到球                   1'曼城第1分钟控制比赛
4'罗素发门球                   1'曼城第1分钟控制比赛
4'奥塔门迪头球顶出边线                   1'曼城第1分钟控制比赛
47'辛德勒接应角球传中抢前点甩头攻门球进了！                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
47'慢镜看是奥塔门迪摆了乌龙                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
47'席尔瓦一顺，斯特林已经启动，倒地！                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
47'点球，马罗尼拉人犯规！                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
48'阿圭罗主罚，假动作晃倒门将再轻轻推射球门右下角，球进！                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
48'曼城是迅速扳平了比分                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
48'席尔瓦接应回传给奥塔门迪                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
48'交给孔帕尼                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
49'费尔南迪尼奥直传，阿圭罗回做一下                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
49'行国右面合，过顶球送到右肋部，斯特林横扫门前                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
49'太靠近门里了，罗素将球没收                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
50'回复：浪子谦谦之父 00:51 举报回复 人家哈队防守本来就很有一套（再看看）                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
50'史密斯防守将球踢出边线                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
50'德尔夫掷界外球，德布劳内接应交给孔帕尼                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
50'压得很靠前啊                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
50'席尔瓦接应回传给孔帕尼                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
50'转移，完全是巴萨的风格                   47'曼城第47分钟扳平，席尔瓦直传，斯特林禁区右侧被马隆尼拉倒，阿圭罗主罚点球命中，1-1
80'刚才勒夫换下了的是3号马罗尼                   80'热苏斯第80分钟替换孔帕尼出场
80'曼城换人，33号热苏斯换下了4号孔帕尼                   80'热苏斯第80分钟替换孔帕尼出场
80'席尔瓦回传给奥塔门迪                   80'热苏斯第80分钟替换孔帕尼出场
81'转移给沃克，送到弧顶处，德布劳内回传出来                   80'热苏斯第80分钟替换孔帕尼出场
81'席尔瓦尝试送一记直传，球直接出底线                   80'热苏斯第80分钟替换孔帕尼出场
83'哈德斯菲尔德的角球                   80'热苏斯第80分钟替换孔帕尼出场
83'战术角球斜传后点，头球摆渡下来，太靠了                   80'热苏斯第80分钟替换孔帕尼出场
83'门将将球没收                   80'热苏斯第80分钟替换孔帕尼出场
83'费尔南迪尼奥回传                   80'热苏斯第80分钟替换孔帕尼出场
83'不断传球                   80'热苏斯第80分钟替换孔帕尼出场
