1'上半场比赛开始了！                   1'巴萨第1分钟就控制比赛
1'上半场由维戈塞尔塔中圈开球                   1'巴萨第1分钟就控制比赛
2'内马尔前场断球直冲禁区被马罗拉倒                   1'巴萨第1分钟就控制比赛
2'巴塞罗那获得一个对方弧顶外一点的任意球机会                   1'巴萨第1分钟就控制比赛
2'内马尔主罚，球打在人墙上飞出底线                   1'巴萨第1分钟就控制比赛
3'内马尔发角球，被对方大脚解围                   1'巴萨第1分钟就控制比赛
3'中场仍然是巴塞罗那控球，阿尔巴直传，皮克停球没有停好                   1'巴萨第1分钟就控制比赛
3'阿尔瓦雷斯发球睐，西斯托停球回做                   1'巴萨第1分钟就控制比赛
4'布斯克茨断球，交给马蒂厄，长传上来                   1'巴萨第1分钟就控制比赛
4'马罗回传给阿尔瓦雷斯                   1'巴萨第1分钟就控制比赛
4'阿尔瓦雷斯在内马尔力逼之下将球踢出边线                   1'巴萨第1分钟就控制比赛
22'阿斯帕斯带了一段分左路，隆卡利亚的传中，特尔施特根将球没收                   22'塞尔塔第22分钟取得领先，阿斯帕斯送出直传，西斯托小禁区右上角外射入远角
22'塞尔塔的机会                   22'塞尔塔第22分钟取得领先，阿斯帕斯送出直传，西斯托小禁区右上角外射入远角
23'西斯托进球了！                   22'塞尔塔第22分钟取得领先，阿斯帕斯送出直传，西斯托小禁区右上角外射入远角
24'特尔施特根传球被断，阿斯帕斯直传禁区，西斯托插上得球扛开阿尔巴斜射破门！                   22'塞尔塔第22分钟取得领先，阿斯帕斯送出直传，西斯托小禁区右上角外射入远角
24'又是塞尔塔反击，阿斯帕斯带球间远射，特尔施特根双掌将球托出横梁                   22'塞尔塔第22分钟取得领先，阿斯帕斯送出直传，西斯托小禁区右上角外射入远角
25'沃斯发出角球，布拉尔头球攻门力量不大                   22'塞尔塔第22分钟取得领先，阿斯帕斯送出直传，西斯托小禁区右上角外射入远角
48'沃斯发短角球，回出来，传中没有踢起来                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
