5'莱万特的球员开场后比较兴奋                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
5'进入比赛的状态也很快                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
5'巴萨中场拿球给到边路                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
5'右路低平球传球                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
5'莱万特将球先碰了出去                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
5'巴萨的角球                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
6'角球打了一个战术                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
6'右路挑传给到后点                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
6'找皮克！！                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
6'后卫还是先将球破坏                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
7'巴萨左路挑传给到底线                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
7'阿尔巴造了一个角球                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
8'看看这次巴萨的角球                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
8'梅西来罚                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
33'巴萨拿球反击                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
33'梅西带球到了禁区前沿                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
33'起左脚打门被封堵了一下                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
33'莱万特后场拿球                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
33'给到中场                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
33'没有转身的机会                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
34'莱万特挑传打一个高球                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
34'巴萨将球控制住                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
35'0-1！！！                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
35'苏亚雷斯！！                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
35'巴萨首先取得进球                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
36'梅西禁区弧顶拿球往边路带，吸引了防守后将球给到禁区中路，苏亚雷斯推射破门！！                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
36'苏亚雷斯打门的时候也没有防守球员干扰                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
