3'朱宝杰跟进打一脚远射，被后卫挡出底线                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
3'人和角球开到中间，蹭到后点，扫向禁区                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
3'建业率先解围出来                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
4'外围在传一下，中路张成林甩头攻门，高了                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
4'建业的右路斜传，直接吊向禁区，被刘洋倒地铲出                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
4'建业大举压上，中路传递给伊沃                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
5'伊沃组织一下，突然一脚传向左路的张可                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
5'张可越位了                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
5'贵州前场丢球，建业就地反击                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
6'帕蒂尼奥中路突破被回防的张成林铲翻                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
6'现场球迷高呼黄牌，但裁判还是留情了                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
6'建业左路再来，伊沃得球，张可套边了                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
6'伊沃虚晃一下没有传，而是往中间走                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
5'伊沃组织一下，突然一脚传向左路的张可                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
5'张可越位了                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
5'贵州前场丢球，建业就地反击                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
6'帕蒂尼奥中路突破被回防的张成林铲翻                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
6'现场球迷高呼黄牌，但裁判还是留情了                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
6'建业左路再来，伊沃得球，张可套边了                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
6'伊沃虚晃一下没有传，而是往中间走                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
7'伊沃调度的不错，交给右路插上的顾操                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
7'顾操传中，扎恰拉中路头球，高出横梁                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
7'建业后场的犯规，送给对方一个定位球                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
7'陈杰主罚，推给右路                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
8'张成林右路斜吊禁区之内，后点被建业球员蹭出边线                   5'第5分钟，张成林在中场直接放倒了哈维尔，被主裁判口头警告
9'饶伟辉左路传递丢球                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
