2'博阿滕为沙尔克04赢得一个任意球.                   1'第1分钟，拜仁就压住对手进攻，格策出现在影子前锋位置，罗本和穆勒分居两侧
2'拜仁慕尼黑球员施魏因斯泰格拼抢犯规,对手获得控球权.                   1'第1分钟，拜仁就压住对手进攻，格策出现在影子前锋位置，罗本和穆勒分居两侧
3'沙尔克04球员内田笃人一脚直塞球给萨姆,但是边裁举旗显示后者已经越位.                   1'第1分钟，拜仁就压住对手进攻，格策出现在影子前锋位置，罗本和穆勒分居两侧
4'赫韦德斯将球处理出底线,拜仁慕尼黑获得角球.                   1'第1分钟，拜仁就压住对手进攻，格策出现在影子前锋位置，罗本和穆勒分居两侧
17'点球,萨姆在禁区内被侵犯,沙尔克04获得点球.                   17'拜仁第17分钟突遭变故，门将吉费尔开大脚，阿拉巴冒顶，萨姆禁区边缘趟球被博阿滕伸腿绊倒，主裁判丹克判罚点球，并将博阿滕直接罚下
17'拜仁慕尼黑球员博阿滕犯规,致使对方获得点球.                   17'拜仁第17分钟突遭变故，门将吉费尔开大脚，阿拉巴冒顶，萨姆禁区边缘趟球被博阿滕伸腿绊倒，主裁判丹克判罚点球，并将博阿滕直接罚下
17'裁判将拜仁慕尼黑的博阿滕直接红牌罚下.                   17'拜仁第17分钟突遭变故，门将吉费尔开大脚，阿拉巴冒顶，萨姆禁区边缘趟球被博阿滕伸腿绊倒，主裁判丹克判罚点球，并将博阿滕直接罚下
18'沙尔克04球员Eric Choupo-Moting点球被对方守门员扑出.点球罚失.                   17'拜仁第17分钟突遭变故，门将吉费尔开大脚，阿拉巴冒顶，萨姆禁区边缘趟球被博阿滕伸腿绊倒，主裁判丹克判罚点球，并将博阿滕直接罚下
19'沙尔克04球员C-富克斯拼抢犯规,对手获得控球权.                   17'拜仁第17分钟突遭变故，门将吉费尔开大脚，阿拉巴冒顶，萨姆禁区边缘趟球被博阿滕伸腿绊倒，主裁判丹克判罚点球，并将博阿滕直接罚下
19'魏泽尔为拜仁慕尼黑赢得一个任意球.                   17'拜仁第17分钟突遭变故，门将吉费尔开大脚，阿拉巴冒顶，萨姆禁区边缘趟球被博阿滕伸腿绊倒，主裁判丹克判罚点球，并将博阿滕直接罚下
19'射门!!!沙尔克04球员萨姆大禁区外左脚射门,被对方守门员横身扑出.给他传球的是Eric Choupo-Moting.                   17'拜仁第17分钟突遭变故，门将吉费尔开大脚，阿拉巴冒顶，萨姆禁区边缘趟球被博阿滕伸腿绊倒，主裁判丹克判罚点球，并将博阿滕直接罚下
20'沙尔克04球员萨姆拼抢犯规,对手获得控球权.                   17'拜仁第17分钟突遭变故，门将吉费尔开大脚，阿拉巴冒顶，萨姆禁区边缘趟球被博阿滕伸腿绊倒，主裁判丹克判罚点球，并将博阿滕直接罚下
20'贝尔纳特为拜仁慕尼黑赢得一个任意球.                   17'拜仁第17分钟突遭变故，门将吉费尔开大脚，阿拉巴冒顶，萨姆禁区边缘趟球被博阿滕伸腿绊倒，主裁判丹克判罚点球，并将博阿滕直接罚下
38'拜仁慕尼黑球员罗本大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   38'第38分钟，罗本右路内切摆脱两人，左脚弧线球偏出远门柱
41'拜仁慕尼黑球员阿隆索手球犯规,对手获得球权.                   38'第38分钟，罗本右路内切摆脱两人，左脚弧线球偏出远门柱
66'纳斯塔西奇将球处理出底线,拜仁慕尼黑获得角球.                   65'第65分钟，莱万禁区左侧底线回传，球被后卫一挡变线，从近门柱与门将的缝隙中钻进门内，但丹克认定球已出底线，吹进球无效，莱万和瓜迪奥拉与助理裁判交涉，但无济于事
67'进球啦！！！拜仁慕尼黑球员罗本大禁区中央头球,球从右下角飞进球门,球进了!助攻的是阿隆索. 拜仁慕尼黑 1-0 沙尔克04.                   65'第65分钟，莱万禁区左侧底线回传，球被后卫一挡变线，从近门柱与门将的缝隙中钻进门内，但丹克认定球已出底线，吹进球无效，莱万和瓜迪奥拉与助理裁判交涉，但无济于事
72'进球啦！！！沙尔克04球员赫韦德斯大禁区中央头球,球从右下角飞进球门,球进了!助攻的是萨姆. 拜仁慕尼黑 1-1 沙尔克04.                   72'第72分钟，萨姆左侧开出角球，赫韦德斯前点距门8米处头球吊进远角，攻破了好友诺伊尔的大门，1比1，他本赛季德甲进球(2)已超过此前2个赛季总进球(1)
