6'尤文图斯球员夸利亚雷拉大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是奥邦纳.                   6'尤文身着黄衣蓝裤，开场6分钟，夸利亚雷拉大力远射偏出
7'迪亚曼蒂为博洛尼亚赢得一个任意球.                   6'尤文身着黄衣蓝裤，开场6分钟，夸利亚雷拉大力远射偏出
7'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   6'尤文身着黄衣蓝裤，开场6分钟，夸利亚雷拉大力远射偏出
18'尤文图斯球员奥邦纳大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是夸利亚雷拉.                   18'第18分钟，武齐尼奇直传，夸利亚雷拉突至禁区边缘抽射碰安东松脚尖偏出近门柱，夸利亚雷拉右侧开出角球，奥邦纳在门前11米处凌空勾射偏出
19'博洛尼亚球员迪亚曼蒂一脚直塞球给比安奇,但是边裁举旗显示后者已经越位.                   18'第18分钟，武齐尼奇直传，夸利亚雷拉突至禁区边缘抽射碰安东松脚尖偏出近门柱，夸利亚雷拉右侧开出角球，奥邦纳在门前11米处凌空勾射偏出
32'博洛尼亚球员迪亚曼蒂拼抢犯规,对手获得控球权.                   32'第32分钟，曼托瓦尼放倒比达尔，被黄牌警告
32'比达尔为尤文图斯赢得一个任意球.                   32'第32分钟，曼托瓦尼放倒比达尔，被黄牌警告
32'博洛尼亚球员曼托瓦尼拼抢犯规,对手获得控球权.                   32'第32分钟，曼托瓦尼放倒比达尔，被黄牌警告
32'比达尔为尤文图斯在对方半场,赢得一个任意球.                   32'第32分钟，曼托瓦尼放倒比达尔，被黄牌警告
32'黄牌！博洛尼亚球员曼托瓦尼因为恶意犯规,被主裁判出示黄牌.                   32'第32分钟，曼托瓦尼放倒比达尔，被黄牌警告
33'射门!!!博洛尼亚球员迪亚曼蒂大禁区外左脚射门,被对方守门员横身扑出.给他传球的是比安奇.                   32'第32分钟，曼托瓦尼放倒比达尔，被黄牌警告
34'布冯将球处理出底线,博洛尼亚获得角球.                   32'第32分钟，曼托瓦尼放倒比达尔，被黄牌警告
34'博洛尼亚球员纳塔利拼抢犯规,对手获得控球权.                   32'第32分钟，曼托瓦尼放倒比达尔，被黄牌警告
