1'拉诺齐亚为国际米兰在对方半场,赢得一个任意球.                   1'国米队员臂缠黑纱，赛前默哀1分钟，悼念25日去世的米拉尼
1'Dnipro Dnipropetrovsk球员罗坦危险动作,对手获得控球权.                   1'国米队员臂缠黑纱，赛前默哀1分钟，悼念25日去世的米拉尼
1'国际米兰球员梅德尔拼抢犯规,对手获得控球权.                   1'国米队员臂缠黑纱，赛前默哀1分钟，悼念25日去世的米拉尼
1'罗坦为Dnipro Dnipropetrovsk赢得一个任意球.                   1'国米队员臂缠黑纱，赛前默哀1分钟，悼念25日去世的米拉尼
2'国际米兰球员库兹曼诺维奇大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是梅德尔.                   1'国米队员臂缠黑纱，赛前默哀1分钟，悼念25日去世的米拉尼
3'Dnipro Dnipropetrovsk球员费迪斯基大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是Valerii Luchkevich.                   1'国米队员臂缠黑纱，赛前默哀1分钟，悼念25日去世的米拉尼
16'射门!!!Dnipro Dnipropetrovsk球员科诺普扬卡大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是卡利尼奇.                   16'开场16分钟，小胡安遭夹抢丢球，罗坦右路低传，卡利尼奇外脚背分到左侧，科诺片卡在门前11米处左脚斜射被汉达诺维奇封出，但罗坦右侧补射入球门顶端，国米0比1落后
16'进球啦！！！Dnipro Dnipropetrovsk球员罗坦小禁区右侧右脚射门,球从右上角飞进球门,球进了! 国际米兰 0-1 Dnipro Dnipropetrovsk.                   16'开场16分钟，小胡安遭夹抢丢球，罗坦右路低传，卡利尼奇外脚背分到左侧，科诺片卡在门前11米处左脚斜射被汉达诺维奇封出，但罗坦右侧补射入球门顶端，国米0比1落后
18'Dnipro Dnipropetrovsk球员弗拉德拼抢犯规,对手获得控球权.                   16'开场16分钟，小胡安遭夹抢丢球，罗坦右路低传，卡利尼奇外脚背分到左侧，科诺片卡在门前11米处左脚斜射被汉达诺维奇封出，但罗坦右侧补射入球门顶端，国米0比1落后
18'埃尔纳内斯为国际米兰在右路,赢得一个任意球.                   16'开场16分钟，小胡安遭夹抢丢球，罗坦右路低传，卡利尼奇外脚背分到左侧，科诺片卡在门前11米处左脚斜射被汉达诺维奇封出，但罗坦右侧补射入球门顶端，国米0比1落后
19'射门!!!国际米兰球员埃尔纳内斯大禁区中央头球,被对方守门员横身扑出.给他传球的是伊卡尔迪.                   16'开场16分钟，小胡安遭夹抢丢球，罗坦右路低传，卡利尼奇外脚背分到左侧，科诺片卡在门前11米处左脚斜射被汉达诺维奇封出，但罗坦右侧补射入球门顶端，国米0比1落后
27'点球,切伯雅科在禁区内被侵犯,Dnipro Dnipropetrovsk获得点球.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
27'国际米兰球员瓜林犯规,致使对方获得点球.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
28'Dnipro Dnipropetrovsk球员科诺普扬卡点球被对方守门员扑出.点球罚失.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
28'Dnipro Dnipropetrovsk球员切伯雅科大禁区外右脚射门,被防守球员封堵.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
28'Dnipro Dnipropetrovsk球员切伯雅科一脚直塞球给罗坦,但是边裁举旗显示后者已经越位.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
29'Dnipro Dnipropetrovsk球员克拉夫申科拼抢犯规,对手获得控球权.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
29'埃尔纳内斯为国际米兰在对方半场,赢得一个任意球.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
29'国际米兰球员库兹曼诺维奇大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是奥斯瓦尔多.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
30'Dnipro Dnipropetrovsk球员克拉夫申科拼抢犯规,对手获得控球权.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
30'埃尔纳内斯为国际米兰在对方半场,赢得一个任意球.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
30'进球啦！！！国际米兰球员库兹曼诺维奇大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是瓜林. 国际米兰 1-1 Dnipro Dnipropetrovsk.                   27'第27分钟，切贝里亚奇科突入禁区右侧与瓜林身体接触倒地，点球
49'国际米兰球员库兹曼诺维奇拼抢犯规,对手获得控球权.                   48'逃过一劫的国米3分钟后扳平，埃尔纳内斯主罚任意球吊入禁区左侧，拉诺齐亚和小胡安与道格拉斯争顶，奥斯瓦尔多射门被挡，库兹曼诺维奇在门前13米处低射钻进右下角，1比1
49'切伯雅科为Dnipro Dnipropetrovsk在对方半场,赢得一个任意球.                   48'逃过一劫的国米3分钟后扳平，埃尔纳内斯主罚任意球吊入禁区左侧，拉诺齐亚和小胡安与道格拉斯争顶，奥斯瓦尔多射门被挡，库兹曼诺维奇在门前13米处低射钻进右下角，1比1
49'Dnipro Dnipropetrovsk球员罗坦一脚直塞球给马祖克,但是边裁举旗显示后者已经越位.                   48'逃过一劫的国米3分钟后扳平，埃尔纳内斯主罚任意球吊入禁区左侧，拉诺齐亚和小胡安与道格拉斯争顶，奥斯瓦尔多射门被挡，库兹曼诺维奇在门前13米处低射钻进右下角，1比1
50'进球啦！！！国际米兰球员奥斯瓦尔多大禁区右侧右脚射门,球从中路飞进球门,球进了!助攻的是埃尔纳内斯. 国际米兰 2-1 Dnipro Dnipropetrovsk.                   48'逃过一劫的国米3分钟后扳平，埃尔纳内斯主罚任意球吊入禁区左侧，拉诺齐亚和小胡安与道格拉斯争顶，奥斯瓦尔多射门被挡，库兹曼诺维奇在门前13米处低射钻进右下角，1比1
51'射门!!!Dnipro Dnipropetrovsk球员卡利尼奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是罗坦.                   48'逃过一劫的国米3分钟后扳平，埃尔纳内斯主罚任意球吊入禁区左侧，拉诺齐亚和小胡安与道格拉斯争顶，奥斯瓦尔多射门被挡，库兹曼诺维奇在门前13米处低射钻进右下角，1比1
50'进球啦！！！国际米兰球员奥斯瓦尔多大禁区右侧右脚射门,球从中路飞进球门,球进了!助攻的是埃尔纳内斯. 国际米兰 2-1 Dnipro Dnipropetrovsk.                   50'第50分钟，多多左路反击回传，无人盯防的埃尔纳内斯没有射门，出人意料地直塞禁区右侧，奥斯瓦尔多在门前8米处低射入远角，2比1
51'射门!!!Dnipro Dnipropetrovsk球员卡利尼奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是罗坦.                   50'第50分钟，多多左路反击回传，无人盯防的埃尔纳内斯没有射门，出人意料地直塞禁区右侧，奥斯瓦尔多在门前8米处低射入远角，2比1
52'Dnipro Dnipropetrovsk球员卡利尼奇小禁区左侧右脚射门,被防守球员封堵.                   50'第50分钟，多多左路反击回传，无人盯防的埃尔纳内斯没有射门，出人意料地直塞禁区右侧，奥斯瓦尔多在门前8米处低射入远角，2比1
52'梅德尔为国际米兰赢得一个任意球.                   50'第50分钟，多多左路反击回传，无人盯防的埃尔纳内斯没有射门，出人意料地直塞禁区右侧，奥斯瓦尔多在门前8米处低射入远角，2比1
52'Dnipro Dnipropetrovsk球员弗拉德拼抢犯规,对手获得控球权.                   50'第50分钟，多多左路反击回传，无人盯防的埃尔纳内斯没有射门，出人意料地直塞禁区右侧，奥斯瓦尔多在门前8米处低射入远角，2比1
53'奥斯瓦尔多为国际米兰赢得一个任意球.                   50'第50分钟，多多左路反击回传，无人盯防的埃尔纳内斯没有射门，出人意料地直塞禁区右侧，奥斯瓦尔多在门前8米处低射入远角，2比1
53'Dnipro Dnipropetrovsk球员费迪斯基拼抢犯规,对手获得控球权.                   50'第50分钟，多多左路反击回传，无人盯防的埃尔纳内斯没有射门，出人意料地直塞禁区右侧，奥斯瓦尔多在门前8米处低射入远角，2比1
57'国际米兰球员瓜林大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是库兹曼诺维奇.                   57'第57分钟，库兹曼诺维奇左路传中，瓜林头球高出
58'弗拉德将球处理出底线,国际米兰获得角球.                   57'第57分钟，库兹曼诺维奇左路传中，瓜林头球高出
59'国际米兰球员坎帕尼亚罗大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是瓜林.                   57'第57分钟，库兹曼诺维奇左路传中，瓜林头球高出
60'安德雷奥利将球处理出底线,Dnipro Dnipropetrovsk获得角球.                   57'第57分钟，库兹曼诺维奇左路传中，瓜林头球高出
60'Dnipro Dnipropetrovsk球员克拉夫申科大禁区外右脚射门,被防守球员封堵.                   57'第57分钟，库兹曼诺维奇左路传中，瓜林头球高出
60'射门!!!Dnipro Dnipropetrovsk球员卡利尼奇小禁区右侧右脚射门,被对方守门员横身扑出.                   57'第57分钟，库兹曼诺维奇左路传中，瓜林头球高出
63'射门!!!Dnipro Dnipropetrovsk球员卡利尼奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是弗拉德.                   63'第63分钟，卡利尼奇倒钩落入汉达诺维奇怀中
64'奥斯瓦尔多为国际米兰在右路,赢得一个任意球.                   63'第63分钟，卡利尼奇倒钩落入汉达诺维奇怀中
64'Dnipro Dnipropetrovsk球员马祖克拼抢犯规,对手获得控球权.                   63'第63分钟，卡利尼奇倒钩落入汉达诺维奇怀中
66'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   63'第63分钟，卡利尼奇倒钩落入汉达诺维奇怀中
66'弗拉德为Dnipro Dnipropetrovsk赢得一个任意球.                   63'第63分钟，卡利尼奇倒钩落入汉达诺维奇怀中
66'黄牌！国际米兰球员瓜林因为恶意犯规,被主裁判出示黄牌.                   63'第63分钟，卡利尼奇倒钩落入汉达诺维奇怀中
81'Dnipro Dnipropetrovsk球员罗坦大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   81'第81分钟，罗坦左脚任意球贴右门柱而出
81'胡安为国际米兰赢得一个任意球.                   81'第81分钟，罗坦左脚任意球贴右门柱而出
81'Dnipro Dnipropetrovsk球员卡利尼奇拼抢犯规,对手获得控球权.                   81'第81分钟，罗坦左脚任意球贴右门柱而出
