4'范-迪吉克将球处理出底线,巴塞罗那获得角球.                   4'开场4分钟，阿尔维斯远射偏出
4'巴塞罗那球员阿尔维斯大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   4'开场4分钟，阿尔维斯远射偏出
5'射门!!!凯尔特人球员萨马拉斯球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是斯托克斯.                   4'开场4分钟，阿尔维斯远射偏出
5'巴尔德斯将球处理出底线,凯尔特人获得角球.                   4'开场4分钟，阿尔维斯远射偏出
6'凯尔特人球员斯托克斯拼抢犯规,对手获得控球权.                   4'开场4分钟，阿尔维斯远射偏出
6'巴尔德斯为巴塞罗那赢得一个任意球.                   4'开场4分钟，阿尔维斯远射偏出
17'巴塞罗那球员法布雷加斯大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿尔维斯.                   17'第17分钟，阿尔维斯传中，小法禁区内直接射向安布罗斯，随后内马尔远射偏出左门柱
17'巴塞罗那球员内马尔大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是伊涅斯塔.                   17'第17分钟，阿尔维斯传中，小法禁区内直接射向安布罗斯，随后内马尔远射偏出左门柱
18'凯尔特人球员安布罗塞拼抢犯规,对手获得控球权.                   17'第17分钟，阿尔维斯传中，小法禁区内直接射向安布罗斯，随后内马尔远射偏出左门柱
18'布斯克茨为巴塞罗那赢得一个任意球.                   17'第17分钟，阿尔维斯传中，小法禁区内直接射向安布罗斯，随后内马尔远射偏出左门柱
19'巴塞罗那球员伊涅斯塔大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是阿德里亚诺.                   17'第17分钟，阿尔维斯传中，小法禁区内直接射向安布罗斯，随后内马尔远射偏出左门柱
26'巴塞罗那球员阿德里亚诺大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是内马尔.                   26'第26分钟，阿德里亚诺与内马尔踢墙配合，内马尔直传禁区左侧，阿德里亚诺左脚打中边网
44'凯尔特人球员鲁斯蒂格拼抢犯规,对手获得控球权.                   44'第44分钟，卢斯蒂格背后铲倒内马尔，被黄牌警告
44'内马尔为巴塞罗那在左路,赢得一个任意球.                   44'第44分钟，卢斯蒂格背后铲倒内马尔，被黄牌警告
44'黄牌！凯尔特人球员鲁斯蒂格因为恶意犯规,被主裁判出示黄牌.                   44'第44分钟，卢斯蒂格背后铲倒内马尔，被黄牌警告
45'福斯特将球处理出底线,巴塞罗那获得角球.                   44'第44分钟，卢斯蒂格背后铲倒内马尔，被黄牌警告
45'+1'上半场结束,凯尔特人 0-0 巴塞罗那,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，卢斯蒂格背后铲倒内马尔，被黄牌警告
46'凯尔特人球员斯托克斯拼抢犯规,对手获得控球权.                   44'第44分钟，卢斯蒂格背后铲倒内马尔，被黄牌警告
46'布斯克茨为巴塞罗那赢得一个任意球.                   44'第44分钟，卢斯蒂格背后铲倒内马尔，被黄牌警告
59'凯尔特人球员布朗因为在场上斗殴,被裁判直接红牌罚下.                   59'第59分钟，布朗推倒内马尔，接着又踢中对方腰部，法国主裁判拉努瓦最初想亮黄牌，但看到布朗的附加动作以后改掏红牌，巴萨获得人数优势，这是巴萨欧冠对手吃到的第23张红牌，为欧冠最高纪录，只有尤文能够在染红的情况下击败巴萨(2003年4月)
60'凯尔特人球员萨马拉斯手球犯规,对手获得球权.                   59'第59分钟，布朗推倒内马尔，接着又踢中对方腰部，法国主裁判拉努瓦最初想亮黄牌，但看到布朗的附加动作以后改掏红牌，巴萨获得人数优势，这是巴萨欧冠对手吃到的第23张红牌，为欧冠最高纪录，只有尤文能够在染红的情况下击败巴萨(2003年4月)
61'凯尔特人球员康蒙斯拼抢犯规,对手获得控球权.                   59'第59分钟，布朗推倒内马尔，接着又踢中对方腰部，法国主裁判拉努瓦最初想亮黄牌，但看到布朗的附加动作以后改掏红牌，巴萨获得人数优势，这是巴萨欧冠对手吃到的第23张红牌，为欧冠最高纪录，只有尤文能够在染红的情况下击败巴萨(2003年4月)
61'内马尔为巴塞罗那在对方半场,赢得一个任意球.                   59'第59分钟，布朗推倒内马尔，接着又踢中对方腰部，法国主裁判拉努瓦最初想亮黄牌，但看到布朗的附加动作以后改掏红牌，巴萨获得人数优势，这是巴萨欧冠对手吃到的第23张红牌，为欧冠最高纪录，只有尤文能够在染红的情况下击败巴萨(2003年4月)
62'巴塞罗那球员伊涅斯塔一脚直塞球给阿尔维斯,但是边裁举旗显示后者已经越位.                   59'第59分钟，布朗推倒内马尔，接着又踢中对方腰部，法国主裁判拉努瓦最初想亮黄牌，但看到布朗的附加动作以后改掏红牌，巴萨获得人数优势，这是巴萨欧冠对手吃到的第23张红牌，为欧冠最高纪录，只有尤文能够在染红的情况下击败巴萨(2003年4月)
62'萨马拉斯为凯尔特人在对方半场,赢得一个任意球.                   59'第59分钟，布朗推倒内马尔，接着又踢中对方腰部，法国主裁判拉努瓦最初想亮黄牌，但看到布朗的附加动作以后改掏红牌，巴萨获得人数优势，这是巴萨欧冠对手吃到的第23张红牌，为欧冠最高纪录，只有尤文能够在染红的情况下击败巴萨(2003年4月)
62'巴塞罗那球员布斯克茨拼抢犯规,对手获得控球权.                   59'第59分钟，布朗推倒内马尔，接着又踢中对方腰部，法国主裁判拉努瓦最初想亮黄牌，但看到布朗的附加动作以后改掏红牌，巴萨获得人数优势，这是巴萨欧冠对手吃到的第23张红牌，为欧冠最高纪录，只有尤文能够在染红的情况下击败巴萨(2003年4月)
72'巴塞罗那球员内马尔大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是哈维.                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
73'射门!!!凯尔特人球员詹姆斯-福雷斯特大禁区中央左脚射门,被对方守门员横身扑出.                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
73'巴尔德斯将球处理出底线,凯尔特人获得角球.                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
74'凯尔特人球员马尔格鲁大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是康蒙斯.                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
74'巴塞罗那换人,桑切斯换下佩德罗                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
75'马尔格鲁为凯尔特人赢得一个任意球.                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
75'巴塞罗那球员布斯克茨拼抢犯规,对手获得控球权.                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
75'黄牌！巴塞罗那球员布斯克茨因为恶意犯规,被主裁判出示黄牌.                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
75'凯尔特人球员萨马拉斯拼抢犯规,对手获得控球权.                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
75'巴尔特拉为巴塞罗那赢得一个任意球.                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
75'进球啦！！！巴塞罗那球员法布雷加斯大禁区中央头球,球从右上角飞进球门,球进了!助攻的是桑切斯. 凯尔特人 0-1 巴塞罗那.                   72'第72分钟，内马尔切入禁区与哈维撞墙配合，在门前13米处推射偏出远门柱
74'凯尔特人球员马尔格鲁大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是康蒙斯.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
