3'卡尔皮球员威尔策克一脚直塞球给马托斯,但是边裁举旗显示后者已经越位.                   1'第1分钟两队射门局限在外围
31'射门!!!国际米兰球员约维蒂奇大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是瓜林.                   31'第31分钟，国米首次禁区内射门就取得领先
31'进球啦！！！国际米兰球员约维蒂奇球门线跟前右脚射门,球从中路飞进球门,球进了! 卡尔皮 0-1 国际米兰.                   31'第31分钟，国米首次禁区内射门就取得领先
33'加-希尔瓦为卡尔皮在左路,赢得一个任意球.                   31'第31分钟，国米首次禁区内射门就取得领先
33'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   31'第31分钟，国米首次禁区内射门就取得领先
81'进球啦！！！卡尔皮球员迪高迪奥 大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是拉萨纳. 卡尔皮 1-1 国际米兰.                   81'第81分钟，卡尔皮右路送出地滚球，拉萨尼亚背身做给迪高迪奥 ，迪高迪奥在门前8米处推射入网，1比1
87'国际米兰球员约维蒂奇大禁区外右脚射门,被防守球员封堵.                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
87'射门!!!国际米兰球员帕拉西奥球门线跟前右脚射门,被对方守门员横身扑出.给他传球的是埃尔纳内斯.                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
87'布尔基奇为卡尔皮赢得一个任意球.                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
87'国际米兰球员帕拉西奥拼抢犯规,对手获得控球权.                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
88'卡尔皮球员加-希尔瓦犯规,致使对方获得点球.                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
88'点球,瓜林在禁区内被侵犯,国际米兰获得点球.                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
88'卡尔皮球员加-希尔瓦被主裁判出示了一张黄牌.                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
89'进球啦！！！国际米兰球员约维蒂奇右脚射门,球从右下角飞进球门,球进了! 卡尔皮 1-2 国际米兰.                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
90'国际米兰换人,拉诺齐亚换下约维蒂奇                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
90'+2'黄牌！国际米兰球员汉达诺维奇因为故意手球,被主裁判出示黄牌.                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
90'+3'国际米兰球员胡安大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是埃尔纳内斯.                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
90'+4'下半场结束,卡尔皮 1-2 国际米兰                   87'第87分钟，埃尔纳内斯头球摆渡，帕拉西奥禁区左侧距门8米处单刀推射被布尔基奇没收
48'卡尔皮球员菲德勒拼抢犯规,对手获得控球权.                   48'补时第3分钟，埃尔纳内斯右路低传，无人盯防的小胡安在门前9米处左脚推射偏出右门柱
48'约维蒂奇为国际米兰在对方半场,赢得一个任意球.                   48'补时第3分钟，埃尔纳内斯右路低传，无人盯防的小胡安在门前9米处左脚推射偏出右门柱
50'卡尔皮球员威尔策克手球犯规,对手获得球权.                   48'补时第3分钟，埃尔纳内斯右路低传，无人盯防的小胡安在门前9米处左脚推射偏出右门柱
50'国际米兰球员帕拉西奥大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是瓜林.                   48'补时第3分钟，埃尔纳内斯右路低传，无人盯防的小胡安在门前9米处左脚推射偏出右门柱
