13'甘冈球员图拉姆一脚直塞球给白里安,但是边裁举旗显示后者已经越位.                   13'第13分钟，埃布埃右路传中，白里安头球攻门高出了横梁
14'甘冈球员白里安小禁区左侧尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是埃博阿.                   13'第13分钟，埃布埃右路传中，白里安头球攻门高出了横梁
14'甘冈球员格雷尼耶大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   13'第13分钟，埃布埃右路传中，白里安头球攻门高出了横梁
15'巴黎圣日耳曼球员塞尔索大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Kylian Mbappé.                   13'第13分钟，埃布埃右路传中，白里安头球攻门高出了横梁
21'巴黎圣日耳曼球员阿尔维斯一脚直塞球给卡瓦尼,但是边裁举旗显示后者已经越位.                   21'第21分钟，甘冈险些破门，小图拉姆右路倒三角回传，巴拉斯再向前传球，贝内泽小禁区线附近劲射，球被蒂亚戈-席尔瓦在门线上挡出
22'甘冈球员贝内泽大禁区中央右脚射门,被防守球员封堵.给他传球的是布拉斯.                   21'第21分钟，甘冈险些破门，小图拉姆右路倒三角回传，巴拉斯再向前传球，贝内泽小禁区线附近劲射，球被蒂亚戈-席尔瓦在门线上挡出
22'甘冈球员贝内泽大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是迪多特.                   21'第21分钟，甘冈险些破门，小图拉姆右路倒三角回传，巴拉斯再向前传球，贝内泽小禁区线附近劲射，球被蒂亚戈-席尔瓦在门线上挡出
23'图拉姆为甘冈在左路,赢得一个任意球.                   21'第21分钟，甘冈险些破门，小图拉姆右路倒三角回传，巴拉斯再向前传球，贝内泽小禁区线附近劲射，球被蒂亚戈-席尔瓦在门线上挡出
23'巴黎圣日耳曼球员蒂亚戈-席尔瓦拼抢犯规,对手获得控球权.                   21'第21分钟，甘冈险些破门，小图拉姆右路倒三角回传，巴拉斯再向前传球，贝内泽小禁区线附近劲射，球被蒂亚戈-席尔瓦在门线上挡出
31'凯尔布拉特将球处理出底线,巴黎圣日耳曼获得角球.                   31'第31分钟，迪多特禁区外远射，球被阿雷奥拉抱住
32'射门!!!甘冈球员迪多特大禁区外右脚射门,被对方守门员横身扑出.给他传球的是伊科科.                   31'第31分钟，迪多特禁区外远射，球被阿雷奥拉抱住
32'巴黎圣日耳曼球员库尔萨瓦一脚直塞球给迪马利亚,但是边裁举旗显示后者已经越位.                   31'第31分钟，迪多特禁区外远射，球被阿雷奥拉抱住
34'埃博阿将球处理出底线,巴黎圣日耳曼获得角球.                   31'第31分钟，迪多特禁区外远射，球被阿雷奥拉抱住
42'白里安将球处理出底线,巴黎圣日耳曼获得角球.                   42'第42分钟，迪马利亚左侧开出角球，库尔萨瓦头球攻门稍稍偏出
42'巴黎圣日耳曼球员库尔萨瓦大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是迪马利亚.                   42'第42分钟，迪马利亚左侧开出角球，库尔萨瓦头球攻门稍稍偏出
45'甘冈球员布拉斯大禁区外左脚射门,被防守球员封堵.给他传球的是白里安.                   42'第42分钟，迪马利亚左侧开出角球，库尔萨瓦头球攻门稍稍偏出
45'莫塔将球处理出底线,甘冈获得角球.                   42'第42分钟，迪马利亚左侧开出角球，库尔萨瓦头球攻门稍稍偏出
45'进球啦！！！甘冈球员布拉斯大禁区外左脚射门,球从左上角飞进球门,球进了! 巴黎圣日耳曼 0-1 甘冈.                   42'第42分钟，迪马利亚左侧开出角球，库尔萨瓦头球攻门稍稍偏出
45'+2'上半场结束,巴黎圣日耳曼 0-1 甘冈,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，迪马利亚左侧开出角球，库尔萨瓦头球攻门稍稍偏出
47'甘冈球员贝内泽拼抢犯规,对手获得控球权.                   47'下半时双方易边再战，第47分钟，卡瓦尼禁区外中路任意球直接攻门高出横梁
47'Kylian Mbappé为巴黎圣日耳曼在对方半场,赢得一个任意球.                   47'下半时双方易边再战，第47分钟，卡瓦尼禁区外中路任意球直接攻门高出横梁
48'巴黎圣日耳曼球员卡瓦尼大禁区外尝试右脚射门,可惜皮球高出球门.                   47'下半时双方易边再战，第47分钟，卡瓦尼禁区外中路任意球直接攻门高出横梁
53'巴黎圣日耳曼球员迪马利亚一脚直塞球给Kylian Mbappé,但是边裁举旗显示后者已经越位.                   53'第53分钟，迪马利亚挑传禁区，姆巴佩抢点将球打进，但裁判认为迪马利亚传球瞬间越位，进球无效，从慢镜头回放显示这是一个误判
56'巴黎圣日耳曼球员帕斯托雷一脚直塞球给Kylian Mbappé,但是边裁举旗显示后者已经越位.                   53'第53分钟，迪马利亚挑传禁区，姆巴佩抢点将球打进，但裁判认为迪马利亚传球瞬间越位，进球无效，从慢镜头回放显示这是一个误判
66'贝内泽为甘冈在对方半场,赢得一个任意球.                   66'第66分钟，洛塞尔索直塞，卡瓦尼获得单刀机会，但是裁判再次示意越位，慢镜头显示这个判罚也非常有争议
66'巴黎圣日耳曼球员阿尔维斯拼抢犯规,对手获得控球权.                   66'第66分钟，洛塞尔索直塞，卡瓦尼获得单刀机会，但是裁判再次示意越位，慢镜头显示这个判罚也非常有争议
67'巴黎圣日耳曼球员塞尔索一脚直塞球给卡瓦尼,但是边裁举旗显示后者已经越位.                   66'第66分钟，洛塞尔索直塞，卡瓦尼获得单刀机会，但是裁判再次示意越位，慢镜头显示这个判罚也非常有争议
68'进球啦！！！甘冈球员白里安小禁区左侧左脚射门,球从中路飞进球门,球进了!助攻的是格雷尼耶. 巴黎圣日耳曼 0-2 甘冈.                   66'第66分钟，洛塞尔索直塞，卡瓦尼获得单刀机会，但是裁判再次示意越位，慢镜头显示这个判罚也非常有争议
74'甘冈球员白里安犯规,致使对方获得点球.                   74'第74分钟，洛塞尔索在禁区外被白里安犯规，裁判却给了巴黎点球，卡瓦尼操刀主罚命中，巴黎将比分追至1-2
74'点球,塞尔索在禁区内被侵犯,巴黎圣日耳曼获得点球.                   74'第74分钟，洛塞尔索在禁区外被白里安犯规，裁判却给了巴黎点球，卡瓦尼操刀主罚命中，巴黎将比分追至1-2
75'进球啦！！！巴黎圣日耳曼球员卡瓦尼右脚射门,球从右上角飞进球门,球进了! 巴黎圣日耳曼 1-2 甘冈.                   74'第74分钟，洛塞尔索在禁区外被白里安犯规，裁判却给了巴黎点球，卡瓦尼操刀主罚命中，巴黎将比分追至1-2
76'图拉姆为甘冈在左路,赢得一个任意球.                   74'第74分钟，洛塞尔索在禁区外被白里安犯规，裁判却给了巴黎点球，卡瓦尼操刀主罚命中，巴黎将比分追至1-2
76'巴黎圣日耳曼球员穆尼耶拼抢犯规,对手获得控球权.                   74'第74分钟，洛塞尔索在禁区外被白里安犯规，裁判却给了巴黎点球，卡瓦尼操刀主罚命中，巴黎将比分追至1-2
