5'托利安为多特蒙德赢得一个任意球.                   5'开场5分钟，亚尔莫连科单刀突入禁区左侧斜射偏出
5'霍芬海姆球员德米尔巴伊拼抢犯规,对手获得控球权.                   5'开场5分钟，亚尔莫连科单刀突入禁区左侧斜射偏出
5'多特蒙德球员亚尔莫连科大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.                   5'开场5分钟，亚尔莫连科单刀突入禁区左侧斜射偏出
6'Benjamin Hübner将球处理出底线,多特蒙德获得角球.                   5'开场5分钟，亚尔莫连科单刀突入禁区左侧斜射偏出
21'进球啦！！！霍芬海姆球员尤他大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是卡德扎贝克. 多特蒙德 0-1 霍芬海姆.                   21'多特第21分钟首先失球
23'多特蒙德球员魏格尔拼抢犯规,对手获得控球权.                   21'多特第21分钟首先失球
23'尤他为霍芬海姆在对方半场,赢得一个任意球.                   21'多特第21分钟首先失球
63'霍芬海姆换人,克拉马里奇换下格纳布里                   63'多特第63分钟追平比分
63'进球啦！！！多特蒙德球员奥巴梅扬右脚射门,球从右下角飞进球门,球进了! 多特蒙德 1-1 霍芬海姆.                   63'多特第63分钟追平比分
66'魏格尔将球处理出底线,霍芬海姆获得角球.                   63'多特第63分钟追平比分
89'进球啦！！！多特蒙德球员普利西奇球门线跟前左脚射门,球从中路飞进球门,球进了! 多特蒙德 2-1 霍芬海姆.                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
89'进球啦！！！多特蒙德球员普利西奇球门线跟前左脚射门,球从中路飞进球门,球进了! 多特蒙德 2-1 霍芬海姆.                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
90'霍芬海姆换人,阿克波古马换下波施                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
90'霍芬海姆换人,阿克波古马换下波施                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
90'+3'多特蒙德换人,苏博蒂奇换下普利西奇                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
90'+3'多特蒙德换人,苏博蒂奇换下普利西奇                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
90'+4'多特蒙德球员奥巴梅扬大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
90'+4'多特蒙德球员奥巴梅扬大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
90'+4'多特蒙德球员默罕默德-达胡德大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是奥巴梅扬.                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
90'+4'多特蒙德球员默罕默德-达胡德大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是奥巴梅扬.                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
90'+4'下半场结束,多特蒙德 2-1 霍芬海姆                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
90'+4'下半场结束,多特蒙德 2-1 霍芬海姆                   89'多特第89分钟上演绝杀，香川真司直传禁区右侧，普利希奇凌空挑过门将鲍曼，左脚推进空门，2比1
