1'上半场比赛开始！！                   1'切尔西第1分钟强力施压
1'蓝衣蓝裤的切尔西开球，从画面的右侧向左进攻！                   1'切尔西第1分钟强力施压
1'路易斯后场过顶球给到前场的阿扎尔                   1'切尔西第1分钟强力施压
1'阿扎尔停球转身，分球左侧给阿隆索                   1'切尔西第1分钟强力施压
1'阿隆索内切斜传右路找摩西                   1'切尔西第1分钟强力施压
2'摩西的下底传中，被防守球员挡出边线                   1'切尔西第1分钟强力施压
2'切尔西前场再攻，小法右路拿球内切                   1'切尔西第1分钟强力施压
2'回传禁区弧顶，佩德罗跟进起脚远射，打飞！                   1'切尔西第1分钟强力施压
2'坎特中场抢断，回传后场给路易斯                   1'切尔西第1分钟强力施压
3'路易斯再给左侧的卡希尔，卡希尔直塞找阿扎尔                   1'切尔西第1分钟强力施压
3'阿扎尔再分左侧给到阿隆索                   1'切尔西第1分钟强力施压
3'阿隆索内切再给阿扎尔，阿扎尔斜传找科斯塔，被断                   1'切尔西第1分钟强力施压
3'洛伦特拿球反击，中线位置和坎特相撞倒地                   1'切尔西第1分钟强力施压
3'裁判没理会，球被切尔西球员控制！                   1'切尔西第1分钟强力施压
4'切尔西的反击，小法的挑传找到科斯塔                   1'切尔西第1分钟强力施压
4'科斯塔不停球，再送直塞到禁区右侧                   1'切尔西第1分钟强力施压
4'佩德罗插上接应，身后拉人犯规！！                   1'切尔西第1分钟强力施压
4'阿斯皮利奎塔后场拿球，带至中线，过顶找佩德罗                   1'切尔西第1分钟强力施压
4'佩德罗胸部停球，离自己有点远                   1'切尔西第1分钟强力施压
19'切尔西右侧角球，小法开出到禁区                   19'切尔西第19分钟取得领先，阿扎尔同科斯塔踢墙配合后传球，佩德罗禁区右侧低传，小法停球后在3人包夹下10码处捅射左下角入网
19'混战中，球被诺顿解围                   19'切尔西第19分钟取得领先，阿扎尔同科斯塔踢墙配合后传球，佩德罗禁区右侧低传，小法停球后在3人包夹下10码处捅射左下角入网
19'1-0，小法！！！                   19'切尔西第19分钟取得领先，阿扎尔同科斯塔踢墙配合后传球，佩德罗禁区右侧低传，小法停球后在3人包夹下10码处捅射左下角入网
20'阿扎尔中场拿球，强突分球右侧给佩德罗，佩德罗停球一扣，再传中路，小法跟进停球，直接起脚低射，打进！                   19'切尔西第19分钟取得领先，阿扎尔同科斯塔踢墙配合后传球，佩德罗禁区右侧低传，小法停球后在3人包夹下10码处捅射左下角入网
22'小法前场拿球，分球右侧给摩西                   19'切尔西第19分钟取得领先，阿扎尔同科斯塔踢墙配合后传球，佩德罗禁区右侧低传，小法停球后在3人包夹下10码处捅射左下角入网
22'摩西面对逼抢，回传阿斯皮利奎塔                   19'切尔西第19分钟取得领先，阿扎尔同科斯塔踢墙配合后传球，佩德罗禁区右侧低传，小法停球后在3人包夹下10码处捅射左下角入网
22'切尔西前场抢断，阿扎尔拿球                   19'切尔西第19分钟取得领先，阿扎尔同科斯塔踢墙配合后传球，佩德罗禁区右侧低传，小法停球后在3人包夹下10码处捅射左下角入网
51'切尔西前场进攻，阿扎尔下底强突                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
51'倒三角回传中路，小法跟进抽射，击中横梁出底线！                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
51'阿隆索左路拿球，面对逼抢，回传坎特                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
51'坎特再给路易斯，路易斯长传前场左路给阿扎尔                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
52'阿扎尔拿球内切，斜传右侧给到摩西                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
