4'斯特罗特曼为罗马赢得一个任意球.                   1'第1分钟，纳英戈兰传球，沙拉维禁区右侧打高
4'国际米兰球员伊卡尔迪拼抢犯规,对手获得控球权.                   1'第1分钟，纳英戈兰传球，沙拉维禁区右侧打高
23'国际米兰球员加格里亚迪尼拼抢犯规,对手获得控球权.                   22'国米第22分钟险些破门，加利亚尔迪尼后场精准直传，伊卡尔迪反越位变线扣过马诺拉斯，在法齐奥轻微推搡下倒在禁区内，主裁判马萨不予理会
23'纳因戈兰为罗马在对方半场,赢得一个任意球.                   22'国米第22分钟险些破门，加利亚尔迪尼后场精准直传，伊卡尔迪反越位变线扣过马诺拉斯，在法齐奥轻微推搡下倒在禁区内，主裁判马萨不予理会
24'格尔森将球处理出底线,国际米兰获得角球.                   22'国米第22分钟险些破门，加利亚尔迪尼后场精准直传，伊卡尔迪反越位变线扣过马诺拉斯，在法齐奥轻微推搡下倒在禁区内，主裁判马萨不予理会
31'进球啦！！！罗马球员沙拉维大禁区右侧右脚射门,球从左下角飞进球门,球进了! 国际米兰 0-1 罗马.                   31'罗马第31分钟取得领先
33'国际米兰球员伊卡尔迪大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是维奇诺.                   31'罗马第31分钟取得领先
34'罗马球员纳因戈兰右侧很远处右脚射门,被防守球员封堵.给他传球的是斯特罗特曼.                   31'罗马第31分钟取得领先
44'弗洛伦齐将球处理出底线,国际米兰获得角球.                   42'国米第42分钟错过扳平机会，加利亚尔迪尼中场长距离直传被马诺拉斯漏过，伊卡尔迪几乎形成单刀，但阿利松及时出击脚下救险
44'格尔森为罗马赢得一个任意球.                   42'国米第42分钟错过扳平机会，加利亚尔迪尼中场长距离直传被马诺拉斯漏过，伊卡尔迪几乎形成单刀，但阿利松及时出击脚下救险
44'国际米兰球员坎赛罗拼抢犯规,对手获得控球权.                   42'国米第42分钟错过扳平机会，加利亚尔迪尼中场长距离直传被马诺拉斯漏过，伊卡尔迪几乎形成单刀，但阿利松及时出击脚下救险
45'上半场结束,国际米兰 0-1 罗马,稍事休息,我们一会来看看下半场两队的表现.                   42'国米第42分钟错过扳平机会，加利亚尔迪尼中场长距离直传被马诺拉斯漏过，伊卡尔迪几乎形成单刀，但阿利松及时出击脚下救险
45'国际米兰换人,布罗佐维奇上,加格里亚迪尼因伤下场.                   42'国米第42分钟错过扳平机会，加利亚尔迪尼中场长距离直传被马诺拉斯漏过，伊卡尔迪几乎形成单刀，但阿利松及时出击脚下救险
74'射门!!!国际米兰球员伊卡尔迪大禁区中央左脚射门,被对方守门员横身扑出.                   74'国米第74分钟几乎扳平
74'罗马换人,胡安换下沙拉维                   74'国米第74分钟几乎扳平
76'坎赛罗为国际米兰在对方半场,赢得一个任意球.                   74'国米第74分钟几乎扳平
76'罗马球员纳因戈兰拼抢犯规,对手获得控球权.                   74'国米第74分钟几乎扳平
77'国际米兰换人,达尔波特换下桑顿                   74'国米第74分钟几乎扳平
86'进球啦！！！国际米兰球员维奇诺大禁区中央头球,球从右下角飞进球门,球进了!助攻的是布罗佐维奇. 国际米兰 1-1 罗马.                   86'国米第86分钟终于追平，布罗佐维奇左路斜传，贝西诺在门前6米处头球入右下角，1比1
87'斯特罗特曼为罗马赢得一个任意球.                   86'国米第86分钟终于追平，布罗佐维奇左路斜传，贝西诺在门前6米处头球入右下角，1比1
87'国际米兰球员埃德拼抢犯规,对手获得控球权.                   86'国米第86分钟终于追平，布罗佐维奇左路斜传，贝西诺在门前6米处头球入右下角，1比1
