5'射门!!!拜仁慕尼黑球员穆勒大禁区中央头球,被对方守门员横身扑出.给他传球的是里贝里.                   5'开场5分钟，里贝里左路传中，穆勒在门前11米处冲顶被特尔施特根没收
8'拜仁慕尼黑球员里贝里大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   5'开场5分钟，里贝里左路传中，穆勒在门前11米处冲顶被特尔施特根没收
20'拜仁慕尼黑球员博阿滕手球,致使对方获得点球.                   20'第20分钟，吉埃尔吉左路传中击中博阿滕右臂，点球
21'进球啦！！！门兴球员马克思右脚射门,球从右下角飞进球门,球进了! 拜仁慕尼黑 0-1 门兴.                   20'第20分钟，吉埃尔吉左路传中击中博阿滕右臂，点球
22'门兴球员斯特兰茨尔拼抢犯规,对手获得控球权.                   20'第20分钟，吉埃尔吉左路传中击中博阿滕右臂，点球
22'曼朱基奇为拜仁慕尼黑在对方半场,赢得一个任意球.                   20'第20分钟，吉埃尔吉左路传中击中博阿滕右臂，点球
23'拜仁慕尼黑球员拉姆一脚直塞球给哈维-马丁内斯,但是边裁举旗显示后者已经越位.                   20'第20分钟，吉埃尔吉左路传中击中博阿滕右臂，点球
26'门兴球员诺德维特拼抢犯规,对手获得控球权.                   26'第26分钟，穆勒突入禁区在文特贴身防守下倒地，主裁判韦尔茨没有中断比赛
26'里贝里为拜仁慕尼黑赢得一个任意球.                   26'第26分钟，穆勒突入禁区在文特贴身防守下倒地，主裁判韦尔茨没有中断比赛
26'黄牌！门兴球员诺德维特因为恶意犯规,被主裁判出示黄牌.                   26'第26分钟，穆勒突入禁区在文特贴身防守下倒地，主裁判韦尔茨没有中断比赛
27'射门!!!拜仁慕尼黑球员里贝里大禁区外右脚射门,被对方守门员横身扑出.给他传球的是拉姆.                   26'第26分钟，穆勒突入禁区在文特贴身防守下倒地，主裁判韦尔茨没有中断比赛
27'施特根将球处理出底线,拜仁慕尼黑获得角球.                   26'第26分钟，穆勒突入禁区在文特贴身防守下倒地，主裁判韦尔茨没有中断比赛
27'射门!!!拜仁慕尼黑球员里贝里大禁区外右脚射门,被对方守门员横身扑出.给他传球的是拉姆.                   27'第27分钟，里贝里在门前20米处大力抽射被特尔施特根托出横梁
27'施特根将球处理出底线,拜仁慕尼黑获得角球.                   27'第27分钟，里贝里在门前20米处大力抽射被特尔施特根托出横梁
30'门兴球员希格西拼抢犯规,对手获得控球权.                   27'第27分钟，里贝里在门前20米处大力抽射被特尔施特根托出横梁
30'克罗斯为拜仁慕尼黑在对方半场,赢得一个任意球.                   27'第27分钟，里贝里在门前20米处大力抽射被特尔施特根托出横梁
30'门兴球员希格西拼抢犯规,对手获得控球权.                   30'第30分钟，里贝里左路横传，克罗斯受到身后吉埃尔吉冲撞倒在禁区内，主裁判韦尔茨判禁区前沿任意球，小猪主罚越过人墙被门线前面的阿朗戈顶出，克罗斯右侧开出角球，丹特头球高出
30'克罗斯为拜仁慕尼黑在对方半场,赢得一个任意球.                   30'第30分钟，里贝里左路横传，克罗斯受到身后吉埃尔吉冲撞倒在禁区内，主裁判韦尔茨判禁区前沿任意球，小猪主罚越过人墙被门线前面的阿朗戈顶出，克罗斯右侧开出角球，丹特头球高出
31'拜仁慕尼黑球员施魏因斯泰格大禁区外右脚射门,被防守球员封堵.                   30'第30分钟，里贝里左路横传，克罗斯受到身后吉埃尔吉冲撞倒在禁区内，主裁判韦尔茨判禁区前沿任意球，小猪主罚越过人墙被门线前面的阿朗戈顶出，克罗斯右侧开出角球，丹特头球高出
31'温特将球处理出底线,拜仁慕尼黑获得角球.                   30'第30分钟，里贝里左路横传，克罗斯受到身后吉埃尔吉冲撞倒在禁区内，主裁判韦尔茨判禁区前沿任意球，小猪主罚越过人墙被门线前面的阿朗戈顶出，克罗斯右侧开出角球，丹特头球高出
32'拜仁慕尼黑球员丹特大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是克罗斯.                   30'第30分钟，里贝里左路横传，克罗斯受到身后吉埃尔吉冲撞倒在禁区内，主裁判韦尔茨判禁区前沿任意球，小猪主罚越过人墙被门线前面的阿朗戈顶出，克罗斯右侧开出角球，丹特头球高出
33'门兴球员阿朗戈拼抢犯规,对手获得控球权.                   30'第30分钟，里贝里左路横传，克罗斯受到身后吉埃尔吉冲撞倒在禁区内，主裁判韦尔茨判禁区前沿任意球，小猪主罚越过人墙被门线前面的阿朗戈顶出，克罗斯右侧开出角球，丹特头球高出
33'施魏因斯泰格为拜仁慕尼黑赢得一个任意球.                   30'第30分钟，里贝里左路横传，克罗斯受到身后吉埃尔吉冲撞倒在禁区内，主裁判韦尔茨判禁区前沿任意球，小猪主罚越过人墙被门线前面的阿朗戈顶出，克罗斯右侧开出角球，丹特头球高出
33'布劳维斯将球处理出底线,拜仁慕尼黑获得角球.                   30'第30分钟，里贝里左路横传，克罗斯受到身后吉埃尔吉冲撞倒在禁区内，主裁判韦尔茨判禁区前沿任意球，小猪主罚越过人墙被门线前面的阿朗戈顶出，克罗斯右侧开出角球，丹特头球高出
40'拜仁慕尼黑球员克罗斯大禁区外尝试右脚射门,可惜皮球高出球门.                   40'第40分钟，克罗斯任意球高出
43'布劳维斯将球处理出底线,拜仁慕尼黑获得角球.                   40'第40分钟，克罗斯任意球高出
43'拜仁慕尼黑球员博阿滕大禁区左侧左脚射门,被防守球员封堵.给他传球的是曼朱基奇.                   40'第40分钟，克罗斯任意球高出
43'扬奇克将球处理出底线,拜仁慕尼黑获得角球.                   40'第40分钟，克罗斯任意球高出
43'拜仁慕尼黑球员穆勒球门线跟前尝试头球,可惜皮球稍稍高出球门.给他传球的是里贝里.                   40'第40分钟，克罗斯任意球高出
50'拜仁慕尼黑球员穆勒一脚直塞球给里贝里,但是边裁举旗显示后者已经越位.                   50'拜仁与门兴近5场正式比赛上半时都未能进球，本场之前，拜仁本赛季主场比分落后的时间之和也只有9分钟
55'斯特兰茨尔将球处理出底线,拜仁慕尼黑获得角球.                   55'第55分钟，沙奇里左侧开出角球，丹特在门前8米处头球稍稍偏出左门柱
55'拜仁慕尼黑球员丹特大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是沙基里.                   55'第55分钟，沙奇里左侧开出角球，丹特在门前8米处头球稍稍偏出左门柱
56'汉克为门兴在右路,赢得一个任意球.                   55'第55分钟，沙奇里左侧开出角球，丹特在门前8米处头球稍稍偏出左门柱
56'拜仁慕尼黑球员丹特拼抢犯规,对手获得控球权.                   55'第55分钟，沙奇里左侧开出角球，丹特在门前8米处头球稍稍偏出左门柱
56'黄牌！拜仁慕尼黑球员丹特因为恶意犯规,被主裁判出示黄牌.                   55'第55分钟，沙奇里左侧开出角球，丹特在门前8米处头球稍稍偏出左门柱
56'门兴汉克受伤倒地,比赛暂停                   55'第55分钟，沙奇里左侧开出角球，丹特在门前8米处头球稍稍偏出左门柱
57'暂停结束,球员们重新开始比赛.                   55'第55分钟，沙奇里左侧开出角球，丹特在门前8米处头球稍稍偏出左门柱
57'拜仁慕尼黑换人,戈麦斯换下曼朱基奇                   55'第55分钟，沙奇里左侧开出角球，丹特在门前8米处头球稍稍偏出左门柱
58'汉克为门兴赢得一个任意球.                   55'第55分钟，沙奇里左侧开出角球，丹特在门前8米处头球稍稍偏出左门柱
58'拜仁慕尼黑球员阿拉巴拼抢犯规,对手获得控球权.                   55'第55分钟，沙奇里左侧开出角球，丹特在门前8米处头球稍稍偏出左门柱
59'进球啦！！！拜仁慕尼黑球员沙基里大禁区左侧左脚射门,球从左下角飞进球门,球进了! 拜仁慕尼黑 1-1 门兴.                   59'第59分钟，里贝里中路突破，马克斯得球不及时破坏，却选择传向边路，沙奇里左侧断球距门12米处左脚抽射钻入近角，1比1
62'布劳维斯为门兴赢得一个任意球.                   59'第59分钟，里贝里中路突破，马克斯得球不及时破坏，却选择传向边路，沙奇里左侧断球距门12米处左脚抽射钻入近角，1比1
62'拜仁慕尼黑球员戈麦斯拼抢犯规,对手获得控球权.                   59'第59分钟，里贝里中路突破，马克斯得球不及时破坏，却选择传向边路，沙奇里左侧断球距门12米处左脚抽射钻入近角，1比1
