1'上半场比赛开始！                   1'第1分钟主队占据优势
1'亚泰率先中圈开球                   1'第1分钟主队占据优势
1'达维中场拼抢犯规                   1'第1分钟主队占据优势
1'王燊超后场断球，回敲                   1'第1分钟主队占据优势
2'金周荣大脚，直接开出了边线                   1'第1分钟主队占据优势
2'海森前场接应，孙捷先出脚解围                   1'第1分钟主队占据优势
2'上港这边界外球违例                   1'第1分钟主队占据优势
3'武磊中场断球，停大了，被反抢                   1'第1分钟主队占据优势
3'韩德明左路越位                   1'第1分钟主队占据优势
3'孙祥左路回敲，转移另一侧                   1'第1分钟主队占据优势
3'孔卡直塞，达维拉球转身没过去                   1'第1分钟主队占据优势
4'孙祥左路45度角起球，海森前点头球一蹭被门将拿到                   1'第1分钟主队占据优势
4'望眼遇川12：我一看本场，主裁判名字，立马乐了。。。                   1'第1分钟主队占据优势
4'孙祥左路45度角起球，海森前点头球一蹭被门将拿到                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
4'望眼遇川12：我一看本场，主裁判名字，立马乐了。。。                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
5'宋振瑜解围踢成了低平球，被禁区外的武磊拦截                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
5'武磊直接起脚，没打上力量                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
5'达维挑传禁区，吕文君禁区内领球转身！                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
5'面对出击的宋振瑜，吕文君的垫射打偏！出了远门柱！                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
6'张笑飞左路拿球，停出了边线                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
6'上港后场控制球                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
6'达维中路拿球，海森回撤接应                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
7'孔卡送直塞，海森底线前回敲，力量小了                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
7'伊斯梅洛夫中场争头球压人了                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
7'吕文君左路下底抽传远点，稍大                   4'第4分钟上港左路达维精准传球，吕文君在亚泰后卫身后突然内切杀出，第一时间右脚卸球转身随即左脚射门，皮球稍稍偏出
15'狼来了18535：上海上半场必进球                   15'第15分钟胡斯蒂右路防守拽倒孔卡，谭海判罚任意球，孔卡声东击西把球传到禁区外围，武磊怒射被对方队员挡出
15'张笑飞左路传中，石柯头球解围                   15'第15分钟胡斯蒂右路防守拽倒孔卡，谭海判罚任意球，孔卡声东击西把球传到禁区外围，武磊怒射被对方队员挡出
16'孔卡左路拿球急停转身，被拉倒了                   15'第15分钟胡斯蒂右路防守拽倒孔卡，谭海判罚任意球，孔卡声东击西把球传到禁区外围，武磊怒射被对方队员挡出
16'上港左侧的任意球机会                   15'第15分钟胡斯蒂右路防守拽倒孔卡，谭海判罚任意球，孔卡声东击西把球传到禁区外围，武磊怒射被对方队员挡出
17'孔卡任意球开禁区前                   15'第15分钟胡斯蒂右路防守拽倒孔卡，谭海判罚任意球，孔卡声东击西把球传到禁区外围，武磊怒射被对方队员挡出
17'武磊调整一步远射被封堵                   15'第15分钟胡斯蒂右路防守拽倒孔卡，谭海判罚任意球，孔卡声东击西把球传到禁区外围，武磊怒射被对方队员挡出
17'石柯斜传转移左路，大了，出边线                   15'第15分钟胡斯蒂右路防守拽倒孔卡，谭海判罚任意球，孔卡声东击西把球传到禁区外围，武磊怒射被对方队员挡出
18'蒋哲右路助攻，直塞没有找到队友                   15'第15分钟胡斯蒂右路防守拽倒孔卡，谭海判罚任意球，孔卡声东击西把球传到禁区外围，武磊怒射被对方队员挡出
18'孙祥长传找海森，头球被阿克斯先顶出去                   15'第15分钟胡斯蒂右路防守拽倒孔卡，谭海判罚任意球，孔卡声东击西把球传到禁区外围，武磊怒射被对方队员挡出
19'裴帅带球被达维断下                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
19'张笑飞回防中推人了                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
20'上港右路进攻，武磊下底                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
20'上港进球了！！！                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
20'武磊！！！                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
20'武磊右路下底横切入禁区，横传打在伊斯梅洛夫腿上折射入网！出其不意！                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
21'上港1-0领先亚泰！                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
21'吕文君左路回扣一步，右脚传中被顶出                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
21'杜震宇直塞被金周荣解围出去                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
22'武磊中路带球突破被闫峰推倒了                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
22'裁判黄牌警告了闫峰                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
22'上港前场中路的任意球                   19'但第19分钟上港给了客队狠狠一击棒，王燊超右路传中，武磊沿肋部快速接应，带球杀入禁区右侧，伊斯梅洛夫上前防守，武磊小角度果断起脚传中，球打在伊斯梅洛夫腿上折射飞入大门，1比0，上港领先
22'武磊中路带球突破被闫峰推倒了                   22'第22分钟孙祥左路分球，达维下底传中，吕文君门前抢射，被经验老到的宋振瑜早早出击扑出
22'裁判黄牌警告了闫峰                   22'第22分钟孙祥左路分球，达维下底传中，吕文君门前抢射，被经验老到的宋振瑜早早出击扑出
22'上港前场中路的任意球                   22'第22分钟孙祥左路分球，达维下底传中，吕文君门前抢射，被经验老到的宋振瑜早早出击扑出
23'海森接应武磊直塞，横扫门前，吕文君包抄慢了                   22'第22分钟孙祥左路分球，达维下底传中，吕文君门前抢射，被经验老到的宋振瑜早早出击扑出
23'外围还是上港控制，再做组织                   22'第22分钟孙祥左路分球，达维下底传中，吕文君门前抢射，被经验老到的宋振瑜早早出击扑出
23'达维左路下底传中，前点吕文君垫射被门将扑出！                   22'第22分钟孙祥左路分球，达维下底传中，吕文君门前抢射，被经验老到的宋振瑜早早出击扑出
24'武磊左路内切被裴帅绊倒，任意球                   22'第22分钟孙祥左路分球，达维下底传中，吕文君门前抢射，被经验老到的宋振瑜早早出击扑出
25'孙祥任意球到前点被挡                   22'第22分钟孙祥左路分球，达维下底传中，吕文君门前抢射，被经验老到的宋振瑜早早出击扑出
25'海森跟上半转身的凌空抽射被宋振瑜飞身扑出！                   22'第22分钟孙祥左路分球，达维下底传中，吕文君门前抢射，被经验老到的宋振瑜早早出击扑出
25'孔卡角球开外围，达维凌空抽射再被宋振瑜扑出！                   22'第22分钟孙祥左路分球，达维下底传中，吕文君门前抢射，被经验老到的宋振瑜早早出击扑出
25'孙祥任意球到前点被挡                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
25'海森跟上半转身的凌空抽射被宋振瑜飞身扑出！                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
25'孔卡角球开外围，达维凌空抽射再被宋振瑜扑出！                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
26'连续两次的精彩射门和扑救                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
26'达维横传失误，丢了                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
26'胡斯蒂的射门被颜骏凌扑出，门前一片混战                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
26'连续的抢点和封堵                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
26'高球到后点，亚泰队员压人犯规了                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
27'伊斯梅洛夫后场出球也失误                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
27'孙祥左路传中，海森禁区线内直接迎球倒钩打偏！                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
27'经过休赛期，看起来队员们的状态都很出色                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
28'nickelback82：宋振瑜神了                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
28'宋振瑜大脚去前场，金周荣内收之后解围                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
28'吕文君前场反抢                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
28'直接塞禁区前的海森                   25'第25分钟长春队也险些得分，达维送球失误，长春队火速反击，胡斯蒂外围怒射被颜骏凌扑出，长春队外围再来，最后韩德明头球高出
27'伊斯梅洛夫后场出球也失误                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
27'孙祥左路传中，海森禁区线内直接迎球倒钩打偏！                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
27'经过休赛期，看起来队员们的状态都很出色                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
28'nickelback82：宋振瑜神了                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
28'宋振瑜大脚去前场，金周荣内收之后解围                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
28'吕文君前场反抢                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
28'直接塞禁区前的海森                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
29'海森单刀面对门将，拉开一步低射被宋振瑜扑出！角球！                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
29'孔卡角球开前点，蔡慧康头球砸在横梁上出界！                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
29'上港连续的围攻，一浪高过一浪                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
30'吕文君右路传中                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
30'上港进球了！！！                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
30'达维！！！                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
30'吕文君右路半高球传中到禁区，孔卡头球漏过，后插上的达维弹射入死角！                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
30'上港2-0领先亚泰！                   27'第27分钟吕文君抢断后右路斜线送球，海森破了越位陷阱，单刀向大门扑出，但球打在宋振瑜腿上后出界
29'海森单刀面对门将，拉开一步低射被宋振瑜扑出！角球！                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
