2'曼联球员纳尼大禁区外右脚射门,被防守球员封堵.给他传球的是香川真司.                   1'双方第1分钟均显得小心谨慎
15'曼联球员纳尼大禁区右侧左脚射门,被防守球员封堵.给他传球的是鲁尼.                   15'第15分钟，纳尼快速反击中禁区右侧的射门被封堵，卡里克丢球后犯规被罚黄牌
15'贝拉赫诺为西布罗姆维奇在对方半场,赢得一个任意球.                   15'第15分钟，纳尼快速反击中禁区右侧的射门被封堵，卡里克丢球后犯规被罚黄牌
15'曼联球员安德森拼抢犯规,对手获得控球权.                   15'第15分钟，纳尼快速反击中禁区右侧的射门被封堵，卡里克丢球后犯规被罚黄牌
15'曼联球员卡里克被主裁判出示了一张黄牌.                   15'第15分钟，纳尼快速反击中禁区右侧的射门被封堵，卡里克丢球后犯规被罚黄牌
17'曼联球员鲁尼一脚直塞球给埃尔南德斯,但是边裁举旗显示后者已经越位.                   15'第15分钟，纳尼快速反击中禁区右侧的射门被封堵，卡里克丢球后犯规被罚黄牌
18'贝拉赫诺为西布罗姆维奇在左路,赢得一个任意球.                   15'第15分钟，纳尼快速反击中禁区右侧的射门被封堵，卡里克丢球后犯规被罚黄牌
18'曼联球员卡里克拼抢犯规,对手获得控球权.                   15'第15分钟，纳尼快速反击中禁区右侧的射门被封堵，卡里克丢球后犯规被罚黄牌
18'西布罗姆维奇球员斯瑟格农拼抢犯规,对手获得控球权.                   15'第15分钟，纳尼快速反击中禁区右侧的射门被封堵，卡里克丢球后犯规被罚黄牌
18'布特纳为曼联赢得一个任意球.                   15'第15分钟，纳尼快速反击中禁区右侧的射门被封堵，卡里克丢球后犯规被罚黄牌
23'西布罗姆维奇球员里奇维尔拼抢犯规,对手获得控球权.                   20'第20分钟，纳尼右路摆脱2人后传中，埃尔南德斯小禁区内仍然错过皮球
23'纳尼为曼联在右路,赢得一个任意球.                   20'第20分钟，纳尼右路摆脱2人后传中，埃尔南德斯小禁区内仍然错过皮球
23'西布罗姆维奇球员雅各布拼抢犯规,对手获得控球权.                   20'第20分钟，纳尼右路摆脱2人后传中，埃尔南德斯小禁区内仍然错过皮球
23'鲁尼为曼联在右路,赢得一个任意球.                   20'第20分钟，纳尼右路摆脱2人后传中，埃尔南德斯小禁区内仍然错过皮球
29'菲尔-琼斯将球处理出底线,西布罗姆维奇获得角球.                   29'西布朗第29分钟险些破门，阿马尔菲塔诺左路传中，贝拉希诺10码处冲顶，皮球擦右侧立柱偏出
29'西布罗姆维奇球员贝拉赫诺大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是阿玛尔菲塔诺.                   29'西布朗第29分钟险些破门，阿马尔菲塔诺左路传中，贝拉希诺10码处冲顶，皮球擦右侧立柱偏出
31'里奇维尔将球处理出底线,曼联获得角球.                   29'西布朗第29分钟险些破门，阿马尔菲塔诺左路传中，贝拉希诺10码处冲顶，皮球擦右侧立柱偏出
31'射门!!!曼联球员安德森大禁区外左脚射门,被对方守门员横身扑出.给他传球的是纳尼.                   29'西布朗第29分钟险些破门，阿马尔菲塔诺左路传中，贝拉希诺10码处冲顶，皮球擦右侧立柱偏出
