10'太靠近门将，切赫将球没收                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
10'曼城在中场很快就反抢回来                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
10'图雷底线传中，没有处理好啊                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
11'登巴巴还是拉边，传中球被后卫挡出                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
12'兰帕德的传中质量不错，还好是科洛图雷抢到了前点                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
12'切尔西逐渐进入了状态                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
12'米克尔铲倒了阿奎罗                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
12'裁判示意比赛继续                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
12'阿奎罗痛苦倒地，切尔西并没有放弃进攻                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
13'切尔西总是打高球，曼城的后卫海拔可不低啊                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
13'阿奎罗跳起来有个抬肘的动作，看起来刚才的犯规让他心绪难平                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
13'裁判吹了犯规，切尔西的定位球                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
13'切尔西强打中路，人太多了                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
17'米尔纳往右路给，萨巴莱塔直接传中                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
17'阿奎罗抢头球，被路易斯顶到了                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
18'席尔瓦直传禁区，亚亚图雷抬脚就射！                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
18'这球打了个高射炮，看起来是卡希尔挡了一下                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
18'曼城的角球机会                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
18'给个战术角球，席尔瓦直塞！                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
18'罗德维尔左脚打门被后卫封堵                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
18'切尔西门前真是风声鹤唳                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
19'阿奎罗单刀机会！！！                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
19'想过门将，唉！没机会了                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
19'阿奎罗自己把球趟出了底线                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
19'切尔西这防守漏洞很多啊                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
19'曼城至少获得了两次必进球机会                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
20'席尔瓦再次拿到皮球，转身交给了亚亚图雷                   17'第17分钟，席尔瓦传球，亚亚-图雷在禁区左肋的射门被卡希尔挡出底线
18'席尔瓦直传禁区，亚亚图雷抬脚就射！                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
18'这球打了个高射炮，看起来是卡希尔挡了一下                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
18'曼城的角球机会                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
18'给个战术角球，席尔瓦直塞！                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
18'罗德维尔左脚打门被后卫封堵                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
