13'射门!!!不来梅球员埃利亚右侧很远处左脚射门,被对方守门员横身扑出.给他传球的是亨特.                   13'开场13分钟，埃利亚右侧禁区边缘左脚射门被诺伊尔得到
14'不来梅球员埃利亚拼抢犯规,对手获得控球权.                   13'开场13分钟，埃利亚右侧禁区边缘左脚射门被诺伊尔得到
14'里贝里为拜仁慕尼黑在对方半场,赢得一个任意球.                   13'开场13分钟，埃利亚右侧禁区边缘左脚射门被诺伊尔得到
14'迪桑托将球处理出底线,拜仁慕尼黑获得角球.                   13'开场13分钟，埃利亚右侧禁区边缘左脚射门被诺伊尔得到
15'拜仁慕尼黑球员博阿滕大禁区中央右脚射门,被防守球员封堵.给他传球的是里贝里.                   13'开场13分钟，埃利亚右侧禁区边缘左脚射门被诺伊尔得到
16'迪桑托将球处理出底线,拜仁慕尼黑获得角球.                   13'开场13分钟，埃利亚右侧禁区边缘左脚射门被诺伊尔得到
18'不来梅球员亨特大禁区左侧左脚射门,被防守球员封堵.给他传球的是埃利亚.                   18'第18分钟，埃利亚左路传中，洪特左脚推射被博阿滕挡出底线
18'博阿滕将球处理出底线,不来梅获得角球.                   18'第18分钟，埃利亚左路传中，洪特左脚推射被博阿滕挡出底线
18'不来梅球员埃利亚拼抢犯规,对手获得控球权.                   18'第18分钟，埃利亚左路传中，洪特左脚推射被博阿滕挡出底线
18'拉菲尼亚为拜仁慕尼黑赢得一个任意球.                   18'第18分钟，埃利亚左路传中，洪特左脚推射被博阿滕挡出底线
19'卡尔迪罗拉为不来梅赢得一个任意球.                   18'第18分钟，埃利亚左路传中，洪特左脚推射被博阿滕挡出底线
19'拜仁慕尼黑球员穆勒拼抢犯规,对手获得控球权.                   18'第18分钟，埃利亚左路传中，洪特左脚推射被博阿滕挡出底线
21'不来梅球员卢金亚-穆隆戈蒂自摆乌龙,不来梅 0-1 拜仁慕尼黑                   18'第18分钟，埃利亚左路传中，洪特左脚推射被博阿滕挡出底线
