11'天津泰达今天身穿白色球衣！                   9'第9分钟，泰达继续攻势，外围长传球到右路，乔纳森内切左脚一记搓射高出横梁
11'河南建业身穿红色球衣！                   9'第9分钟，泰达继续攻势，外围长传球到右路，乔纳森内切左脚一记搓射高出横梁
14'天津泰达率先取得进球！                   14'第14分钟，泰达继续展开攻势，左侧弧顶有阿奇姆彭杀入进球后面对门将吴龑一脚推射，吴龑将球侧扑出去
16'天津泰达拿到左侧角球机会！                   14'第14分钟，泰达继续展开攻势，左侧弧顶有阿奇姆彭杀入进球后面对门将吴龑一脚推射，吴龑将球侧扑出去
16'角球给到前点！被头球解围了！                   14'第14分钟，泰达继续展开攻势，左侧弧顶有阿奇姆彭杀入进球后面对门将吴龑一脚推射，吴龑将球侧扑出去
31'伊沃左侧背身拿球！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
31'被郭皓身后犯规了！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
32'河南建业获得前场右路任意球机会！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
32'传中到小禁区！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
32'巴斯蒂安斯头球解围了！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
33'边线球给出来！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
33'传中到后点！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
33'伊沃得球左脚推射远角！！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
33'偏出左侧立柱！！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
33'伊沃错失良机啊！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
34'白岳峰短传赵英杰！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
34'回传巴斯蒂安斯！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
34'交给中路阿奇姆彭！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
34'直塞左侧底线！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
34'球被铲出了底线！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
34'天津泰达左侧角球！                   31'第31分钟，王飞拿球被放倒，建业获得定位球机会，伊沃主罚左脚旋入禁区后点，被巴斯蒂安斯顶出去解围
33'边线球给出来！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
33'传中到后点！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
33'伊沃得球左脚推射远角！！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
33'偏出左侧立柱！！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
33'伊沃错失良机啊！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
34'白岳峰短传赵英杰！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
34'回传巴斯蒂安斯！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
34'交给中路阿奇姆彭！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
34'直塞左侧底线！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
34'球被铲出了底线！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
34'天津泰达左侧角球！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
35'任意球给到前点被解围了！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
35'白岳峰中场得球！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
35'交给赵宏略！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
35'短传给郭皓！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
35'横敲给巴斯蒂安斯！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
35'巴斯蒂安斯推进直传左侧！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
35'失误了！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
36'河南建业反击长传前场右侧！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
36'赵宏略卡住巴索戈！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
36'球出了边线！                   33'第33分钟，建业边线球给到巴索戈脚下，巴索戈传中，伊沃得球后左脚瞄着兜射稍稍偏出
44'巴斯蒂安斯短传赵宏略！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
44'大脚给到中场！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
44'顾操得球哨响！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
44'给了建业的犯规！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
44'杜佳长传前场！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
44'拼抢后阿奇姆彭得球！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
44'交给买提江！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
