1'上半场比赛开始！！！                   1'曼联第1分钟逐渐控制比赛，马塔左路传中，霍莱巴斯小禁区边缘解围险些自摆乌龙
1'首先开球的是曼联！！                   1'曼联第1分钟逐渐控制比赛，马塔左路传中，霍莱巴斯小禁区边缘解围险些自摆乌龙
3'埃雷拉长传打到底线                   1'曼联第1分钟逐渐控制比赛，马塔左路传中，霍莱巴斯小禁区边缘解围险些自摆乌龙
3'这球送的比较深直接出了底线                   1'曼联第1分钟逐渐控制比赛，马塔左路传中，霍莱巴斯小禁区边缘解围险些自摆乌龙
3'曼联传球找到了马夏尔                   1'曼联第1分钟逐渐控制比赛，马塔左路传中，霍莱巴斯小禁区边缘解围险些自摆乌龙
4'沃特福德这边上抢将球抢断下来                   1'曼联第1分钟逐渐控制比赛，马塔左路传中，霍莱巴斯小禁区边缘解围险些自摆乌龙
27'沃特福德左路拿球给到边线                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
27'斜传球给到禁区内                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
27'迪尼头球摆渡下来                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
27'伊格哈洛停球转身后直接打门                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
27'居然打偏了！！                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
27'沃特福德再次错失进球良机                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
28'曼联左侧进攻上来                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
28'边路起球送禁区                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
28'连续两点的头球摆渡到了后点                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
29'马夏尔停球后打了一个近角                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
29'没有发上力量啊                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
29'马夏尔最近状态也是有些下滑                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
29'拉什福德前场上抢                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
30'险些将球抢断下来                   27'沃特福德第27分钟再次险些破门，卡普埃左路传中，迪尼头球摆渡，伊格哈洛10码处转身低射，皮球擦左侧立柱偏出
84'这样留给沃特福德的时间不多了                   84'曼联第84分钟打破僵局，布里托斯禁区前防守马夏尔犯规，他投诉曼联边锋假摔被裁判驳回，本场队长马塔25码处任意球直接破门
85'沃特福德左路低平球送进来                   84'曼联第84分钟打破僵局，布里托斯禁区前防守马夏尔犯规，他投诉曼联边锋假摔被裁判驳回，本场队长马塔25码处任意球直接破门
85'前点被曼联直接解围了                   84'曼联第84分钟打破僵局，布里托斯禁区前防守马夏尔犯规，他投诉曼联边锋假摔被裁判驳回，本场队长马塔25码处任意球直接破门
85'沃特福德再次换人                   84'曼联第84分钟打破僵局，布里托斯禁区前防守马夏尔犯规，他投诉曼联边锋假摔被裁判驳回，本场队长马塔25码处任意球直接破门
86'贝赫拉米被安尼亚换下                   84'曼联第84分钟打破僵局，布里托斯禁区前防守马夏尔犯规，他投诉曼联边锋假摔被裁判驳回，本场队长马塔25码处任意球直接破门
