2'帕尔马球员桑塔克罗切拼抢犯规,对手获得控球权.                   1'第1分钟，AC米兰主动出击，但难以找到射门机会
2'梅内斯为AC米兰在左路,赢得一个任意球.                   1'第1分钟，AC米兰主动出击，但难以找到射门机会
4'波利将球处理出底线,帕尔马获得角球.                   1'第1分钟，AC米兰主动出击，但难以找到射门机会
24'黄牌！AC米兰球员Marco Van Ginkel因为恶意犯规,被主裁判出示黄牌.                   24'第24分钟，范欣克尔放倒罗德里格斯，被黄牌警告，加洛帕左侧开出任意球，罗德里格斯后点争顶打在波利背上，诺切里诺在门前3米处凌空勾射入近角，1比1，这是他2012年12月以来31场意甲首次破门
24'帕尔马球员罗德里格斯大禁区右侧头球,被防守球员封堵.给他传球的是加洛帕.                   24'第24分钟，范欣克尔放倒罗德里格斯，被黄牌警告，加洛帕左侧开出任意球，罗德里格斯后点争顶打在波利背上，诺切里诺在门前3米处凌空勾射入近角，1比1，这是他2012年12月以来31场意甲首次破门
24'进球啦！！！帕尔马球员诺切里诺球门线跟前右脚射门,球从右下角飞进球门,球进了! AC米兰 1-1 帕尔马.                   24'第24分钟，范欣克尔放倒罗德里格斯，被黄牌警告，加洛帕左侧开出任意球，罗德里格斯后点争顶打在波利背上，诺切里诺在门前3米处凌空勾射入近角，1比1，这是他2012年12月以来31场意甲首次破门
26'帕尔马球员卢卡雷利拼抢犯规,对手获得控球权.                   24'第24分钟，范欣克尔放倒罗德里格斯，被黄牌警告，加洛帕左侧开出任意球，罗德里格斯后点争顶打在波利背上，诺切里诺在门前3米处凌空勾射入近角，1比1，这是他2012年12月以来31场意甲首次破门
26'德斯特罗为AC米兰在对方半场,赢得一个任意球.                   24'第24分钟，范欣克尔放倒罗德里格斯，被黄牌警告，加洛帕左侧开出任意球，罗德里格斯后点争顶打在波利背上，诺切里诺在门前3米处凌空勾射入近角，1比1，这是他2012年12月以来31场意甲首次破门
27'桑塔克罗切为帕尔马赢得一个任意球.                   24'第24分钟，范欣克尔放倒罗德里格斯，被黄牌警告，加洛帕左侧开出任意球，罗德里格斯后点争顶打在波利背上，诺切里诺在门前3米处凌空勾射入近角，1比1，这是他2012年12月以来31场意甲首次破门
27'AC米兰球员切尔奇拼抢犯规,对手获得控球权.                   24'第24分钟，范欣克尔放倒罗德里格斯，被黄牌警告，加洛帕左侧开出任意球，罗德里格斯后点争顶打在波利背上，诺切里诺在门前3米处凌空勾射入近角，1比1，这是他2012年12月以来31场意甲首次破门
35'AC米兰球员德斯特罗大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是Marco Van Ginkel.                   35'第35分钟，范欣克尔传过顶球，德斯特罗禁区边缘直接头球吊射，落在球网上方
36'戈比为帕尔马赢得一个任意球.                   35'第35分钟，范欣克尔传过顶球，德斯特罗禁区边缘直接头球吊射，落在球网上方
36'AC米兰球员切尔奇拼抢犯规,对手获得控球权.                   35'第35分钟，范欣克尔传过顶球，德斯特罗禁区边缘直接头球吊射，落在球网上方
37'帕尔马球员帕拉迪诺大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是诺切里诺.                   35'第35分钟，范欣克尔传过顶球，德斯特罗禁区边缘直接头球吊射，落在球网上方
38'戈比为帕尔马在左路,赢得一个任意球.                   35'第35分钟，范欣克尔传过顶球，德斯特罗禁区边缘直接头球吊射，落在球网上方
38'AC米兰球员德斯特罗拼抢犯规,对手获得控球权.                   35'第35分钟，范欣克尔传过顶球，德斯特罗禁区边缘直接头球吊射，落在球网上方
38'黄牌！AC米兰球员德斯特罗因为恶意犯规,被主裁判出示黄牌.                   35'第35分钟，范欣克尔传过顶球，德斯特罗禁区边缘直接头球吊射，落在球网上方
39'射门!!!帕尔马球员瓦雷拉大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是罗德里格斯.                   39'第39分钟，罗德里格斯分球，巴雷拉禁区右侧低射被迭戈-洛佩斯扑出，拉米拿球后没有直接破坏，而是想晃过对方球员，结果被诺切里诺断下，诺切里诺射门太正，被迭戈-洛佩斯得到
39'射门!!!帕尔马球员诺切里诺大禁区中央右脚射门,被对方守门员横身扑出.                   39'第39分钟，罗德里格斯分球，巴雷拉禁区右侧低射被迭戈-洛佩斯扑出，拉米拿球后没有直接破坏，而是想晃过对方球员，结果被诺切里诺断下，诺切里诺射门太正，被迭戈-洛佩斯得到
39'帕尔马球员加洛帕大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   39'第39分钟，罗德里格斯分球，巴雷拉禁区右侧低射被迭戈-洛佩斯扑出，拉米拿球后没有直接破坏，而是想晃过对方球员，结果被诺切里诺断下，诺切里诺射门太正，被迭戈-洛佩斯得到
40'帕尔马球员罗德里格斯拼抢犯规,对手获得控球权.                   39'第39分钟，罗德里格斯分球，巴雷拉禁区右侧低射被迭戈-洛佩斯扑出，拉米拿球后没有直接破坏，而是想晃过对方球员，结果被诺切里诺断下，诺切里诺射门太正，被迭戈-洛佩斯得到
40'波利为AC米兰赢得一个任意球.                   39'第39分钟，罗德里格斯分球，巴雷拉禁区右侧低射被迭戈-洛佩斯扑出，拉米拿球后没有直接破坏，而是想晃过对方球员，结果被诺切里诺断下，诺切里诺射门太正，被迭戈-洛佩斯得到
