2'多特蒙德球员罗伊斯大禁区外尝试右脚射门,可惜皮球高出球门.                   2'开场不到2分钟，罗伊斯便头顶脚踢两次射门
2'多特蒙德球员罗伊斯大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是登贝莱.                   2'开场不到2分钟，罗伊斯便头顶脚踢两次射门
3'门兴球员文特一脚直塞球给J-霍夫曼,但是边裁举旗显示后者已经越位.                   2'开场不到2分钟，罗伊斯便头顶脚踢两次射门
43'进球啦！！！门兴球员施廷德尔大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是哈恩. 门兴 1-1 多特蒙德.                   43'门兴第43分钟追平，梅里诺后场横传失误，哈恩断球分到左侧，施廷德尔在门前12米外左脚斜射入网，1比1
45'+2'上半场结束,门兴 1-1 多特蒙德,稍事休息,我们一会来看看下半场两队的表现.                   43'门兴第43分钟追平，梅里诺后场横传失误，哈恩断球分到左侧，施廷德尔在门前12米外左脚斜射入网，1比1
46'门兴球员萨默一脚直塞球给施廷德尔,但是边裁举旗显示后者已经越位.                   43'门兴第43分钟追平，梅里诺后场横传失误，哈恩断球分到左侧，施廷德尔在门前12米外左脚斜射入网，1比1
59'门兴球员J-霍夫曼拼抢犯规,对手获得控球权.                   59'第59分钟，登贝莱精准直塞，奥巴梅扬禁区左侧趟过门将佐默，左脚小角度推进球门顶端，2比2
59'普利西奇为多特蒙德赢得一个任意球.                   59'第59分钟，登贝莱精准直塞，奥巴梅扬禁区左侧趟过门将佐默，左脚小角度推进球门顶端，2比2
59'进球啦！！！多特蒙德球员奥巴梅扬球门左侧小角度左脚射门,球从中路偏上飞进球门,球进了!助攻的是登贝莱. 门兴 2-2 多特蒙德.                   59'第59分钟，登贝莱精准直塞，奥巴梅扬禁区左侧趟过门将佐默，左脚小角度推进球门顶端，2比2
60'门兴球员萨默一脚直塞球给哈恩,但是边裁举旗显示后者已经越位.                   59'第59分钟，登贝莱精准直塞，奥巴梅扬禁区左侧趟过门将佐默，左脚小角度推进球门顶端，2比2
62'射门!!!多特蒙德球员普利西奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是登贝莱.                   59'第59分钟，登贝莱精准直塞，奥巴梅扬禁区左侧趟过门将佐默，左脚小角度推进球门顶端，2比2
77'射门!!!门兴球员赫尔曼大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是施廷德尔.                   77'多特第77分钟逃过一劫，施廷德尔直塞禁区右侧，替补出场的赫尔曼在门前11米处单刀推射被比尔基出击封出
77'博尔基将球处理出底线,门兴获得角球.                   77'多特第77分钟逃过一劫，施廷德尔直塞禁区右侧，替补出场的赫尔曼在门前11米处单刀推射被比尔基出击封出
77'门兴球员克里斯滕森拼抢犯规,对手获得控球权.                   77'多特第77分钟逃过一劫，施廷德尔直塞禁区右侧，替补出场的赫尔曼在门前11米处单刀推射被比尔基出击封出
77'施梅尔策为多特蒙德赢得一个任意球.                   77'多特第77分钟逃过一劫，施廷德尔直塞禁区右侧，替补出场的赫尔曼在门前11米处单刀推射被比尔基出击封出
79'多特蒙德球员梅里诺被主裁判出示了一张黄牌.                   77'多特第77分钟逃过一劫，施廷德尔直塞禁区右侧，替补出场的赫尔曼在门前11米处单刀推射被比尔基出击封出
87'多特蒙德换人,莫尔换下登贝莱                   87'多特第87分钟上演绝杀，卡斯特罗左侧开出任意球，格雷罗前点距门9米处头球蹭进远角，3比2
87'进球啦！！！多特蒙德球员圭雷罗大禁区中央头球,球从右下角飞进球门,球进了!助攻的是卡斯特罗. 门兴 2-3 多特蒙德.                   87'多特第87分钟上演绝杀，卡斯特罗左侧开出任意球，格雷罗前点距门9米处头球蹭进远角，3比2
89'门兴球员韦斯特高大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是贝奈斯.                   87'多特第87分钟上演绝杀，卡斯特罗左侧开出任意球，格雷罗前点距门9米处头球蹭进远角，3比2
90'+2'贝奈斯为门兴赢得一个任意球.                   87'多特第87分钟上演绝杀，卡斯特罗左侧开出任意球，格雷罗前点距门9米处头球蹭进远角，3比2
90'+2'多特蒙德球员杜尔姆拼抢犯规,对手获得控球权.                   87'多特第87分钟上演绝杀，卡斯特罗左侧开出任意球，格雷罗前点距门9米处头球蹭进远角，3比2
90'+3'多特蒙德球员博尔基被主裁判出示了一张黄牌.                   87'多特第87分钟上演绝杀，卡斯特罗左侧开出任意球，格雷罗前点距门9米处头球蹭进远角，3比2
90'+3'贝奈斯将球处理出底线,多特蒙德获得角球.                   87'多特第87分钟上演绝杀，卡斯特罗左侧开出任意球，格雷罗前点距门9米处头球蹭进远角，3比2
90'+4'下半场结束,门兴 2-3 多特蒙德                   87'多特第87分钟上演绝杀，卡斯特罗左侧开出任意球，格雷罗前点距门9米处头球蹭进远角，3比2
