1'上半场比赛开始！                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
1'申花率先中圈开球                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
1'柏佳骏长传前场，被徐云龙头球解围了                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
1'乌塔卡拉边，与队友配合没有打出来                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
1'柏佳骏后场出球被乌塔卡拦截                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
2'张稀哲拉球过人，邵佳一接应直接远射打高！                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
2'斯基亚维后场头球解围了国安后场的长传                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
2'徐云龙后场拿球摆脱逼抢被哈蒂布铲倒                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
3'裁判口头警告了哈蒂布                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
3'徐云龙后场长传禁区，球过了乌塔卡的顶                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
3'张稀哲回撤接应，球交回到后场                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
4'申花中场断球，柏佳骏和宋博轩左路小范围配合被破坏                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
4'国安直接长传找反击机会，乌塔卡没有接应上                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
4'王长庆右路拿球接应，球出了边线                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
7'王大雷球门球直接开出了边线                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
7'柏佳骏左路防守倒地把球铲出边线                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
7'乌塔卡拿球进禁区，晃开李建滨被补防的斯基亚维破坏                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
7'周挺右路把球传入禁区被头球解围，外围还是国安控球                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
8'邵佳一禁区前接应，斯基亚维卡住了身位                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
8'王长庆右路拿球被断，国安反击                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
8'乌塔卡回撤拿球，转身再做输送被戴琳解围                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
8'周挺右路传接球失误了，传出边线                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
9'莫雷诺中场摆脱被绊倒，裁判示意有利球比赛继续                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
9'两队中场连续放铲                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
9'莫雷诺出球后被邵佳一铲倒，裁判黄牌警告了邵佳一                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
10'申花球到前场，很难找到有效拿球点                   7'第7分钟，国安前场右侧界外球掷入，乌塔卡禁区右侧扣球摆脱了李建滨，但被补防的斯基亚维拦截
12'另一侧邵佳一假动作之后连接一个塞球，骗过了防守队员也骗过了队友                   12'第12分钟，乌塔卡强突斯基亚维赢得角球，国安角球发出后连续凌空传递，徐云龙禁区右侧扫传门前时打偏
12'乌塔卡左路拿球强突，斯基亚维卡住线路，角球                   12'第12分钟，乌塔卡强突斯基亚维赢得角球，国安角球发出后连续凌空传递，徐云龙禁区右侧扫传门前时打偏
12'张稀哲角球去前点，王长庆头球解围                   12'第12分钟，乌塔卡强突斯基亚维赢得角球，国安角球发出后连续凌空传递，徐云龙禁区右侧扫传门前时打偏
13'球到外围，国安连续的垫传高球，后点徐云龙以一脚垫射打偏告终                   12'第12分钟，乌塔卡强突斯基亚维赢得角球，国安角球发出后连续凌空传递，徐云龙禁区右侧扫传门前时打偏
13'哈蒂布前场停下第一点，但是没有控制好球丢了                   12'第12分钟，乌塔卡强突斯基亚维赢得角球，国安角球发出后连续凌空传递，徐云龙禁区右侧扫传门前时打偏
14'郎征后场低平球直传前场被拦截                   12'第12分钟，乌塔卡强突斯基亚维赢得角球，国安角球发出后连续凌空传递，徐云龙禁区右侧扫传门前时打偏
14'莫雷诺接应，让球转身被马季奇绊倒                   12'第12分钟，乌塔卡强突斯基亚维赢得角球，国安角球发出后连续凌空传递，徐云龙禁区右侧扫传门前时打偏
14'裁判空调警告了马季奇                   12'第12分钟，乌塔卡强突斯基亚维赢得角球，国安角球发出后连续凌空传递，徐云龙禁区右侧扫传门前时打偏
15'申花斜传转移右路，杨智出击把球没收                   12'第12分钟，乌塔卡强突斯基亚维赢得角球，国安角球发出后连续凌空传递，徐云龙禁区右侧扫传门前时打偏
15'哈蒂布回撤接应，连续挑球过人没有成功                   12'第12分钟，乌塔卡强突斯基亚维赢得角球，国安角球发出后连续凌空传递，徐云龙禁区右侧扫传门前时打偏
19'邵佳一左路传中被挡出底线，角球                   19'第19分钟，莫雷诺右路长传制造单兵快攻机会，王长庆禁区右侧低射被马季奇倒地封堵
19'王晓龙角球到禁区内，王大雷跃起把球拿下                   19'第19分钟，莫雷诺右路长传制造单兵快攻机会，王长庆禁区右侧低射被马季奇倒地封堵
20'莫雷诺斜传禁区，王长庆拿好球进禁区                   19'第19分钟，莫雷诺右路长传制造单兵快攻机会，王长庆禁区右侧低射被马季奇倒地封堵
20'王长庆趟开角度，斜射被后卫倒地封堵！                   19'第19分钟，莫雷诺右路长传制造单兵快攻机会，王长庆禁区右侧低射被马季奇倒地封堵
20'王晓龙换位到右路，起左脚传中被解围                   19'第19分钟，莫雷诺右路长传制造单兵快攻机会，王长庆禁区右侧低射被马季奇倒地封堵
21'莫雷诺后场拿球被张稀哲碰出边线                   19'第19分钟，莫雷诺右路长传制造单兵快攻机会，王长庆禁区右侧低射被马季奇倒地封堵
21'哈蒂布接应托兰佐直塞，横带一步兜远角被杨智扑住！                   19'第19分钟，莫雷诺右路长传制造单兵快攻机会，王长庆禁区右侧低射被马季奇倒地封堵
22'申花中场拿球，捣脚控制下节奏                   19'第19分钟，莫雷诺右路长传制造单兵快攻机会，王长庆禁区右侧低射被马季奇倒地封堵
22'柏佳骏左路出球，球出了边线                   19'第19分钟，莫雷诺右路长传制造单兵快攻机会，王长庆禁区右侧低射被马季奇倒地封堵
24'王长庆右路拿球没能突破张辛昕，回敲队友                   24'第24分钟，朴成禁区前攻门踢空，但国安继续控制展开连续传递，邵佳一右翼传中后，张辛昕禁区弧前低射稍稍打偏
24'莫雷诺左路想脚后跟磕球，没有做好                   24'第24分钟，朴成禁区前攻门踢空，但国安继续控制展开连续传递，邵佳一右翼传中后，张辛昕禁区弧前低射稍稍打偏
25'朴成传球找乌塔卡，斯基亚维抢先出脚解围                   24'第24分钟，朴成禁区前攻门踢空，但国安继续控制展开连续传递，邵佳一右翼传中后，张辛昕禁区弧前低射稍稍打偏
25'乌塔卡背身拿球回敲，朴成脚下打滑了                   24'第24分钟，朴成禁区前攻门踢空，但国安继续控制展开连续传递，邵佳一右翼传中后，张辛昕禁区弧前低射稍稍打偏
25'邵佳一右路传中，李建滨鱼跃头球顶出禁区                   24'第24分钟，朴成禁区前攻门踢空，但国安继续控制展开连续传递，邵佳一右翼传中后，张辛昕禁区弧前低射稍稍打偏
26'禁区外张辛昕接张稀哲做球，跟上远射打偏！                   24'第24分钟，朴成禁区前攻门踢空，但国安继续控制展开连续传递，邵佳一右翼传中后，张辛昕禁区弧前低射稍稍打偏
26'托兰佐中场出球找莫雷诺，没有传到位                   24'第24分钟，朴成禁区前攻门踢空，但国安继续控制展开连续传递，邵佳一右翼传中后，张辛昕禁区弧前低射稍稍打偏
26'斯基亚维顶防乌塔卡犯规了                   24'第24分钟，朴成禁区前攻门踢空，但国安继续控制展开连续传递，邵佳一右翼传中后，张辛昕禁区弧前低射稍稍打偏
27'邵佳一任意球直接射门打得比较正，被王大雷抱住                   24'第24分钟，朴成禁区前攻门踢空，但国安继续控制展开连续传递，邵佳一右翼传中后，张辛昕禁区弧前低射稍稍打偏
29'柏佳骏左路防守，抢在邵佳一之前把球铲出边线                   29'第29分钟，马季奇挑传被斯基亚维顶出，周挺右路得球迅速传中，王晓龙头球攻门顶向球门后角，王大雷回撤中高高跃起将球托出横梁；王大雷落地时左脚单脚撑地受伤，比赛出现伤停；王大雷脚踝处缠上绷带后继续比赛
29'周挺右路传中，王晓龙抢点头球吊射被王大雷飞身托出横梁！                   29'第29分钟，马季奇挑传被斯基亚维顶出，周挺右路得球迅速传中，王晓龙头球攻门顶向球门后角，王大雷回撤中高高跃起将球托出横梁；王大雷落地时左脚单脚撑地受伤，比赛出现伤停；王大雷脚踝处缠上绷带后继续比赛
30'王大雷落点过程中崴脚了，接受治疗，看看能否坚持                   29'第29分钟，马季奇挑传被斯基亚维顶出，周挺右路得球迅速传中，王晓龙头球攻门顶向球门后角，王大雷回撤中高高跃起将球托出横梁；王大雷落地时左脚单脚撑地受伤，比赛出现伤停；王大雷脚踝处缠上绷带后继续比赛
31'王大雷的左脚踝被绷带包扎，要继续坚持比赛                   29'第29分钟，马季奇挑传被斯基亚维顶出，周挺右路得球迅速传中，王晓龙头球攻门顶向球门后角，王大雷回撤中高高跃起将球托出横梁；王大雷落地时左脚单脚撑地受伤，比赛出现伤停；王大雷脚踝处缠上绷带后继续比赛
31'场下申花替补门将邱盛炯开始热身                   29'第29分钟，马季奇挑传被斯基亚维顶出，周挺右路得球迅速传中，王晓龙头球攻门顶向球门后角，王大雷回撤中高高跃起将球托出横梁；王大雷落地时左脚单脚撑地受伤，比赛出现伤停；王大雷脚踝处缠上绷带后继续比赛
38'乌塔卡左路拉开角度传中，邵佳一包抄没有顶上                   38'第38分钟，乌塔卡争高点为国安策动攻势，张稀哲向右侧带球过程中连续虚晃，挑射时打高
38'张稀哲前场拿球，斜向带入禁区，射门打高了                   38'第38分钟，乌塔卡争高点为国安策动攻势，张稀哲向右侧带球过程中连续虚晃，挑射时打高
39'张辛昕左路助攻，传中直接出了另一侧的边线                   38'第38分钟，乌塔卡争高点为国安策动攻势，张稀哲向右侧带球过程中连续虚晃，挑射时打高
39'邵佳一拉球转身，转移到左路                   38'第38分钟，乌塔卡争高点为国安策动攻势，张稀哲向右侧带球过程中连续虚晃，挑射时打高
40'张辛昕左路传中，邵佳一后点头球摆渡被斯基亚维解围                   38'第38分钟，乌塔卡争高点为国安策动攻势，张稀哲向右侧带球过程中连续虚晃，挑射时打高
