8'进球啦！！！卡利亚里球员巴雷拉大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是Artur Ionita. 卡利亚里 1-0 AC米兰.                   8'开场8分钟，卡利亚里首次射门就取得领先
10'卡利亚里Fabio Pisacane受伤倒地,比赛暂停                   8'开场8分钟，卡利亚里首次射门就取得领先
10'暂停结束,球员们重新开始比赛.                   8'开场8分钟，卡利亚里首次射门就取得领先
36'进球啦！！！AC米兰球员凯西右脚射门,球从右下角飞进球门,球进了! 卡利亚里 1-1 AC米兰.                   36'AC米兰第36分钟扳平比分
37'卡利亚里球员Luca Ceppitelli拼抢犯规,对手获得控球权.                   36'AC米兰第36分钟扳平比分
37'卡利尼奇为AC米兰赢得一个任意球.                   36'AC米兰第36分钟扳平比分
38'巴雷拉为卡利亚里在左路,赢得一个任意球.                   36'AC米兰第36分钟扳平比分
38'AC米兰球员博努奇拼抢犯规,对手获得控球权.                   36'AC米兰第36分钟扳平比分
39'卡拉将球处理出底线,卡利亚里获得角球.                   36'AC米兰第36分钟扳平比分
51'卡利亚里球员帕沃雷蒂拼抢犯规,对手获得控球权.                   51'6分钟后，卡利尼奇左路转移，卡拉布里亚右侧距门20米处抽射打在后卫身上变线，卡利尼奇禁区左侧回传，凯西在门前9米处左脚扫射入左下角，AC米兰2比2反超
51'罗马尼奥利为AC米兰赢得一个任意球.                   51'6分钟后，卡利尼奇左路转移，卡拉布里亚右侧距门20米处抽射打在后卫身上变线，卡利尼奇禁区左侧回传，凯西在门前9米处左脚扫射入左下角，AC米兰2比2反超
51'罗马格纳将球处理出底线,AC米兰获得角球.                   51'6分钟后，卡利尼奇左路转移，卡拉布里亚右侧距门20米处抽射打在后卫身上变线，卡利尼奇禁区左侧回传，凯西在门前9米处左脚扫射入左下角，AC米兰2比2反超
53'卡利亚里球员Artur Ionita拼抢犯规,对手获得控球权.                   51'6分钟后，卡利尼奇左路转移，卡拉布里亚右侧距门20米处抽射打在后卫身上变线，卡利尼奇禁区左侧回传，凯西在门前9米处左脚扫射入左下角，AC米兰2比2反超
53'卡利尼奇为AC米兰赢得一个任意球.                   51'6分钟后，卡利尼奇左路转移，卡拉布里亚右侧距门20米处抽射打在后卫身上变线，卡利尼奇禁区左侧回传，凯西在门前9米处左脚扫射入左下角，AC米兰2比2反超
53'射门!!!AC米兰球员博纳文图拉大禁区外右脚射门,被对方守门员横身扑出.给他传球的是恰尔汉奥卢.                   51'6分钟后，卡利尼奇左路转移，卡拉布里亚右侧距门20米处抽射打在后卫身上变线，卡利尼奇禁区左侧回传，凯西在门前9米处左脚扫射入左下角，AC米兰2比2反超
53'Alessio Cragno将球处理出底线,AC米兰获得角球.                   51'6分钟后，卡利尼奇左路转移，卡拉布里亚右侧距门20米处抽射打在后卫身上变线，卡利尼奇禁区左侧回传，凯西在门前9米处左脚扫射入左下角，AC米兰2比2反超
54'西加里尼为卡利亚里赢得一个任意球.                   51'6分钟后，卡利尼奇左路转移，卡拉布里亚右侧距门20米处抽射打在后卫身上变线，卡利尼奇禁区左侧回传，凯西在门前9米处左脚扫射入左下角，AC米兰2比2反超
54'AC米兰球员罗德里格斯拼抢犯规,对手获得控球权.                   51'6分钟后，卡利尼奇左路转移，卡拉布里亚右侧距门20米处抽射打在后卫身上变线，卡利尼奇禁区左侧回传，凯西在门前9米处左脚扫射入左下角，AC米兰2比2反超
80'Paolo Faragò为卡利亚里在右路,赢得一个任意球.                   80'AC米兰第80分钟遭遇打击，法拉戈右路挑球转身摆脱，里卡多-罗德里格斯阻挡犯规，累计2张黄牌被罚下
80'AC米兰球员罗德里格斯拼抢犯规,对手获得控球权.                   80'AC米兰第80分钟遭遇打击，法拉戈右路挑球转身摆脱，里卡多-罗德里格斯阻挡犯规，累计2张黄牌被罚下
80'AC米兰球员罗德里格斯因为恶意犯规,被裁判出示了第二张黄牌.                   80'AC米兰第80分钟遭遇打击，法拉戈右路挑球转身摆脱，里卡多-罗德里格斯阻挡犯规，累计2张黄牌被罚下
81'卡利亚里球员帕沃雷蒂拼抢犯规,对手获得控球权.                   80'AC米兰第80分钟遭遇打击，法拉戈右路挑球转身摆脱，里卡多-罗德里格斯阻挡犯规，累计2张黄牌被罚下
81'卡利尼奇为AC米兰赢得一个任意球.                   80'AC米兰第80分钟遭遇打击，法拉戈右路挑球转身摆脱，里卡多-罗德里格斯阻挡犯规，累计2张黄牌被罚下
81'卡利亚里球员帕沃雷蒂被主裁判出示了一张黄牌.                   80'AC米兰第80分钟遭遇打击，法拉戈右路挑球转身摆脱，里卡多-罗德里格斯阻挡犯规，累计2张黄牌被罚下
82'AC米兰换人,阿巴特换下苏索                   80'AC米兰第80分钟遭遇打击，法拉戈右路挑球转身摆脱，里卡多-罗德里格斯阻挡犯规，累计2张黄牌被罚下
83'卡利亚里球员A.戴奧拉拼抢犯规,对手获得控球权.                   80'AC米兰第80分钟遭遇打击，法拉戈右路挑球转身摆脱，里卡多-罗德里格斯阻挡犯规，累计2张黄牌被罚下
83'恰尔汉奥卢为AC米兰在对方半场,赢得一个任意球.                   80'AC米兰第80分钟遭遇打击，法拉戈右路挑球转身摆脱，里卡多-罗德里格斯阻挡犯规，累计2张黄牌被罚下
88'卡利亚里球员巴雷拉拼抢犯规,对手获得控球权.                   88'两队第88分钟恢复人数均势，巴雷拉铲倒比格利亚，也吃到第2张黄牌下场
88'比格利亚为AC米兰赢得一个任意球.                   88'两队第88分钟恢复人数均势，巴雷拉铲倒比格利亚，也吃到第2张黄牌下场
88'卡利亚里球员巴雷拉因为恶意犯规,被裁判出示了第二张黄牌.                   88'两队第88分钟恢复人数均势，巴雷拉铲倒比格利亚，也吃到第2张黄牌下场
89'法利亚斯将球处理出底线,AC米兰获得角球.                   88'两队第88分钟恢复人数均势，巴雷拉铲倒比格利亚，也吃到第2张黄牌下场
