4'河南建业队左路控球，左侧的传中球被顾超没收                   4'第4分钟，河南建业队前场左路起球直接旋向球门，顾超出击将球稳稳摘下
6'河南建业队中场控球，桑科转移球到左侧，左路的直塞球，李昭楠没有能够把球追上，力量大了，直接出了底线                   4'第4分钟，河南建业队前场左路起球直接旋向球门，顾超出击将球稳稳摘下
6'顾超大脚开球门球，中场球被约翰逊以，不过拎球拎大了，防守队员破坏出边线                   4'第4分钟，河南建业队前场左路起球直接旋向球门，顾超出击将球稳稳摘下
7'河南建业队中场控球，拉斐尔分球转移到祝一帆的脚下，再次斜传，禁区弧内防守队员把球顶出一                   4'第4分钟，河南建业队前场左路起球直接旋向球门，顾超出击将球稳稳摘下
12'主场作战的河南建业队开场攻得很凶                   12'第12分钟，轮到建业右路制造威胁，尹鸿博接右路传中顺势一趟甩开防守，小角度抽射击中边网
14'杭州绿城队控球走中路渗透，球转移到右侧～                   12'第12分钟，轮到建业右路制造威胁，尹鸿博接右路传中顺势一趟甩开防守，小角度抽射击中边网
19'李昭楠左路传球到禁区内，约翰逊控球摆脱防守，小角度打门直入远角！                   18'狂攻的河南建业队在第18分钟打破僵局――李昭楠左路半高球传入禁区，约翰逊背身拿球倚住后卫，只见他突然转身甩开两名防守队员在角度不大的情况下，大力抽射远角，皮球越过门将打入球门内网，1-0
19'河南建业队率先打破场上的僵局！                   18'狂攻的河南建业队在第18分钟打破僵局――李昭楠左路半高球传入禁区，约翰逊背身拿球倚住后卫，只见他突然转身甩开两名防守队员在角度不大的情况下，大力抽射远角，皮球越过门将打入球门内网，1-0
20'而在另一场比赛中，辽宁队客场1－0领先大连阿尔滨了！                   18'狂攻的河南建业队在第18分钟打破僵局――李昭楠左路半高球传入禁区，约翰逊背身拿球倚住后卫，只见他突然转身甩开两名防守队员在角度不大的情况下，大力抽射远角，皮球越过门将打入球门内网，1-0
20'河南建业队右路的斜长传，祝一帆传球，李昭楠的前冲速度慢了                   18'狂攻的河南建业队在第18分钟打破僵局――李昭楠左路半高球传入禁区，约翰逊背身拿球倚住后卫，只见他突然转身甩开两名防守队员在角度不大的情况下，大力抽射远角，皮球越过门将打入球门内网，1-0
21'进球之后的河南建业队攻势很猛呀～                   18'狂攻的河南建业队在第18分钟打破僵局――李昭楠左路半高球传入禁区，约翰逊背身拿球倚住后卫，只见他突然转身甩开两名防守队员在角度不大的情况下，大力抽射远角，皮球越过门将打入球门内网，1-0
21'河南建业队后场的长传球，尹鸿博入禁区内，在卢卡的防守下，打门，高了                   18'狂攻的河南建业队在第18分钟打破僵局――李昭楠左路半高球传入禁区，约翰逊背身拿球倚住后卫，只见他突然转身甩开两名防守队员在角度不大的情况下，大力抽射远角，皮球越过门将打入球门内网，1-0
24'汪嵩主罚任意球，开到禁区内，第一点被防守队员抢到破坏出来                   24'第24分钟，尹鸿博前插入禁区在卢卡的贴身盯防下小角度凌空抽射稍稍打偏
24'河南建业队控球快速的打反击，尹鸿博的横向转移球被挡出为                   24'第24分钟，尹鸿博前插入禁区在卢卡的贴身盯防下小角度凌空抽射稍稍打偏
24'曹海清控球被尹鸿博给放倒了                   24'第24分钟，尹鸿博前插入禁区在卢卡的贴身盯防下小角度凌空抽射稍稍打偏
24'尹鸿博吃到黄牌！                   24'第24分钟，尹鸿博前插入禁区在卢卡的贴身盯防下小角度凌空抽射稍稍打偏
25'河南建业队中场控球，尹鸿博的过顶长传球被门将得到                   24'第24分钟，尹鸿博前插入禁区在卢卡的贴身盯防下小角度凌空抽射稍稍打偏
25'杭州绿城队控球，走右咱组织进攻，赵宇豪的传球被挡出边线                   24'第24分钟，尹鸿博前插入禁区在卢卡的贴身盯防下小角度凌空抽射稍稍打偏
27'河南建业队右路的传球到禁区内，约翰逊的挑传球到后点，顾超把球摘了下来                   24'第24分钟，尹鸿博前插入禁区在卢卡的贴身盯防下小角度凌空抽射稍稍打偏
27'顾超在摘下球时也被对方撞了一下，腰部有所受伤呀～                   24'第24分钟，尹鸿博前插入禁区在卢卡的贴身盯防下小角度凌空抽射稍稍打偏
27'抢点的是肖智！                   24'第24分钟，尹鸿博前插入禁区在卢卡的贴身盯防下小角度凌空抽射稍稍打偏
33'河南建业队中场控球，尹鸿博痛苦的倒在地上！                   33'第33分钟拉蒙在中场凶狠放倒尹鸿博也被黄牌警告
33'犯规的是拉蒙，吃到黄牌                   33'第33分钟拉蒙在中场凶狠放倒尹鸿博也被黄牌警告
35'河南建业队右路的长传球，对方后卫抢在肖智之前把球顶给了门将                   33'第33分钟拉蒙在中场凶狠放倒尹鸿博也被黄牌警告
36'杭州绿城队后场拦截，走中路渗透，还没过中场就被断了                   33'第33分钟拉蒙在中场凶狠放倒尹鸿博也被黄牌警告
36'双方在中场的拼抢也激烈～                   33'第33分钟拉蒙在中场凶狠放倒尹鸿博也被黄牌警告
44'拉斐尔进球！                   44'第44分钟，阿甘禁区前沿接队友回做拔脚怒射高出横梁
45'河南建业队右路的传中，拉斐尔凌空打门球弹地之后直入网内！河南建业队两球领先！                   44'第44分钟，阿甘禁区前沿接队友回做拔脚怒射高出横梁
45'上半场比赛补时2分钟                   44'第44分钟，阿甘禁区前沿接队友回做拔脚怒射高出横梁
