11'亨德森将球处理出底线,埃弗顿获得角球.                   10'两队英超历史上首次在前10分钟分别进球
11'乔-阿伦为利物浦赢得一个任意球.                   10'两队英超历史上首次在前10分钟分别进球
11'埃弗顿球员巴克利拼抢犯规,对手获得控球权.                   10'两队英超历史上首次在前10分钟分别进球
53'埃弗顿球员米拉拉斯一脚直塞球给巴里,但是边裁举旗显示后者已经越位.                   53'埃弗顿第8分钟扳平比分，拜恩斯任意球传入禁区，斯科特尔解围失误，米拉拉斯小禁区边缘内混战中近距离捅射破门，这也是比利时边锋本赛季首粒英超入球
54'射门!!!埃弗顿球员德乌洛费乌大禁区外右脚射门,被对方守门员横身扑出.给他传球的是米拉拉斯.                   53'埃弗顿第8分钟扳平比分，拜恩斯任意球传入禁区，斯科特尔解围失误，米拉拉斯小禁区边缘内混战中近距离捅射破门，这也是比利时边锋本赛季首粒英超入球
54'利物浦球员格伦-约翰逊一脚直塞球给亨德森,但是边裁举旗显示后者已经越位.                   53'埃弗顿第8分钟扳平比分，拜恩斯任意球传入禁区，斯科特尔解围失误，米拉拉斯小禁区边缘内混战中近距离捅射破门，这也是比利时边锋本赛季首粒英超入球
19'进球啦！！！利物浦球员苏亚雷斯右脚射门,球从右下角飞进球门,球进了! 埃弗顿 1-2 利物浦.                   19'利物浦第19分钟再度领先，苏亚雷斯25码处任意球直接射门，皮球穿过人墙弹地后跃入右下死角
21'利物浦球员杰拉德拼抢犯规,对手获得控球权.                   19'利物浦第19分钟再度领先，苏亚雷斯25码处任意球直接射门，皮球穿过人墙弹地后跃入右下死角
21'皮纳尔为埃弗顿赢得一个任意球.                   19'利物浦第19分钟再度领先，苏亚雷斯25码处任意球直接射门，皮球穿过人墙弹地后跃入右下死角
21'射门!!!埃弗顿球员巴克利左侧很远处右脚射门,被对方守门员横身扑出.给他传球的是拜恩斯.                   19'利物浦第19分钟再度领先，苏亚雷斯25码处任意球直接射门，皮球穿过人墙弹地后跃入右下死角
21'米尼奥莱将球处理出底线,埃弗顿获得角球.                   19'利物浦第19分钟再度领先，苏亚雷斯25码处任意球直接射门，皮球穿过人墙弹地后跃入右下死角
22'阿格尔为利物浦赢得一个任意球.                   19'利物浦第19分钟再度领先，苏亚雷斯25码处任意球直接射门，皮球穿过人墙弹地后跃入右下死角
22'埃弗顿球员迪斯汀拼抢犯规,对手获得控球权.                   19'利物浦第19分钟再度领先，苏亚雷斯25码处任意球直接射门，皮球穿过人墙弹地后跃入右下死角
21'利物浦球员杰拉德拼抢犯规,对手获得控球权.                   21'第21分钟，巴克利大禁区左上角外弧线球射右下角被米格诺莱飞身扑出
21'皮纳尔为埃弗顿赢得一个任意球.                   21'第21分钟，巴克利大禁区左上角外弧线球射右下角被米格诺莱飞身扑出
21'射门!!!埃弗顿球员巴克利左侧很远处右脚射门,被对方守门员横身扑出.给他传球的是拜恩斯.                   21'第21分钟，巴克利大禁区左上角外弧线球射右下角被米格诺莱飞身扑出
21'米尼奥莱将球处理出底线,埃弗顿获得角球.                   21'第21分钟，巴克利大禁区左上角外弧线球射右下角被米格诺莱飞身扑出
22'阿格尔为利物浦赢得一个任意球.                   21'第21分钟，巴克利大禁区左上角外弧线球射右下角被米格诺莱飞身扑出
22'埃弗顿球员迪斯汀拼抢犯规,对手获得控球权.                   21'第21分钟，巴克利大禁区左上角外弧线球射右下角被米格诺莱飞身扑出
23'迪斯汀将球处理出底线,利物浦获得角球.                   21'第21分钟，巴克利大禁区左上角外弧线球射右下角被米格诺莱飞身扑出
29'埃弗顿球员巴克利大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是卢卡库.                   29'第29分钟，卢卡库传球，巴克利20码处左脚抽射高出
31'埃弗顿球员巴克利在禁区内摔倒了,但裁判判他假摔！                   29'第29分钟，卢卡库传球，巴克利20码处左脚抽射高出
31'埃弗顿球员巴克利被主裁判出示了一张黄牌.                   29'第29分钟，卢卡库传球，巴克利20码处左脚抽射高出
34'苏亚雷斯为利物浦在对方半场,赢得一个任意球.                   34'第34分钟，米拉拉斯蹬踏苏亚雷斯被罚黄牌[点击观看视频]
34'埃弗顿球员米拉拉斯拼抢犯规,对手获得控球权.                   34'第34分钟，米拉拉斯蹬踏苏亚雷斯被罚黄牌[点击观看视频]
34'利物浦苏亚雷斯受伤倒地,比赛暂停                   34'第34分钟，米拉拉斯蹬踏苏亚雷斯被罚黄牌[点击观看视频]
36'黄牌！埃弗顿球员米拉拉斯因为恶意犯规,被主裁判出示黄牌.                   34'第34分钟，米拉拉斯蹬踏苏亚雷斯被罚黄牌[点击观看视频]
36'暂停结束,球员们重新开始比赛.                   34'第34分钟，米拉拉斯蹬踏苏亚雷斯被罚黄牌[点击观看视频]
50'杰拉德为利物浦在对方半场,赢得一个任意球.                   50'第50分钟，从巴萨租借而来的德乌洛费乌替补出场，拜恩斯自2009年2月近170场英超比赛以来首次被换下
50'埃弗顿球员科尔曼拼抢犯规,对手获得控球权.                   50'第50分钟，从巴萨租借而来的德乌洛费乌替补出场，拜恩斯自2009年2月近170场英超比赛以来首次被换下
50'埃弗顿换人,德乌洛费乌换下拜恩斯                   50'第50分钟，从巴萨租借而来的德乌洛费乌替补出场，拜恩斯自2009年2月近170场英超比赛以来首次被换下
51'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   50'第50分钟，从巴萨租借而来的德乌洛费乌替补出场，拜恩斯自2009年2月近170场英超比赛以来首次被换下
51'迪斯汀为埃弗顿赢得一个任意球.                   50'第50分钟，从巴萨租借而来的德乌洛费乌替补出场，拜恩斯自2009年2月近170场英超比赛以来首次被换下
53'埃弗顿球员米拉拉斯一脚直塞球给巴里,但是边裁举旗显示后者已经越位.                   50'第50分钟，从巴萨租借而来的德乌洛费乌替补出场，拜恩斯自2009年2月近170场英超比赛以来首次被换下
60'利物浦球员乔-阿伦大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是苏亚雷斯.                   60'利物浦第60分钟同样错过机会，苏亚雷斯强突3人进禁区，乔-艾伦12码处单刀推射偏出右侧立柱，他未能回传给苏亚雷斯引致后者不满
60'亨德森为利物浦赢得一个任意球.                   60'利物浦第60分钟同样错过机会，苏亚雷斯强突3人进禁区，乔-艾伦12码处单刀推射偏出右侧立柱，他未能回传给苏亚雷斯引致后者不满
60'埃弗顿球员米拉拉斯拼抢犯规,对手获得控球权.                   60'利物浦第60分钟同样错过机会，苏亚雷斯强突3人进禁区，乔-艾伦12码处单刀推射偏出右侧立柱，他未能回传给苏亚雷斯引致后者不满
61'利物浦球员乔-阿伦拼抢犯规,对手获得控球权.                   60'利物浦第60分钟同样错过机会，苏亚雷斯强突3人进禁区，乔-艾伦12码处单刀推射偏出右侧立柱，他未能回传给苏亚雷斯引致后者不满
61'米拉拉斯为埃弗顿赢得一个任意球.                   60'利物浦第60分钟同样错过机会，苏亚雷斯强突3人进禁区，乔-艾伦12码处单刀推射偏出右侧立柱，他未能回传给苏亚雷斯引致后者不满
62'黄牌！利物浦球员乔-阿伦因为恶意犯规,被主裁判出示黄牌.                   60'利物浦第60分钟同样错过机会，苏亚雷斯强突3人进禁区，乔-艾伦12码处单刀推射偏出右侧立柱，他未能回传给苏亚雷斯引致后者不满
62'埃弗顿球员麦卡锡大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   60'利物浦第60分钟同样错过机会，苏亚雷斯强突3人进禁区，乔-艾伦12码处单刀推射偏出右侧立柱，他未能回传给苏亚雷斯引致后者不满
64'射门!!!埃弗顿球员卢卡库大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是米拉拉斯.                   64'第64分钟，米拉拉斯传球，卢卡库突入禁区左侧12码处推射被米格诺莱神勇挡出
66'苏亚雷斯为利物浦赢得一个任意球.                   64'第64分钟，米拉拉斯传球，卢卡库突入禁区左侧12码处推射被米格诺莱神勇挡出
66'埃弗顿球员迪斯汀拼抢犯规,对手获得控球权.                   64'第64分钟，米拉拉斯传球，卢卡库突入禁区左侧12码处推射被米格诺莱神勇挡出
67'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   64'第64分钟，米拉拉斯传球，卢卡库突入禁区左侧12码处推射被米格诺莱神勇挡出
67'巴克利为埃弗顿赢得一个任意球.                   64'第64分钟，米拉拉斯传球，卢卡库突入禁区左侧12码处推射被米格诺莱神勇挡出
67'利物浦球员卢卡斯拼抢犯规,对手获得控球权.                   64'第64分钟，米拉拉斯传球，卢卡库突入禁区左侧12码处推射被米格诺莱神勇挡出
67'皮纳尔为埃弗顿在对方半场,赢得一个任意球.                   64'第64分钟，米拉拉斯传球，卢卡库突入禁区左侧12码处推射被米格诺莱神勇挡出
67'黄牌！利物浦球员卢卡斯因为恶意犯规,被主裁判出示黄牌.                   64'第64分钟，米拉拉斯传球，卢卡库突入禁区左侧12码处推射被米格诺莱神勇挡出
72'进球啦！！！埃弗顿球员卢卡库大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是麦卡锡. 埃弗顿 2-2 利物浦.                   72'埃弗顿第72分钟扳平比分，卢卡库25码处任意球射门被米格诺莱勉强扑出，米拉拉斯禁区左侧传中，麦卡锡射门打空，卢卡库12码处推射破门，2-2
73'苏亚雷斯为利物浦在对方半场,赢得一个任意球.                   72'埃弗顿第72分钟扳平比分，卢卡库25码处任意球射门被米格诺莱勉强扑出，米拉拉斯禁区左侧传中，麦卡锡射门打空，卢卡库12码处推射破门，2-2
73'埃弗顿球员贾吉尔卡拼抢犯规,对手获得控球权.                   72'埃弗顿第72分钟扳平比分，卢卡库25码处任意球射门被米格诺莱勉强扑出，米拉拉斯禁区左侧传中，麦卡锡射门打空，卢卡库12码处推射破门，2-2
74'利物浦球员杰拉德大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   72'埃弗顿第72分钟扳平比分，卢卡库25码处任意球射门被米格诺莱勉强扑出，米拉拉斯禁区左侧传中，麦卡锡射门打空，卢卡库12码处推射破门，2-2
