1'亚特兰大球员佩塔尼亚手球犯规,对手获得球权.                   1'第1分钟，伊瓜因与皮亚尼奇先后尝试远射
3'亚特兰大球员凯西拼抢犯规,对手获得控球权.                   1'第1分钟，伊瓜因与皮亚尼奇先后尝试远射
3'斯图若多为尤文图斯在左路,赢得一个任意球.                   1'第1分钟，伊瓜因与皮亚尼奇先后尝试远射
3'A-戈麦斯为亚特兰大赢得一个任意球.                   1'第1分钟，伊瓜因与皮亚尼奇先后尝试远射
3'尤文图斯球员鲁加尼拼抢犯规,对手获得控球权.                   1'第1分钟，伊瓜因与皮亚尼奇先后尝试远射
4'A-孔蒂为亚特兰大在右路,赢得一个任意球.                   1'第1分钟，伊瓜因与皮亚尼奇先后尝试远射
4'尤文图斯球员阿莱士-桑多罗拼抢犯规,对手获得控球权.                   1'第1分钟，伊瓜因与皮亚尼奇先后尝试远射
19'进球啦！！！尤文图斯球员鲁加尼大禁区中央头球,球从右下角飞进球门,球进了!助攻的是皮亚尼奇. 尤文图斯 2-0 亚特兰大.                   19'尤文第19分钟扩大比分，曼朱基奇后场抢断凯西，尤文打出反击，皮亚尼奇中场分球，伊瓜因突入禁区右侧射门被卡尔达拉飞身挡出底线，皮亚尼奇右侧开出角球，鲁加尼在门前9米处顶出弹地球，从门将与后卫缝隙中入网，2比0，尤文是本赛季意甲后卫进球最多的球队（8球）
20'亚特兰大球员卡尔达拉拼抢犯规,对手获得控球权.                   19'尤文第19分钟扩大比分，曼朱基奇后场抢断凯西，尤文打出反击，皮亚尼奇中场分球，伊瓜因突入禁区右侧射门被卡尔达拉飞身挡出底线，皮亚尼奇右侧开出角球，鲁加尼在门前9米处顶出弹地球，从门将与后卫缝隙中入网，2比0，尤文是本赛季意甲后卫进球最多的球队（8球）
20'曼祖基奇为尤文图斯在右路,赢得一个任意球.                   19'尤文第19分钟扩大比分，曼朱基奇后场抢断凯西，尤文打出反击，皮亚尼奇中场分球，伊瓜因突入禁区右侧射门被卡尔达拉飞身挡出底线，皮亚尼奇右侧开出角球，鲁加尼在门前9米处顶出弹地球，从门将与后卫缝隙中入网，2比0，尤文是本赛季意甲后卫进球最多的球队（8球）
22'A-孔蒂为亚特兰大赢得一个任意球.                   19'尤文第19分钟扩大比分，曼朱基奇后场抢断凯西，尤文打出反击，皮亚尼奇中场分球，伊瓜因突入禁区右侧射门被卡尔达拉飞身挡出底线，皮亚尼奇右侧开出角球，鲁加尼在门前9米处顶出弹地球，从门将与后卫缝隙中入网，2比0，尤文是本赛季意甲后卫进球最多的球队（8球）
22'尤文图斯球员斯图若多拼抢犯规,对手获得控球权.                   19'尤文第19分钟扩大比分，曼朱基奇后场抢断凯西，尤文打出反击，皮亚尼奇中场分球，伊瓜因突入禁区右侧射门被卡尔达拉飞身挡出底线，皮亚尼奇右侧开出角球，鲁加尼在门前9米处顶出弹地球，从门将与后卫缝隙中入网，2比0，尤文是本赛季意甲后卫进球最多的球队（8球）
64'佩斯克将球处理出底线,尤文图斯获得角球.                   64'尤文第64分钟再下一城，皮亚尼奇左侧开出角球，曼朱基奇在门前7米处顶进远角，3比0，他代表尤文近5场比赛有4场进球
64'进球啦！！！尤文图斯球员曼祖基奇大禁区中央头球,球从右下角飞进球门,球进了!助攻的是皮亚尼奇. 尤文图斯 3-0 亚特兰大.                   64'尤文第64分钟再下一城，皮亚尼奇左侧开出角球，曼朱基奇在门前7米处顶进远角，3比0，他代表尤文近5场比赛有4场进球
65'库尔蒂奇为亚特兰大在对方半场,赢得一个任意球.                   64'尤文第64分钟再下一城，皮亚尼奇左侧开出角球，曼朱基奇在门前7米处顶进远角，3比0，他代表尤文近5场比赛有4场进球
65'尤文图斯球员曼祖基奇拼抢犯规,对手获得控球权.                   64'尤文第64分钟再下一城，皮亚尼奇左侧开出角球，曼朱基奇在门前7米处顶进远角，3比0，他代表尤文近5场比赛有4场进球
82'进球啦！！！亚特兰大球员Remo Freuler大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是M-达力桑德罗. 尤文图斯 3-1 亚特兰大.                   82'亚特兰大第82分钟扳回一球，戈麦斯分球，替补出场的达历山德罗右路传中，弗罗伊勒在门前9米处凌空抽射入右下角，1比3
82'斯皮纳佐拉为亚特兰大在左路,赢得一个任意球.                   82'亚特兰大第82分钟扳回一球，戈麦斯分球，替补出场的达历山德罗右路传中，弗罗伊勒在门前9米处凌空抽射入右下角，1比3
82'尤文图斯球员Juan Cuadrado拼抢犯规,对手获得控球权.                   82'亚特兰大第82分钟扳回一球，戈麦斯分球，替补出场的达历山德罗右路传中，弗罗伊勒在门前9米处凌空抽射入右下角，1比3
83'亚特兰大球员佩斯克大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是Remo Freuler.                   82'亚特兰大第82分钟扳回一球，戈麦斯分球，替补出场的达历山德罗右路传中，弗罗伊勒在门前9米处凌空抽射入右下角，1比3
