3'皇马获得了大禁区弧顶的任意球机会！！                   3'开场仅3分钟，贝尔任意球直接射门高出
3'贝尔主罚，任意球直接轰门，打飞了！！                   3'开场仅3分钟，贝尔任意球直接射门高出
3'克罗斯中线位置拿球，回传瓦拉内                   3'开场仅3分钟，贝尔任意球直接射门高出
4'苏亚雷斯的逼抢，瓦拉内转身回传库尔图瓦                   3'开场仅3分钟，贝尔任意球直接射门高出
4'库尔图瓦大脚将球开出到前场                   3'开场仅3分钟，贝尔任意球直接射门高出
4'贝尔和布斯克茨的争抢                   3'开场仅3分钟，贝尔任意球直接射门高出
4'布斯克茨拿球，转身回传特尔施特根                   3'开场仅3分钟，贝尔任意球直接射门高出
4'再给皮克，大脚长传找右前场的梅西                   3'开场仅3分钟，贝尔任意球直接射门高出
5'边裁举旗，梅西的越位在先！！                   3'开场仅3分钟，贝尔任意球直接射门高出
5'巴萨的前场进攻，赢得右侧的角球机会！！                   3'开场仅3分钟，贝尔任意球直接射门高出
6'这也是双方本场比赛的第一个角球！                   3'开场仅3分钟，贝尔任意球直接射门高出
6'梅西角球开出到禁区，并未形成威胁！                   3'开场仅3分钟，贝尔任意球直接射门高出
19'阿图尔中场拿球，斜塞右侧给到梅西                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
19'梅西拿球强突摆脱卡塞米罗                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
19'挑传苏亚雷斯，两人的2过2配合                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
19'梅西前插拿球，面对出击的库尔图瓦                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
20'一脚挑射，滑门而过，可惜了！                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
20'维尼修斯前场左路拿球，强突下底                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
21'补防的皮克一个滑铲，将球破坏出边线                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
21'皮克后场拿球，给到布斯克茨                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
21'中路推进，直塞登贝莱                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
22'再给右侧的梅西，斜传转移左路找阿尔巴，被卡瓦哈尔顶回中场                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
22'维尼修斯前场左路拿球，强突下底                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
22'观察队友的位置，底线内切                   19'巴萨第19分钟错过机会，苏亚雷斯直传，梅西突破至小禁区右上角挑射偏出远角
26'上半场25分钟，比分依旧是0-0！！                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
26'刚说完，巴萨进球了，1-0！！                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
26'拉基蒂奇！！                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
27'梅西前场中路拿球，斜塞右路罗贝托，强突再送斜传打身后，拉基蒂奇反越位成功，带球进禁区，面对库尔图瓦和身后回防的拉莫斯，一脚挑射打进！                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
28'皇马的前场进攻，赢得右侧角球机会！                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
28'克罗斯的角球开出到后点                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
28'瓦拉内头球被挡了出来                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
28'维尼修斯左侧跟进得球，一脚推射，再被挡出                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
28'维尼修斯继续拿球，左路传中到门前                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
29'特尔施特根出击，稳稳将球拿到！！                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
29'皇马的前场抢断，贝尔拿球反击                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
29'禁区外的远射，打在了防守球员身上出底线                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
29'皇马的左侧角球机会！                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
29'开出到前点，被皮克头球解围出来！                   26'巴萨第26分钟打破僵局，拉基蒂奇同罗伯托踢墙配合后突入禁区右侧，他小角度吊射远角入网
39'阿尔巴的内切，回传登贝莱                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
39'再给中间的拉基蒂奇，分球右侧梅西                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
39'梅西回给拉基蒂奇，斜塞禁区弧位置的苏亚雷斯                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
39'苏亚雷斯停球调整一下，起脚打门                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
40'库尔图瓦将球扑出                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
40'梅西跟进再补，和雷吉隆相撞，球被库尔图瓦出击拿到                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
41'阿图尔中线位置拿球，分球左侧阿尔巴                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
41'直塞登贝莱，内切横传梅西                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
41'再给阿图尔，分球右侧拉基蒂奇                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
41'直塞梅西，转身强突，被拉莫斯放倒在地                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
42'球在苏亚雷斯脚下，看裁判等待吹罚犯规                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
42'裁判没吹，苏亚雷斯准备继续进攻，裁判的哨声响起                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
42'拉莫斯在和梅西争抢中受伤倒地了                   39'巴萨第39分钟险些扩大比分，拉基蒂奇传球，苏亚雷斯禁区弧顶劲射被扑出，梅西近距离补射被没收
55'维尼修斯内切，禁区线上再给中间的雷吉隆                   55'巴尔韦德第55分钟换下克罗斯
55'雷吉隆停球横切，斜传球到后点                   55'巴尔韦德第55分钟换下克罗斯
55'贝尔插上抢点，球被朗格莱抢先解围                   55'巴尔韦德第55分钟换下克罗斯
56'苏亚雷斯前场左路背身拿球，拉莫斯的上抢                   55'巴尔韦德第55分钟换下克罗斯
56'苏亚雷斯挑球过人，手球违例                   55'巴尔韦德第55分钟换下克罗斯
56'皇马换人：8号克罗斯下，换上了15号巴尔韦德！                   55'巴尔韦德第55分钟换下克罗斯
57'维尼修斯左路拿球强突，皮克的回防转身卡位                   55'巴尔韦德第55分钟换下克罗斯
57'成功拦截，维尼修斯示意皮克拉人                   55'巴尔韦德第55分钟换下克罗斯
57'裁判没理会，皮克将球给到布斯克茨                   55'巴尔韦德第55分钟换下克罗斯
57'再给阿图尔，回传朗格莱                   55'巴尔韦德第55分钟换下克罗斯
