1'上半场比赛开始！！                   1'双方第1分钟均小心谨慎
1'首先由客队西班牙人开球，从画面的右侧向左进攻！                   1'双方第1分钟均小心谨慎
1'西班牙人左路的直塞球，被补防的佩佩破坏出边线                   1'双方第1分钟均小心谨慎
2'皮亚蒂左路拿球，面对逼抢，横传阿隆                   1'双方第1分钟均小心谨慎
2'阿隆再回敲后场给到戴维-洛佩斯                   1'双方第1分钟均小心谨慎
3'巴斯克斯前场拿球，强突被阿隆放倒在地                   1'双方第1分钟均小心谨慎
3'皇马获得前场中路的任意球机会！！                   1'双方第1分钟均小心谨慎
3'克罗斯的任意球斜传禁区，并未形成威胁！！                   1'双方第1分钟均小心谨慎
30'皇马的前场进攻！！                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
30'巴斯克斯前场中路拿球，分球右路给到C罗                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
30'C罗强突下底，横传球到门前                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
30'后点包抄的莫拉塔没能碰到，球被解围                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
30'皇马获得左侧角球机会，没能形成威胁                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
31'皇马前场再攻，巴斯克斯左路横传                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
31'C罗门前抢点推射打进，可惜越位无效！！                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
32'阿隆前场左路拿球，分球皮亚蒂                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
32'皮亚蒂内切横传，被瓦拉内拦截                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
32'瓦拉内分球给佩佩，佩佩再给纳乔                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
32'1-0，莫拉塔进球！！！                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
33'C罗分球伊斯科，伊斯科右路拿球，禁区右上角斜传门前，莫拉塔甩头冲顶，破门！！                   30'皇马第30分钟错过机会，卢卡斯前场拦截后直传，C罗突入禁区右侧传中，但莫拉塔远点面对空门错过皮球
33'C罗分球伊斯科，伊斯科右路拿球，禁区右上角斜传门前，莫拉塔甩头冲顶，破门！！                   33'皇马第33分钟打破僵局，伊斯科右路传中，莫拉塔小禁区边缘头球破门
34'科瓦契奇左路拿球，面对逼抢，转身回传瓦拉内                   33'皇马第33分钟打破僵局，伊斯科右路传中，莫拉塔小禁区边缘头球破门
35'瓦拉内再给佩佩，佩佩长传球前场找C罗                   33'皇马第33分钟打破僵局，伊斯科右路传中，莫拉塔小禁区边缘头球破门
35'C罗拿球下底，挑传中路，被防守球员解围                   33'皇马第33分钟打破僵局，伊斯科右路传中，莫拉塔小禁区边缘头球破门
35'克罗斯中圈拿球，长传右路找前插的卡瓦哈尔                   33'皇马第33分钟打破僵局，伊斯科右路传中，莫拉塔小禁区边缘头球破门
36'卡瓦哈尔拿球内切，横传找C罗，被破坏                   33'皇马第33分钟打破僵局，伊斯科右路传中，莫拉塔小禁区边缘头球破门
83'皮亚蒂任意球斜传到禁区，第一点被皇马球员解围出来                   83'皇马第83分钟扩大比分，C罗后场策动反击，伊斯科直传，贝尔禁区左肋8码处低射远角入网，2-0
83'皇马的反击！！                   83'皇马第83分钟扩大比分，C罗后场策动反击，伊斯科直传，贝尔禁区左肋8码处低射远角入网，2-0
83'2-0，贝尔！！！                   83'皇马第83分钟扩大比分，C罗后场策动反击，伊斯科直传，贝尔禁区左肋8码处低射远角入网，2-0
83'大圣完美回归啊！！                   83'皇马第83分钟扩大比分，C罗后场策动反击，伊斯科直传，贝尔禁区左肋8码处低射远角入网，2-0
84'伊斯科的左路直塞球给到前插的贝尔，贝尔拿球内切到禁区，面对回防的佩雷斯和面前的迭戈-洛佩斯，左脚低射打远角，击中立柱弹进网窝                   83'皇马第83分钟扩大比分，C罗后场策动反击，伊斯科直传，贝尔禁区左肋8码处低射远角入网，2-0
85'皮亚蒂前场左路拿球，分球阿隆                   83'皇马第83分钟扩大比分，C罗后场策动反击，伊斯科直传，贝尔禁区左肋8码处低射远角入网，2-0
85'阿隆没机会，回传后场                   83'皇马第83分钟扩大比分，C罗后场策动反击，伊斯科直传，贝尔禁区左肋8码处低射远角入网，2-0
86'西班牙人转移球到右路，佩雷斯边路传中，瓦拉内抢先解围                   83'皇马第83分钟扩大比分，C罗后场策动反击，伊斯科直传，贝尔禁区左肋8码处低射远角入网，2-0
86'巴斯克斯边路争抢，身后推倒了阿隆，犯规                   83'皇马第83分钟扩大比分，C罗后场策动反击，伊斯科直传，贝尔禁区左肋8码处低射远角入网，2-0
86'卡瓦哈尔上来，好像崴了一下，痛苦倒地                   83'皇马第83分钟扩大比分，C罗后场策动反击，伊斯科直传，贝尔禁区左肋8码处低射远角入网，2-0
