5'交给右侧德西利奥！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
5'传中到后点被破坏出去！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
5'桑德罗得球回传中路博努奇！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
5'直传弧顶迪巴拉！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
5'挑传禁区右侧！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
5'C罗侧身打门被挡出底线！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
5'尤文右侧角球！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
5'低平球给弧顶！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
5'被林加德抢断了！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
6'反击直传左侧找马夏尔！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
6'球被断了！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
6'但是夸德拉多的反击推进也失误了！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
6'桑切斯中路分右侧阿什利杨！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
6'回传给埃雷拉！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
6'长传前场左侧底线！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
7'被德西利奥解围出了边线！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
7'桑切斯左侧得球！横传球被解围！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
7'球打中桑切斯出了底线！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
8'马夏尔中路强行突破！                   5'开场5分钟，迪巴拉挑传禁区，C罗在门前10米处射门被林德勒夫挡出右门柱
