1'比赛开始了，拜仁开球                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
1'拜仁从画面右侧向左侧进攻，罗斯托夫是左侧向右侧进攻                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
1'拜仁中路梳理，基米希左侧给阿拉巴，在给科斯塔                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
1'科斯塔转身被对手捅出边线                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
2'拜仁继续牢牢控制，后场给到马丁内斯，右侧分给拉菲尼亚                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
2'再走左路，阿拉巴再分科斯塔，内切直塞，没有过去                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
2'拜仁一上来主攻左路                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
3'比达尔给到胡梅尔斯，在给科斯塔，横敲基米希，右路拉菲尼亚                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
3'拜仁沿着右路上去，穆勒禁区前横敲弧顶区域，被挡出                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
3'罗斯托夫的反击也没有打起来，拜仁继续牢牢压制                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
3'面对拜仁，罗斯托夫只能是密集防守                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
4'阿拉巴左侧直塞科斯塔，强力突破，在给莱万，没机会起脚，在回去                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
4'后场拉菲尼亚一记长传，挑入禁区内                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
26'界外球在给阿拉巴，回敲马丁内斯，给到蒂亚戈，还是走左侧                   26'拜仁第26分钟获得点球
26'阿拉巴传中，被封堵，比达尔在给科斯塔                   26'拜仁第26分钟获得点球
26'科斯塔大力传中，落点不错，罗斯托夫的防守队员头球蹭出底线                   26'拜仁第26分钟获得点球
26'右侧角球，给到禁区内，裁判哨响，，点球                   26'拜仁第26分钟获得点球
27'裁判给了拜仁一个点球，叶罗欣争抢落点时候手拉莱万，被判极刑                   26'拜仁第26分钟获得点球
27'密集防守下，裁判吹罚点球，给了拜仁好机会                   26'拜仁第26分钟获得点球
28'莱万，骗过门将，大力推射入左下角                   26'拜仁第26分钟获得点球
28'莱万帮助拜仁在新赛季欧冠中首开纪录                   26'拜仁第26分钟获得点球
29'这个球对罗斯托夫的士气很是打击，本来防的不错。这次禁区内动作不够隐蔽啊，拉拽太过了                   26'拜仁第26分钟获得点球
29'拜仁正在苦于无法攻破密集防守，这个点球来的很适时                   26'拜仁第26分钟获得点球
47'科斯塔左侧内切，拨给基米希，再往前给穆勒，回敲                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
47'胡梅尔斯左侧给到阿拉巴，在传中进去                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
47'拜仁扩大战果，穆勒进球了                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
47'拜仁持续的进攻，终于是有所收获                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
48'如果说点球没有说服力，那么这个运动战确实是拜仁耐心攻出来的                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
48'左侧阿拉巴传中到门前，禁区内中路穆勒抢在防守队员之前一脚扫射，势大力沉。面对突如其来的射门扎纳耶夫难以抵挡                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
47'基米希交给右侧蒂亚戈，再回给拉菲尼亚                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
48'回敲马丁内斯，在给诺伊尔，长传出来                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
48'基米希带球给到边路科斯塔，中路在给蒂亚戈                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
48'左侧给到阿拉巴，在给胡梅尔斯，右侧蒂亚戈交给拉菲尼亚                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
48'向前突破，直塞给比达尔，梅夫利亚把球挡出边线                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
49'右路界外球给出，比达尔下底传中，飞出了底线                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
49'扎纳耶夫门球开出                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
49'前场罗斯托夫争顶被吹犯规                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
49'马丁内斯后场交给胡梅尔斯，左侧在给基米希                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
50'调度一下，不着急，拜仁更倾向于控制比赛，毕竟2球领先了                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
50'右路比达尔交给拉菲尼亚，在回到中路                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
50'蒂亚戈推进给到比达尔，不停的利用传球来调动对手                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
50'比达尔准确的转移，左侧给到科斯塔                   47'上半时补时第2分钟，拜仁扩大比分，蒂亚戈分边，阿拉巴左路传中，穆勒在门前10米处左脚推进远角，2比0
53'贝尔纳特头球顶出底线送对手角球机会                   53'拜仁第53分钟再下一城，诺伊尔大力手抛球发起反击，基米希中场得球突进横传，经过比达尔和莱万传递后，道格拉斯-科斯塔禁区左侧低传，基米希在门前4米处推射入网，3比0
53'罗斯托夫右路贝尔纳特角球送出                   53'拜仁第53分钟再下一城，诺伊尔大力手抛球发起反击，基米希中场得球突进横传，经过比达尔和莱万传递后，道格拉斯-科斯塔禁区左侧低传，基米希在门前4米处推射入网，3比0
53'给到前点，蹭到前门柱被诺伊尔得到                   53'拜仁第53分钟再下一城，诺伊尔大力手抛球发起反击，基米希中场得球突进横传，经过比达尔和莱万传递后，道格拉斯-科斯塔禁区左侧低传，基米希在门前4米处推射入网，3比0
53'拜仁又进球了，基米希。。基米希又进球了                   53'拜仁第53分钟再下一城，诺伊尔大力手抛球发起反击，基米希中场得球突进横传，经过比达尔和莱万传递后，道格拉斯-科斯塔禁区左侧低传，基米希在门前4米处推射入网，3比0
55'罗斯托夫角球进攻未果，拜仁抓住反击，比达尔分边给左侧科斯塔，低球横敲禁区中路，基米希倒地铲射入网                   53'拜仁第53分钟再下一城，诺伊尔大力手抛球发起反击，基米希中场得球突进横传，经过比达尔和莱万传递后，道格拉斯-科斯塔禁区左侧低传，基米希在门前4米处推射入网，3比0
55'这个球传的太好了，基米希想不射进都难                   53'拜仁第53分钟再下一城，诺伊尔大力手抛球发起反击，基米希中场得球突进横传，经过比达尔和莱万传递后，道格拉斯-科斯塔禁区左侧低传，基米希在门前4米处推射入网，3比0
55'基米希这半个月，实现了国家队，联赛，欧冠，3个处子球                   53'拜仁第53分钟再下一城，诺伊尔大力手抛球发起反击，基米希中场得球突进横传，经过比达尔和莱万传递后，道格拉斯-科斯塔禁区左侧低传，基米希在门前4米处推射入网，3比0
56'拜仁左侧再攻，科斯塔传中，又是基米希包抄慢了一步，险些梅开二度啊                   53'拜仁第53分钟再下一城，诺伊尔大力手抛球发起反击，基米希中场得球突进横传，经过比达尔和莱万传递后，道格拉斯-科斯塔禁区左侧低传，基米希在门前4米处推射入网，3比0
56'阿拉巴后场敲给马丁内斯，在给蒂亚戈                   53'拜仁第53分钟再下一城，诺伊尔大力手抛球发起反击，基米希中场得球突进横传，经过比达尔和莱万传递后，道格拉斯-科斯塔禁区左侧低传，基米希在门前4米处推射入网，3比0
56'左侧阿拉巴长传出了边线                   53'拜仁第53分钟再下一城，诺伊尔大力手抛球发起反击，基米希中场得球突进横传，经过比达尔和莱万传递后，道格拉斯-科斯塔禁区左侧低传，基米希在门前4米处推射入网，3比0
60'穆勒横拨科斯塔，左侧在传，梅夫利亚把球解围                   60'基米希第60分钟梅开二度
60'阿拉巴外围在给贝尔纳特，贝尔纳特来一脚传中                   60'基米希第60分钟梅开二度
60'前点挡出，角球                   60'基米希第60分钟梅开二度
61'战术角球，左侧起球，门前基米希高高跃起，头球一蹭，轻松破网                   60'基米希第60分钟梅开二度
61'基米希梅开二度。一个后腰，要成为射手啊                   60'基米希第60分钟梅开二度
62'门将扎纳耶夫不干了，能不能提提神。。这防线太坑了                   60'基米希第60分钟梅开二度
62'看样子真是要屠杀啊，我怎么想起了早晚的亚冠，上港和全北                   60'基米希第60分钟梅开二度
62'比达尔上来，外围有远射机会，爆射，质量很高                   60'基米希第60分钟梅开二度
63'扎纳耶夫拼命扑救，单拳一脱球是击中横梁弹出                   60'基米希第60分钟梅开二度
