68'王永珀在场边活动！看来要准备上场！                   68'第68分钟，山东鲁能后防线连续解围失误，帕托得球轻松低射破门
69'天津权健队进球啦！！帕托！1-0                   68'第68分钟，山东鲁能后防线连续解围失误，帕托得球轻松低射破门
69'帕托直传情被挡了一下！球到了帕托脚下，突破打门！皮球应声入网！！！！                   68'第68分钟，山东鲁能后防线连续解围失误，帕托得球轻松低射破门
69'这其实是个不是机会的机会！！！                   68'第68分钟，山东鲁能后防线连续解围失误，帕托得球轻松低射破门
71'天津权健队换人：王永珀上场，换下裴帅！                   68'第68分钟，山东鲁能后防线连续解围失误，帕托得球轻松低射破门
47'金敬道右路接球！轻推禁区！被破坏出底线                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
47'蒿俊闵发角球到禁区内！张鹭把球打了一下                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
47'糜昊伦倒勾解围！！                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
47'天空划出了闪电！！希望不要对比赛有影响                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
47'塔尔德利左路接球！带球突破被破坏                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
47'天津权健队右路长传进攻！裴帅带球突破！最后没劲啦！                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
47'鲁能泰山队把球破坏                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
47'天津权健队右路斜传禁区！！王大雷出击扑住！                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
48'鲁能泰山队右路突破横传！被大脚破坏                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
48'界外球发出来！张驰带球突破！又被破坏出边线                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
