6'永昌队的主场气氛也是十分火爆啊                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
6'永昌队进攻，被门将顾超没收                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
6'永昌右路获得任意球机会                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
7'乔罗主罚，将球打出到门前给前点                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
7'被绿城队员破坏                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
8'穆伦加倒地了                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
8'似乎有些受伤                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
9'永昌长传到右路找隆东，隆东没有跟上出了底线                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
9'绿城中场拿球给前场，被断下                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
9'又有永昌队球员倒地了                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
16'永昌右路进攻给右路乔罗                   16'第16分钟，石家庄永昌传球被后卫解围不远，穆伦加得球晃开空当后直接远射，顾超倒地将球没收
16'永昌进攻，穆伦加一脚远射被门将得到                   16'第16分钟，石家庄永昌传球被后卫解围不远，穆伦加得球晃开空当后直接远射，顾超倒地将球没收
17'绿城外围一脚打门，放了高射炮，来自于罗竞                   16'第16分钟，石家庄永昌传球被后卫解围不远，穆伦加得球晃开空当后直接远射，顾超倒地将球没收
18'永昌后场断球                   16'第16分钟，石家庄永昌传球被后卫解围不远，穆伦加得球晃开空当后直接远射，顾超倒地将球没收
18'永昌后场拿球传递                   16'第16分钟，石家庄永昌传球被后卫解围不远，穆伦加得球晃开空当后直接远射，顾超倒地将球没收
18'永昌拿球转移到左路，底线处被绿城断下                   16'第16分钟，石家庄永昌传球被后卫解围不远，穆伦加得球晃开空当后直接远射，顾超倒地将球没收
19'永昌左路传中，门前顶出来，外围乔罗远射打在防守队员身上                   16'第16分钟，石家庄永昌传球被后卫解围不远，穆伦加得球晃开空当后直接远射，顾超倒地将球没收
19'永昌前场外围远射，顾超扑了一下                   16'第16分钟，石家庄永昌传球被后卫解围不远，穆伦加得球晃开空当后直接远射，顾超倒地将球没收
21'永昌后场拿球                   21'第21分钟，糜昊伦传中，毛剑卿得球后大力远射，球打偏了
22'毛剑卿的射门出了底线                   21'第21分钟，糜昊伦传中，毛剑卿得球后大力远射，球打偏了
23'绿城打反击，罗竞的远射高出太多了                   21'第21分钟，糜昊伦传中，毛剑卿得球后大力远射，球打偏了
24'永昌中场传递                   21'第21分钟，糜昊伦传中，毛剑卿得球后大力远射，球打偏了
24'永昌前场小范围配合，传球出了底线                   21'第21分钟，糜昊伦传中，毛剑卿得球后大力远射，球打偏了
26'永昌连续射门，隆东创造了角球机会                   26'第26分钟，隆东边路突破到禁区内回传中路，毛剑卿得球调整劲射，球被防守队员挡出底线
28'永昌左边路进攻，拿球斜传右路，再给到门前，乔罗没把握住机会                   26'第26分钟，隆东边路突破到禁区内回传中路，毛剑卿得球调整劲射，球被防守队员挡出底线
