10'拉维奇拿球，传球禁区，球被解围出来                   10'第10分钟，拉维奇角球传中，姆比亚俯身头球冲顶破门
12'不好意思，刚才信号断了                   10'第10分钟，拉维奇角球传中，姆比亚俯身头球冲顶破门
13'华夏这边取得了进球但是没看见谁，一会看看有没有慢镜头                   10'第10分钟，拉维奇角球传中，姆比亚俯身头球冲顶破门
13'亿利这边换人了，外援迪亚涅上场了                   10'第10分钟，拉维奇角球传中，姆比亚俯身头球冲顶破门
13'亿利这边上的是双中锋呀                   10'第10分钟，拉维奇角球传中，姆比亚俯身头球冲顶破门
39'进球了！！！！！！！！！！！                   39'第39分钟，阿洛伊西奥斜射，张呈栋后点接力铲射破门
39'等下看下慢镜头回放                   39'第39分钟，阿洛伊西奥斜射，张呈栋后点接力铲射破门
40'尹鸿博中路拿球，直塞找到阿洛伊西奥，横传球给到插上的张呈栋，来一脚射门，将球打进                   39'第39分钟，阿洛伊西奥斜射，张呈栋后点接力铲射破门
40'继续看比赛                   39'第39分钟，阿洛伊西奥斜射，张呈栋后点接力铲射破门
40'咦，裁判这边出示了红牌呀                   39'第39分钟，阿洛伊西奥斜射，张呈栋后点接力铲射破门
40'白岳峰吃到了黄牌，两黄变一红，下场了                   39'第39分钟，阿洛伊西奥斜射，张呈栋后点接力铲射破门
41'古德利因为抗议也吃到了一张黄牌                   39'第39分钟，阿洛伊西奥斜射，张呈栋后点接力铲射破门
41'亿利这边已经4球落后，还被罚下一人，局势非常不利呀                   39'第39分钟，阿洛伊西奥斜射，张呈栋后点接力铲射破门
41'OK继续看比赛把                   39'第39分钟，阿洛伊西奥斜射，张呈栋后点接力铲射破门
42'胡人天传球禁区，球被解围出来                   39'第39分钟，阿洛伊西奥斜射，张呈栋后点接力铲射破门
48'球开到禁区，球被解围出来                   48'开场仅仅3分钟，阿洛伊西奥带球突入禁区，但是在与潘喜明拉扯中倒地，主裁判马宁果断判罚点球并向潘喜明出示黄牌警告，拉维奇操刀主罚一蹴而就，河北华夏1-0领先
48'买提江将球控制下来                   48'开场仅仅3分钟，阿洛伊西奥带球突入禁区，但是在与潘喜明拉扯中倒地，主裁判马宁果断判罚点球并向潘喜明出示黄牌警告，拉维奇操刀主罚一蹴而就，河北华夏1-0领先
49'赵宏略送出直传球                   48'开场仅仅3分钟，阿洛伊西奥带球突入禁区，但是在与潘喜明拉扯中倒地，主裁判马宁果断判罚点球并向潘喜明出示黄牌警告，拉维奇操刀主罚一蹴而就，河北华夏1-0领先
49'惠家康传球禁区，球被解围出来                   48'开场仅仅3分钟，阿洛伊西奥带球突入禁区，但是在与潘喜明拉扯中倒地，主裁判马宁果断判罚点球并向潘喜明出示黄牌警告，拉维奇操刀主罚一蹴而就，河北华夏1-0领先
50'姆比亚将球断下来                   48'开场仅仅3分钟，阿洛伊西奥带球突入禁区，但是在与潘喜明拉扯中倒地，主裁判马宁果断判罚点球并向潘喜明出示黄牌警告，拉维奇操刀主罚一蹴而就，河北华夏1-0领先
51'姆比亚长传球传球禁区，球被解围出来                   48'开场仅仅3分钟，阿洛伊西奥带球突入禁区，但是在与潘喜明拉扯中倒地，主裁判马宁果断判罚点球并向潘喜明出示黄牌警告，拉维奇操刀主罚一蹴而就，河北华夏1-0领先
51'姆比亚拿球，继续传球禁区，边裁举旗，越位了                   48'开场仅仅3分钟，阿洛伊西奥带球突入禁区，但是在与潘喜明拉扯中倒地，主裁判马宁果断判罚点球并向潘喜明出示黄牌警告，拉维奇操刀主罚一蹴而就，河北华夏1-0领先
55'前场争抢球，迪亚涅被犯规了                   55'第10分钟，河北华夏再次取得进球，拉维奇开出角球，姆比亚摆脱防守队员小禁区内俯身冲顶将球砸入球门，河北华夏2-0领先
56'胡人天拿球，传球买提江，球被挡出边线                   55'第10分钟，河北华夏再次取得进球，拉维奇开出角球，姆比亚摆脱防守队员小禁区内俯身冲顶将球砸入球门，河北华夏2-0领先
