54'射门!!!马德里竞技球员盖坦大禁区中央左脚射门,被对方守门员横身扑出.                   54'第54分钟，格列兹曼直传，盖坦禁区右肋单刀射门又被费尔南德斯神勇救出
55'鲁卡维纳将球处理出底线,马德里竞技获得角球.                   54'第54分钟，格列兹曼直传，盖坦禁区右肋单刀射门又被费尔南德斯神勇救出
55'冈萨雷斯将球处理出底线,马德里竞技获得角球.                   54'第54分钟，格列兹曼直传，盖坦禁区右肋单刀射门又被费尔南德斯神勇救出
55'马德里竞技球员加比拼抢犯规,对手获得控球权.                   54'第54分钟，格列兹曼直传，盖坦禁区右肋单刀射门又被费尔南德斯神勇救出
55'Samu Castillejo为比利亚雷亚尔赢得一个任意球.                   54'第54分钟，格列兹曼直传，盖坦禁区右肋单刀射门又被费尔南德斯神勇救出
55'黄牌！马德里竞技球员加比因为恶意犯规,被主裁判出示黄牌.                   54'第54分钟，格列兹曼直传，盖坦禁区右肋单刀射门又被费尔南德斯神勇救出
56'马德里竞技换人,加梅罗换下Ángel Correa                   54'第54分钟，格列兹曼直传，盖坦禁区右肋单刀射门又被费尔南德斯神勇救出
56'马德里竞技换人,Yannick Carrasco换下盖坦                   54'第54分钟，格列兹曼直传，盖坦禁区右肋单刀射门又被费尔南德斯神勇救出
82'进球啦！！！比利亚雷亚尔球员索里亚诺球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是巴卡布. 马德里竞技 0-1 比利亚雷亚尔.                   82'比利亚雷亚尔第82分钟打破僵局，巴坎布前场抢断后突入禁区右侧传中，索里亚诺近距离垫射入网
84'马德里竞技球员绍尔-尼格斯大禁区外左脚射门,被防守球员封堵.给他传球的是格里兹曼.                   82'比利亚雷亚尔第82分钟打破僵局，巴坎布前场抢断后突入禁区右侧传中，索里亚诺近距离垫射入网
85'比利亚雷亚尔换人,罗德里换下特里格罗斯                   82'比利亚雷亚尔第82分钟打破僵局，巴坎布前场抢断后突入禁区右侧传中，索里亚诺近距离垫射入网
