1'上半场比赛开始！                   1'阿森纳第1分钟展开围攻
1'上半场由阿森纳率先开球                   1'阿森纳第1分钟展开围攻
1'今天阿森纳身穿红衣白裤                   1'阿森纳第1分钟展开围攻
1'米德尔斯堡是蓝色球衣                   1'阿森纳第1分钟展开围攻
1'穆斯塔菲压上来，长传，球直接出了边线                   1'阿森纳第1分钟展开围攻
2'弗兰德掷界外球                   1'阿森纳第1分钟展开围攻
2'中场争夺后阿森纳控球                   1'阿森纳第1分钟展开围攻
2'科斯切尔尼交给伊沃比                   1'阿森纳第1分钟展开围攻
2'回给科斯切尔尼再分给蒙雷亚尔                   1'阿森纳第1分钟展开围攻
3'阿森纳中场断球，穆斯塔菲分给贝莱林                   1'阿森纳第1分钟展开围攻
3'再回传给穆斯塔菲，转移给科斯切尔尼                   1'阿森纳第1分钟展开围攻
3'厄齐尔接应斜传                   1'阿森纳第1分钟展开围攻
3'桑切斯接应分右路，贝莱林上来了，传中打在弗兰德身上出底线                   1'阿森纳第1分钟展开围攻
3'阿森纳右路的角球机会                   1'阿森纳第1分钟展开围攻
4'厄齐尔送门前，前点顶不到，阿亚拉将球扫出禁区                   1'阿森纳第1分钟展开围攻
4'埃尔内尼控球交给蒙雷亚尔                   1'阿森纳第1分钟展开围攻
4'桑切斯提上来接应回给埃尔内尼                   1'阿森纳第1分钟展开围攻
9'长传上来，厄齐尔插上脚后跟传球短了，阿亚拉解围                   9'米堡9人收缩防守，但第18分钟险些率先破门，阿亚拉长传，内格雷多头球摆渡，特劳雷从科斯切尔尼身后断球后突入禁区右侧的射门被切赫扑出，内格雷多补射又被切赫返身扑出
9'蒙雷亚尔左路下底传中被阿亚拉拦截出底线                   9'米堡9人收缩防守，但第18分钟险些率先破门，阿亚拉长传，内格雷多头球摆渡，特劳雷从科斯切尔尼身后断球后突入禁区右侧的射门被切赫扑出，内格雷多补射又被切赫返身扑出
9'厄齐尔传中，阿亚拉头球解围                   9'米堡9人收缩防守，但第18分钟险些率先破门，阿亚拉长传，内格雷多头球摆渡，特劳雷从科斯切尔尼身后断球后突入禁区右侧的射门被切赫扑出，内格雷多补射又被切赫返身扑出
10'穆斯塔菲交给厄齐尔过渡一下                   9'米堡9人收缩防守，但第18分钟险些率先破门，阿亚拉长传，内格雷多头球摆渡，特劳雷从科斯切尔尼身后断球后突入禁区右侧的射门被切赫扑出，内格雷多补射又被切赫返身扑出
10'埃尔内尼外围外脚背劲射，球稍稍偏出右立柱                   9'米堡9人收缩防守，但第18分钟险些率先破门，阿亚拉长传，内格雷多头球摆渡，特劳雷从科斯切尔尼身后断球后突入禁区右侧的射门被切赫扑出，内格雷多补射又被切赫返身扑出
11'阿亚拉长传上来，科斯切尔尼顶到第一点                   9'米堡9人收缩防守，但第18分钟险些率先破门，阿亚拉长传，内格雷多头球摆渡，特劳雷从科斯切尔尼身后断球后突入禁区右侧的射门被切赫扑出，内格雷多补射又被切赫返身扑出
11'巴拉甘右路传中太低了，被科斯切尔尼顶出来                   9'米堡9人收缩防守，但第18分钟险些率先破门，阿亚拉长传，内格雷多头球摆渡，特劳雷从科斯切尔尼身后断球后突入禁区右侧的射门被切赫扑出，内格雷多补射又被切赫返身扑出
12'拉米雷斯前场铲球犯规                   9'米堡9人收缩防守，但第18分钟险些率先破门，阿亚拉长传，内格雷多头球摆渡，特劳雷从科斯切尔尼身后断球后突入禁区右侧的射门被切赫扑出，内格雷多补射又被切赫返身扑出
12'伊沃比左路控球，传中间，弗兰德踢得不远                   9'米堡9人收缩防守，但第18分钟险些率先破门，阿亚拉长传，内格雷多头球摆渡，特劳雷从科斯切尔尼身后断球后突入禁区右侧的射门被切赫扑出，内格雷多补射又被切赫返身扑出
12'贝莱林直传，沃尔科特前插有点坐球车，球出底线                   9'米堡9人收缩防守，但第18分钟险些率先破门，阿亚拉长传，内格雷多头球摆渡，特劳雷从科斯切尔尼身后断球后突入禁区右侧的射门被切赫扑出，内格雷多补射又被切赫返身扑出
33'弗兰德长传上来，科斯切尔尼的解围踢嗤了，球出边线                   33'米堡第33分钟又险些破门，特劳雷左路传中，内格雷多前点头球攻门打中科斯切尔尼后偏转，拉米雷斯近距离头球攻门再次被切赫神勇救出
34'特劳雷右路下底传中，内格雷多前点甩头攻门顶在了科斯切尔尼后背弹到后点，拉米雷斯头球接力被切赫封出！                   33'米堡第33分钟又险些破门，特劳雷左路传中，内格雷多前点头球攻门打中科斯切尔尼后偏转，拉米雷斯近距离头球攻门再次被切赫神勇救出
34'米德尔斯堡制造的机会不比阿森纳少                   33'米堡第33分钟又险些破门，特劳雷左路传中，内格雷多前点头球攻门打中科斯切尔尼后偏转，拉米雷斯近距离头球攻门再次被切赫神勇救出
