3'鲁能泰山队左路攻到前场，对方犯规                   3'比赛第3分钟，北京国安队发动进攻，费祖拉乌禁区内转身射门，球被王大雷没收
3'任意球发到禁区内，对方后卫头球回顶，到了杨智手里                   3'比赛第3分钟，北京国安队发动进攻，费祖拉乌禁区内转身射门，球被王大雷没收
3'北京国安队长传球，费祖拉胡手球违例                   3'比赛第3分钟，北京国安队发动进攻，费祖拉乌禁区内转身射门，球被王大雷没收
3'山东鲁能首发名单：门将：25-王大雷;后卫：11-王彤、5-汪强、35-戴琳、16-郑铮;后腰：33-金敬道、15-乌索;前卫：21-刘彬彬、30-蒙蒂略、13-张文钊;前锋：10-洛维                   3'比赛第3分钟，北京国安队发动进攻，费祖拉乌禁区内转身射门，球被王大雷没收
4'费祖拉胡转身打门，王大雷把球没收                   3'比赛第3分钟，北京国安队发动进攻，费祖拉乌禁区内转身射门，球被王大雷没收
4'鲁能泰山队进球啦！！洛维，1-0                   3'比赛第3分钟，北京国安队发动进攻，费祖拉乌禁区内转身射门，球被王大雷没收
4'北京国安首发：门将：22-杨智;后卫：4-周挺、18-郎征、13-徐云龙、31-赵和靖;前卫：24-李翰博、5-马季奇、16-河大成、10-张稀哲;前锋：21-费祖拉乌、27-德扬                   3'比赛第3分钟，北京国安队发动进攻，费祖拉乌禁区内转身射门，球被王大雷没收
5'中场鲁能泰山队长传球，刘彬彬抢点劲射被杨智挡出来，洛维补射球进！                   3'比赛第3分钟，北京国安队发动进攻，费祖拉乌禁区内转身射门，球被王大雷没收
8'北京国安队替补：1-张思鹏、6-张晓彬、23-陈志钊、9-谭天澄、39-朴成、11-宋博轩、29-邵佳一                   8'第8分钟，张文钊带球突入禁区后在对方干扰下倒地，但主裁判并未判罚点球
8'鲁能泰山队率先进球，贺电有木有？                   8'第8分钟，张文钊带球突入禁区后在对方干扰下倒地，但主裁判并未判罚点球
8'鲁能泰山队右路突破到禁区内，对方把球抢断下来，张文钊是被徐云龙推了一把，但主裁判不敢吹啊                   8'第8分钟，张文钊带球突入禁区后在对方干扰下倒地，但主裁判并未判罚点球
9'女1号潮流风服饰：恭喜鲁能，恒大球迷来帮忙助威了！加油[回复]想拉开比分啊！不过应该祝贺                   8'第8分钟，张文钊带球突入禁区后在对方干扰下倒地，但主裁判并未判罚点球
9'北京国安队右路横传禁区，很危险啊，对方把球破坏出来                   8'第8分钟，张文钊带球突入禁区后在对方干扰下倒地，但主裁判并未判罚点球
9'郑铮铲球倒地，被对方踩了一下受伤倒在地上！鲁能泰山队把球开出边线                   8'第8分钟，张文钊带球突入禁区后在对方干扰下倒地，但主裁判并未判罚点球
14'用户5235410291：江苏球迷发来贺电[回复]谢谢各位的贺电                   14'第14分钟，北京国安前场逼抢，德扬边路断球后杀入禁区，但是射门被王大雷扑出
14'费祖拉胡左路角球附近有犯规动作啊，不过主裁判没有吹，他带球到禁区内，险此破门啊！                   14'第14分钟，北京国安前场逼抢，德扬边路断球后杀入禁区，但是射门被王大雷扑出
15'河大成外围得球，一脚劲射，擦着立柱出底线！！                   14'第14分钟，北京国安前场逼抢，德扬边路断球后杀入禁区，但是射门被王大雷扑出
15'用户5217326581：恭喜鲁能，继续加油[回复]必须的！！双方都加油                   14'第14分钟，北京国安前场逼抢，德扬边路断球后杀入禁区，但是射门被王大雷扑出
15'刘彬彬左路带球强突，对方犯规，得到前场任意球机会                   14'第14分钟，北京国安前场逼抢，德扬边路断球后杀入禁区，但是射门被王大雷扑出
16'蒙蒂略站在球前，发任意球到前点，对方把球顶出来                   14'第14分钟，北京国安前场逼抢，德扬边路断球后杀入禁区，但是射门被王大雷扑出
17'马季奇右路带球突破，戴琳逼住了他，马季奇回带倒在地上，吹了戴琳的犯规                   14'第14分钟，北京国安前场逼抢，德扬边路断球后杀入禁区，但是射门被王大雷扑出
17'北京国安队得到前场右路任意球机会                   14'第14分钟，北京国安前场逼抢，德扬边路断球后杀入禁区，但是射门被王大雷扑出
17'马季奇右路带球突破，戴琳逼住了他，马季奇回带倒在地上，吹了戴琳的犯规                   17'第17分钟，北京国安获得任意球，张稀哲传到后点，无人盯防的德扬凌空打门将球打飞
17'北京国安队得到前场右路任意球机会                   17'第17分钟，北京国安获得任意球，张稀哲传到后点，无人盯防的德扬凌空打门将球打飞
18'任意球开到门前，徐云龙抢点垫射高出，不越位啊！！好悬！                   17'第17分钟，北京国安获得任意球，张稀哲传到后点，无人盯防的德扬凌空打门将球打飞
18'用户2194821285：成都的山东球迷继续贺电！[回复]洛维的进球值得祝贺！                   17'第17分钟，北京国安获得任意球，张稀哲传到后点，无人盯防的德扬凌空打门将球打飞
19'蒙蒂略中场接球，被徐云龙放倒！                   17'第17分钟，北京国安获得任意球，张稀哲传到后点，无人盯防的德扬凌空打门将球打飞
19'对蒙蒂略，北京国安队是重点照顾！！                   17'第17分钟，北京国安获得任意球，张稀哲传到后点，无人盯防的德扬凌空打门将球打飞
20'蒙蒂略看来伤得不轻！走到场外，要换人吗？                   17'第17分钟，北京国安获得任意球，张稀哲传到后点，无人盯防的德扬凌空打门将球打飞
20'鞋子都掉了！徐云龙这个犯规动作还是比较大的！！吃黄牌不为过！                   17'第17分钟，北京国安获得任意球，张稀哲传到后点，无人盯防的德扬凌空打门将球打飞
20'鲁能泰山队被动换人：阿洛伊西奥上场，换下了受伤的蒙蒂略！                   17'第17分钟，北京国安获得任意球，张稀哲传到后点，无人盯防的德扬凌空打门将球打飞
23'鲁能泰山队右路进攻，三人配合，张文钊强突，在禁区线啦，郎征伸腿，这动作太大！！                   23'第23分钟，山东鲁能反击，张文钊突破几乎形成单刀，但郎征犯规阻断进攻，主裁判向郎征出示黄牌警告
