6'鲁本长传球~~直接传给了对方后卫                   6'第6分钟，杭州绿城边路传中，谈杨头球摆渡到后点，跟进队友射门未能踢正部位
6'绿城主场这个草皮~实在是太不平整了                   6'第6分钟，杭州绿城边路传中，谈杨头球摆渡到后点，跟进队友射门未能踢正部位
6'绿城边路进攻                   6'第6分钟，杭州绿城边路传中，谈杨头球摆渡到后点，跟进队友射门未能踢正部位
7'葛振突破了糜昊伦的防守，拼身体~~~                   6'第6分钟，杭州绿城边路传中，谈杨头球摆渡到后点，跟进队友射门未能踢正部位
7'下底传中~~门前谈杨的头球攻门~没有顶正                   6'第6分钟，杭州绿城边路传中，谈杨头球摆渡到后点，跟进队友射门未能踢正部位
7'禁区外再打~~还是没有踢正部位                   6'第6分钟，杭州绿城边路传中，谈杨头球摆渡到后点，跟进队友射门未能踢正部位
8'永昌队的中场长传~~出了底线                   6'第6分钟，杭州绿城边路传中，谈杨头球摆渡到后点，跟进队友射门未能踢正部位
9'绿城不紧不慢的在控球                   6'第6分钟，杭州绿城边路传中，谈杨头球摆渡到后点，跟进队友射门未能踢正部位
15'比赛继续~~~                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
15'绿城断球之后推进到禁区前                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
16'拉蒙突然起脚~~~一脚劲射打在了对方球员的身上出了底线                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
16'绿城的角球                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
16'传前点~~顶了一下，永昌队的后卫赶紧解围                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
16'裁判鸣哨了~糜昊伦在挑球的时候手球了                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
17'绿城队获得了一个禁区右上角的定位球                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
17'定位球传中~~前点斯皮拉诺维奇倒地了                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
