7'拉菲尼亚刚过中线长传打到禁区，莱万多夫斯基反起来成功形成单刀胸部停球下来轻松推射破门！                   6'开场6分钟，拜仁首次射门就取得理想开局
7'莱万多夫斯基在第6分钟就为拜仁先开纪录                   6'开场6分钟，拜仁首次射门就取得理想开局
8'拜仁还是压着对方在进攻                   6'开场6分钟，拜仁首次射门就取得理想开局
8'沙基里的挑传落点太深了                   6'开场6分钟，拜仁首次射门就取得理想开局
13'罗本带球到弧顶处无人看防打一记斜射，球命中球门右下角！                   13'第13分钟，费利佩后场传球失误，拉姆断球直接推给罗本，罗本在门前14米处左脚推进右下角，2比0
13'上半场进行了13分钟，拜仁就已经取得2：0的领先                   13'第13分钟，费利佩后场传球失误，拉姆断球直接推给罗本，罗本在门前14米处左脚推进右下角，2比0
15'汉诺威在中场根本是拿不住球                   13'第13分钟，费利佩后场传球失误，拉姆断球直接推给罗本，罗本在门前14米处左脚推进右下角，2比0
15'拉姆的传中，被马塞洛头球解围出来                   13'第13分钟，费利佩后场传球失误，拉姆断球直接推给罗本，罗本在门前14米处左脚推进右下角，2比0
16'酒井宏树右路得球斜传球过不了贝尔纳特                   13'第13分钟，费利佩后场传球失误，拉姆断球直接推给罗本，罗本在门前14米处左脚推进右下角，2比0
16'拜仁又有机会，罗本带球到禁区前沿                   13'第13分钟，费利佩后场传球失误，拉姆断球直接推给罗本，罗本在门前14米处左脚推进右下角，2比0
16'招牌式的横向一趟然后打门，球稍稍偏出球门左立柱                   13'第13分钟，费利佩后场传球失误，拉姆断球直接推给罗本，罗本在门前14米处左脚推进右下角，2比0
30'上半场比赛进行了30分钟，拜仁暂时2：0领先                   29'第29分钟，罗本禁区右侧突破舒尔茨底线回传，球碰倒地的费利佩手臂变线击中近门柱外侧弹出，主裁判没给点球，阿隆索右侧开出角球，罗本内切距门12米处左脚打高
31'阿拉巴分给贝尔纳特，回传给阿拉巴                   29'第29分钟，罗本禁区右侧突破舒尔茨底线回传，球碰倒地的费利佩手臂变线击中近门柱外侧弹出，主裁判没给点球，阿隆索右侧开出角球，罗本内切距门12米处左脚打高
31'阿隆索接应交给丹特                   29'第29分钟，罗本禁区右侧突破舒尔茨底线回传，球碰倒地的费利佩手臂变线击中近门柱外侧弹出，主裁判没给点球，阿隆索右侧开出角球，罗本内切距门12米处左脚打高
31'丹特交给贝纳蒂亚                   29'第29分钟，罗本禁区右侧突破舒尔茨底线回传，球碰倒地的费利佩手臂变线击中近门柱外侧弹出，主裁判没给点球，阿隆索右侧开出角球，罗本内切距门12米处左脚打高
31'贝纳蒂亚又横传给阿拉巴                   29'第29分钟，罗本禁区右侧突破舒尔茨底线回传，球碰倒地的费利佩手臂变线击中近门柱外侧弹出，主裁判没给点球，阿隆索右侧开出角球，罗本内切距门12米处左脚打高
32'马塞洛长传找索比赫，施密特巴赫接应分给酒井宏树                   29'第29分钟，罗本禁区右侧突破舒尔茨底线回传，球碰倒地的费利佩手臂变线击中近门柱外侧弹出，主裁判没给点球，阿隆索右侧开出角球，罗本内切距门12米处左脚打高
32'阿隆索补防回来将球拦截出边线                   29'第29分钟，罗本禁区右侧突破舒尔茨底线回传，球碰倒地的费利佩手臂变线击中近门柱外侧弹出，主裁判没给点球，阿隆索右侧开出角球，罗本内切距门12米处左脚打高
32'古尔塞拉姆接球，前无去路交给后防线                   29'第29分钟，罗本禁区右侧突破舒尔茨底线回传，球碰倒地的费利佩手臂变线击中近门柱外侧弹出，主裁判没给点球，阿隆索右侧开出角球，罗本内切距门12米处左脚打高
32'清武弘嗣长传前场右路找自己的国家队队友酒井宏树                   29'第29分钟，罗本禁区右侧突破舒尔茨底线回传，球碰倒地的费利佩手臂变线击中近门柱外侧弹出，主裁判没给点球，阿隆索右侧开出角球，罗本内切距门12米处左脚打高
47'刚开始依然是拜仁的控球                   46'1分钟后，沙奇里右路起球，莱万头球偏出
47'阿隆索大范围转移到右路，拉菲尼亚传中被舒尔茨头球顶出来                   46'1分钟后，沙奇里右路起球，莱万头球偏出
47'又是罗本拿到第二点，转移到左路                   46'1分钟后，沙奇里右路起球，莱万头球偏出
48'阿拉巴起球传中没有传起来                   46'1分钟后，沙奇里右路起球，莱万头球偏出
48'德甲另一场比赛多特蒙德暂时0-1落后汉堡                   46'1分钟后，沙奇里右路起球，莱万头球偏出
49'施密特巴赫中场断球，被阿拉巴反断                   46'1分钟后，沙奇里右路起球，莱万头球偏出
49'沙基里过渡到右路，拉菲尼亚右肋部下底传中，球被马塞洛顶出底线                   46'1分钟后，沙奇里右路起球，莱万头球偏出
49'更正一下顶出底线的是菲利佩                   46'1分钟后，沙奇里右路起球，莱万头球偏出
49'阿隆索发任意球，落点比较靠后，罗本拿球                   46'1分钟后，沙奇里右路起球，莱万头球偏出
44'何塞鲁有单刀机会，推射被诺伊尔倒地扑出底线                   44'第44分钟，清武弘嗣中场直传，索别赫单刀距门13米处推射被诺伊尔托出横梁
45'菲利佩角球发前点被丹特头球解围                   44'第44分钟，清武弘嗣中场直传，索别赫单刀距门13米处推射被诺伊尔托出横梁
45'古尔塞拉姆带球趟大了了                   44'第44分钟，清武弘嗣中场直传，索别赫单刀距门13米处推射被诺伊尔托出横梁
45'罗本右路得球，斜传禁区，沙基里甩头攻门顶偏了                   44'第44分钟，清武弘嗣中场直传，索别赫单刀距门13米处推射被诺伊尔托出横梁
47'刚开始依然是拜仁的控球                   44'第44分钟，清武弘嗣中场直传，索别赫单刀距门13米处推射被诺伊尔托出横梁
47'阿隆索大范围转移到右路，拉菲尼亚传中被舒尔茨头球顶出来                   44'第44分钟，清武弘嗣中场直传，索别赫单刀距门13米处推射被诺伊尔托出横梁
47'又是罗本拿到第二点，转移到左路                   44'第44分钟，清武弘嗣中场直传，索别赫单刀距门13米处推射被诺伊尔托出横梁
59'阿隆索中路直传到禁区，莱万多夫斯基脚后跟一磕，传得有点靠前，罗本来迟半步                   59'第59分钟，罗本分球，莱万禁区左侧脚后跟做球，罗本跟进铲空错失机会
59'球被舒尔茨解围出底线                   59'第59分钟，罗本分球，莱万禁区左侧脚后跟做球，罗本跟进铲空错失机会
59'拜仁右路的角球机会                   59'第59分钟，罗本分球，莱万禁区左侧脚后跟做球，罗本跟进铲空错失机会
59'罗本角球送到前点，莱万多夫斯基甩头攻门顶到了球的底部飞出底线                   59'第59分钟，罗本分球，莱万禁区左侧脚后跟做球，罗本跟进铲空错失机会
60'拜仁换人，皮萨罗替下了沙基里                   59'第59分钟，罗本分球，莱万禁区左侧脚后跟做球，罗本跟进铲空错失机会
60'罗本右路的传中，齐勒将球摘下                   59'第59分钟，罗本分球，莱万禁区左侧脚后跟做球，罗本跟进铲空错失机会
61'下半场比赛进行了15分钟，场上比分还是拜仁3：0领先                   59'第59分钟，罗本分球，莱万禁区左侧脚后跟做球，罗本跟进铲空错失机会
61'中场争夺，比腾科特绊倒了阿隆索                   59'第59分钟，罗本分球，莱万禁区左侧脚后跟做球，罗本跟进铲空错失机会
62'罗本中路得球，分给套上的拉菲尼亚，潘德尔还是很快站住位置                   59'第59分钟，罗本分球，莱万禁区左侧脚后跟做球，罗本跟进铲空错失机会
62'索比赫右路带球到禁区边沿大力打门打偏了                   59'第59分钟，罗本分球，莱万禁区左侧脚后跟做球，罗本跟进铲空错失机会
70'罗本右路内切与拉菲尼亚做二过一后到了禁区内横带左脚打门被马塞洛飞身堵枪眼                   70'第70分钟，罗本右路内切直传，拉姆禁区回敲，罗本没有直接射门，横拨再打被后卫封堵
70'外围阿隆索补射，球没有压住                   70'第70分钟，罗本右路内切直传，拉姆禁区回敲，罗本没有直接射门，横拨再打被后卫封堵
71'比腾科特上抢时脚底踩到了贝纳蒂亚                   70'第70分钟，罗本右路内切直传，拉姆禁区回敲，罗本没有直接射门，横拨再打被后卫封堵
72'汉诺威换人，13号施劳特拉夫替下了28号清武弘嗣                   70'第70分钟，罗本右路内切直传，拉姆禁区回敲，罗本没有直接射门，横拨再打被后卫封堵
72'清武弘嗣是全场碌碌无为                   70'第70分钟，罗本右路内切直传，拉姆禁区回敲，罗本没有直接射门，横拨再打被后卫封堵
73'比腾科特左路跑动中直接抡一脚，球飘出了右立柱                   70'第70分钟，罗本右路内切直传，拉姆禁区回敲，罗本没有直接射门，横拨再打被后卫封堵
79'皮萨罗前场得球分给罗本                   79'第79分钟，罗本右路内切连过3人，在门前11米处左脚抽射钻入近角，4比0
79'罗本状态太好了，也是梅开二度！                   79'第79分钟，罗本右路内切连过3人，在门前11米处左脚抽射钻入近角，4比0
80'罗本在禁区边缘起速横向趟过了舒尔茨扣射球进！                   79'第79分钟，罗本右路内切连过3人，在门前11米处左脚抽射钻入近角，4比0
80'罗本加速一下真是无解                   79'第79分钟，罗本右路内切连过3人，在门前11米处左脚抽射钻入近角，4比0
81'阿拉巴左犄角起球传中，皮萨罗发力头球攻门顶高了                   79'第79分钟，罗本右路内切连过3人，在门前11米处左脚抽射钻入近角，4比0
82'拜仁用16号高迪诺替下3号阿隆索                   79'第79分钟，罗本右路内切连过3人，在门前11米处左脚抽射钻入近角，4比0
82'高迪诺1996年出生，今年只有18岁                   79'第79分钟，罗本右路内切连过3人，在门前11米处左脚抽射钻入近角，4比0
82'比腾科特左路得球，传中，球划门而过                   79'第79分钟，罗本右路内切连过3人，在门前11米处左脚抽射钻入近角，4比0
87'莱万多夫斯基弧顶前背身拿球被舒尔茨绊倒                   87'第87分钟，罗本任意球被齐勒倒地没收
87'拜仁获得一个弧顶外一点的任意球机会                   87'第87分钟，罗本任意球被齐勒倒地没收
87'罗本主罚，球越过人墙，不过球速不快，齐勒将球没收                   87'第87分钟，罗本任意球被齐勒倒地没收
89'罗本来到右路拿球，回传一下                   87'第87分钟，罗本任意球被齐勒倒地没收
90'高迪诺也展示一下自己的盘带技术，很快还是分给了队友                   87'第87分钟，罗本任意球被齐勒倒地没收
