1'上半场比赛开始                   1'双方第1分钟均显得小心谨慎
1'阿森纳开球                   1'双方第1分钟均显得小心谨慎
1'蒙雷亚尔拿球，回敲                   1'双方第1分钟均显得小心谨慎
1'伊沃比拿球推进，被拦截                   1'双方第1分钟均显得小心谨慎
2'科拉希纳茨挑传前场                   1'双方第1分钟均显得小心谨慎
2'科克头球给博佩                   1'双方第1分钟均显得小心谨慎
2'亨德里克越位了                   1'双方第1分钟均显得小心谨慎
3'扎卡拿球，给穆斯塔菲                   1'双方第1分钟均显得小心谨慎
3'拉姆塞长传转移                   1'双方第1分钟均显得小心谨慎
3'右路贝莱林拿到，回敲蒙雷亚尔                   1'双方第1分钟均显得小心谨慎
4'桑切斯过顶球往前                   1'双方第1分钟均显得小心谨慎
4'球出了边线                   1'双方第1分钟均显得小心谨慎
4'布拉迪拿球，分亨德里克                   1'双方第1分钟均显得小心谨慎
15'科克拿球到左路，回敲本米                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
15'传中到门前，被切赫没收                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
15'科斯切尔尼拿球，斜传被布拉迪拦截                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
16'格维兹门松拿球，禁区右侧                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
16'一脚爆射被切赫扑了一下，打在门柱上弹出                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
17'伯恩利错失良机                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
17'拉姆塞拿球，直塞打身后                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
18'塔科夫斯基把球拦截下来                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
18'长传到中场，科斯切尔尼顶防犯规了                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
18'伯恩利任意球开入禁区                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
18'科拉希纳茨把球破坏出去                   15'伯恩利第15分钟险些破门，亨德里克传球，格维兹门松禁区右侧的射门憾中近角立柱
22'外围德福尔跟上的凌空打门被挡出                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
22'沃德左路拿球，传中进去                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
22'亨德里克插上头球被切赫扑出去                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
23'角球开出去，科克分左路                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
23'洛顿拿球横敲，被桑切斯拦截                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
24'桑切斯回传穆斯塔菲                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
24'蒙雷亚尔给到科拉希纳茨                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
24'扎卡拿球，继续找桑切斯                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
25'桑切斯长传被博佩拦截                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
25'洛顿拿球找队友，踢墙配合                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
25'球被穆斯塔菲先破坏出去                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
25'布拉迪右路铲倒了伊沃比                   22'第22分钟，布雷迪开出角球，本-米远点近距离头球攻门偏出近角
92'扎卡挑传进禁区，贝莱林摆渡                   92'阿森纳第92分钟绝杀，桑切斯头球摆渡，塔尔科夫斯基小禁区边缘推倒拉姆塞，桑切斯主罚点球命中
92'裁判吹了点球                   92'阿森纳第92分钟绝杀，桑切斯头球摆渡，塔尔科夫斯基小禁区边缘推倒拉姆塞，桑切斯主罚点球命中
92'塔科夫斯基的推人，点球，伤停补时阶段                   92'阿森纳第92分钟绝杀，桑切斯头球摆渡，塔尔科夫斯基小禁区边缘推倒拉姆塞，桑切斯主罚点球命中
92'桑切斯点球一蹴而就！                   92'阿森纳第92分钟绝杀，桑切斯头球摆渡，塔尔科夫斯基小禁区边缘推倒拉姆塞，桑切斯主罚点球命中
92'绝杀了！                   92'阿森纳第92分钟绝杀，桑切斯头球摆渡，塔尔科夫斯基小禁区边缘推倒拉姆塞，桑切斯主罚点球命中
93'阿森纳补时阶段进球                   92'阿森纳第92分钟绝杀，桑切斯头球摆渡，塔尔科夫斯基小禁区边缘推倒拉姆塞，桑切斯主罚点球命中
93'伯恩利0-1落后阿森纳                   92'阿森纳第92分钟绝杀，桑切斯头球摆渡，塔尔科夫斯基小禁区边缘推倒拉姆塞，桑切斯主罚点球命中
94'切赫后场大脚开出                   92'阿森纳第92分钟绝杀，桑切斯头球摆渡，塔尔科夫斯基小禁区边缘推倒拉姆塞，桑切斯主罚点球命中
94'全场比赛结束                   92'阿森纳第92分钟绝杀，桑切斯头球摆渡，塔尔科夫斯基小禁区边缘推倒拉姆塞，桑切斯主罚点球命中
94'伯恩利0-1不敌阿森纳                   92'阿森纳第92分钟绝杀，桑切斯头球摆渡，塔尔科夫斯基小禁区边缘推倒拉姆塞，桑切斯主罚点球命中
