13'C罗左路进攻内切传给了右路的贝尔，埃瓦尔的防守把角度封的很死。                   13'第13分钟，卡瓦哈尔传球，本泽马禁区右侧的射门被没收
13'本泽马在禁区线上获得了一次打门机会，但是打的太正了。                   13'第13分钟，卡瓦哈尔传球，本泽马禁区右侧的射门被没收
14'伊斯科最近在对抗中比以前更硬朗了，这让他的侵略性也更强了。                   13'第13分钟，卡瓦哈尔传球，本泽马禁区右侧的射门被没收
15'卡瓦哈尔右路接到传球之后没有停好，传球也比较勉强。                   13'第13分钟，卡瓦哈尔传球，本泽马禁区右侧的射门被没收
15'埃瓦尔队员的犯规，C罗到了右路之后威胁更大，加西亚的犯规。                   13'第13分钟，卡瓦哈尔传球，本泽马禁区右侧的射门被没收
16'贝尔来主罚这个任意球，质量非常高！                   13'第13分钟，卡瓦哈尔传球，本泽马禁区右侧的射门被没收
23'皇马快速的进攻，进球了！                   23'皇马第23分钟凭借争议进球取得领先，C-罗纳尔多人球分过切入禁区右侧传中，明显越位位置的本泽马脚后跟射门打偏，C-罗纳尔多底线附近再传回门前，哈梅斯-罗德里格斯近距离头球破门
23'C罗右路的传中，后点的罗德里格斯头球破门！                   23'皇马第23分钟凭借争议进球取得领先，C-罗纳尔多人球分过切入禁区右侧传中，明显越位位置的本泽马脚后跟射门打偏，C-罗纳尔多底线附近再传回门前，哈梅斯-罗德里格斯近距离头球破门
24'但是这个球之前参与进攻的本泽马越位了，裁判的失误啊。                   23'皇马第23分钟凭借争议进球取得领先，C-罗纳尔多人球分过切入禁区右侧传中，明显越位位置的本泽马脚后跟射门打偏，C-罗纳尔多底线附近再传回门前，哈梅斯-罗德里格斯近距离头球破门
24'这个进球对于皇马来说有点幸运了。                   23'皇马第23分钟凭借争议进球取得领先，C-罗纳尔多人球分过切入禁区右侧传中，明显越位位置的本泽马脚后跟射门打偏，C-罗纳尔多底线附近再传回门前，哈梅斯-罗德里格斯近距离头球破门
25'比赛进行到25分钟，由于裁判的一个失误皇马1比0领先了。                   23'皇马第23分钟凭借争议进球取得领先，C-罗纳尔多人球分过切入禁区右侧传中，明显越位位置的本泽马脚后跟射门打偏，C-罗纳尔多底线附近再传回门前，哈梅斯-罗德里格斯近距离头球破门
36'这种脱手一定要注意啊，皇马队员抓机会能力是非常强的。                   36'第36分钟，克罗斯角球开至远点，佩佩头球摆渡，拉莫斯近距离射门正入伊鲁雷塔下怀
37'拉莫斯门前的打门！戈耶拿做出了一个神级扑救啊，面对对方三名球员把球抓住。                   36'第36分钟，克罗斯角球开至远点，佩佩头球摆渡，拉莫斯近距离射门正入伊鲁雷塔下怀
38'卡瓦哈尔被对方球员踢倒了，这也看得出来今天埃瓦尔的逼抢做的相当到位。                   36'第36分钟，克罗斯角球开至远点，佩佩头球摆渡，拉莫斯近距离射门正入伊鲁雷塔下怀
39'马塞洛传给C罗，C罗直接做给贝尔，贝尔打门稍稍偏出了球门，整个配合一气呵成。                   36'第36分钟，克罗斯角球开至远点，佩佩头球摆渡，拉莫斯近距离射门正入伊鲁雷塔下怀
43'这个球开的质量不高啊，没有威胁。                   43'皇马第43分钟扩大比分，卡瓦哈尔突入禁区右侧低传，C-罗纳尔多前点12码处扫射入近角
43'皇马又进了！！                   43'皇马第43分钟扩大比分，卡瓦哈尔突入禁区右侧低传，C-罗纳尔多前点12码处扫射入近角
44'C罗的右脚大门，C罗已经进了19个球了，太恐怖了！                   43'皇马第43分钟扩大比分，卡瓦哈尔突入禁区右侧低传，C-罗纳尔多前点12码处扫射入近角
45'边路卡瓦哈尔横传之后C罗直接打门，有个反弹门将碰不到球了。                   43'皇马第43分钟扩大比分，卡瓦哈尔突入禁区右侧低传，C-罗纳尔多前点12码处扫射入近角
45'不过埃瓦尔今天踢得也很不错了，上半场还是有几次机会的。                   43'皇马第43分钟扩大比分，卡瓦哈尔突入禁区右侧低传，C-罗纳尔多前点12码处扫射入近角
46'好的，下半场比赛开始了！                   43'皇马第43分钟扩大比分，卡瓦哈尔突入禁区右侧低传，C-罗纳尔多前点12码处扫射入近角
54'莫拉尔对于J罗的犯规。                   54'第54分钟，哈梅斯-罗德里格斯左路任意球传中，拉莫斯小禁区前头球攻门被伊鲁雷塔勉强扑出，越位位置的本泽马小角度射空门偏出
55'皇马的任意球开到门墙，拉莫斯头球被门将扑出，补射的本泽马越位了。                   54'第54分钟，哈梅斯-罗德里格斯左路任意球传中，拉莫斯小禁区前头球攻门被伊鲁雷塔勉强扑出，越位位置的本泽马小角度射空门偏出
