1'罗马球员纳因戈兰一脚直塞球给迪涅,但是边裁举旗显示后者已经越位.                   1'第1分钟，罗马形成围攻之势
4'罗马球员佩罗蒂大禁区右侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是沙拉维.                   1'第1分钟，罗马形成围攻之势
40'射门!!!罗马球员沙拉维大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是萨拉赫.                   40'第40分钟，萨拉赫与丹布罗西奥拼抢半高球，沙拉维左侧距门9米处凌空斜射被汉达诺维奇封出
53'进球啦！！！国际米兰球员佩里西奇大禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是布罗佐维奇. 罗马 0-1 国际米兰.                   53'下半时开始8分钟，国米打破僵局
55'罗马球员弗洛伦齐手球犯规,对手获得球权.                   53'下半时开始8分钟，国米打破僵局
84'罗马球员哲科大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是纳因戈兰.                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
84'进球啦！！！罗马球员纳因戈兰大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是哲科. 罗马 1-1 国际米兰.                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
84'国际米兰球员马纳伊拼抢犯规,对手获得控球权.                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
84'马诺拉斯为罗马赢得一个任意球.                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
85'马纳伊为国际米兰在左路,赢得一个任意球.                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
85'罗马球员马诺拉斯拼抢犯规,对手获得控球权.                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
85'弗洛伦齐将球处理出底线,国际米兰获得角球.                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
86'国际米兰换人,梅洛换下利亚伊奇                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
87'米兰达将球处理出底线,罗马获得角球.                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
87'汉达诺维奇为国际米兰赢得一个任意球.                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
87'罗马球员吕迪格拼抢犯规,对手获得控球权.                   84'罗马第84分钟扳平比分，纳英戈兰禁区弧顶分球，哲科右侧距门14米处转身打呲变成助攻，纳英戈兰在门前10米处铲进右下角，1比1
