1'上半场比赛开始了                   1'第1分钟，夸德拉多禁区右侧回做，皮亚尼奇在门前20米处斜射被孔西利单手托出
1'尤文开出皮球                   1'第1分钟，夸德拉多禁区右侧回做，皮亚尼奇在门前20米处斜射被孔西利单手托出
1'尤文左路进攻，球出了边线                   1'第1分钟，夸德拉多禁区右侧回做，皮亚尼奇在门前20米处斜射被孔西利单手托出
1'基耶利尼后场给到桑德罗，直接漏了                   1'第1分钟，夸德拉多禁区右侧回做，皮亚尼奇在门前20米处斜射被孔西利单手托出
2'萨索洛后场长传球                   1'第1分钟，夸德拉多禁区右侧回做，皮亚尼奇在门前20米处斜射被孔西利单手托出
2'桑德罗后场得到，回传给了布冯                   1'第1分钟，夸德拉多禁区右侧回做，皮亚尼奇在门前20米处斜射被孔西利单手托出
3'鲁加尼后场长传球，直接被门将控制住了                   1'第1分钟，夸德拉多禁区右侧回做，皮亚尼奇在门前20米处斜射被孔西利单手托出
3'迪巴拉边路让球摆脱，球先出了界外                   1'第1分钟，夸德拉多禁区右侧回做，皮亚尼奇在门前20米处斜射被孔西利单手托出
16'尤文进球啦                   16'尤文第16分钟取得领先
16'曼朱基奇左路横敲弧顶，迪巴拉跟进直接抽射打进                   16'尤文第16分钟取得领先
17'师太后场起球，被挡出了边线                   16'尤文第16分钟取得领先
18'师太发边线球                   16'尤文第16分钟取得领先
19'夸德拉多长传禁区，被解围出来                   16'尤文第16分钟取得领先
19'尤文继续寻找机会                   16'尤文第16分钟取得领先
58'夸德拉多外围带球后直接打远射，偏了                   57'伊瓜因分球，夸德拉多禁区右侧传中，迪巴拉在数名球员围堵中，距门12米处左脚捅射钻进右下角，2比0，尤文2分钟后被追回一球，萨索洛右路斜长传越过利希施泰纳头顶，阿贾蓬禁区左侧面对出击的布冯横传，鲁加尼铲漏，波利塔诺后点推过球门线，1比2
59'萨索洛换人，邓肯替下马齐泰利                   57'伊瓜因分球，夸德拉多禁区右侧传中，迪巴拉在数名球员围堵中，距门12米处左脚捅射钻进右下角，2比0，尤文2分钟后被追回一球，萨索洛右路斜长传越过利希施泰纳头顶，阿贾蓬禁区左侧面对出击的布冯横传，鲁加尼铲漏，波利塔诺后点推过球门线，1比2
63'迪巴拉任意球直接破门，戴帽如此简单                   63'迪巴拉第63分钟完成帽子戏法，他与伊瓜因打出配合，在对方5人围困中被马尼亚内利绊倒，在门前20米处亲自主罚任意球入右上角，3比1，这是他本赛季6场正式比赛第10球
66'桑德罗下底传中！                   63'迪巴拉第63分钟完成帽子戏法，他与伊瓜因打出配合，在对方5人围困中被马尼亚内利绊倒，在门前20米处亲自主罚任意球入右上角，3比1，这是他本赛季6场正式比赛第10球
66' 球划过禁区到后点！                   63'迪巴拉第63分钟完成帽子戏法，他与伊瓜因打出配合，在对方5人围困中被马尼亚内利绊倒，在门前20米处亲自主罚任意球入右上角，3比1，这是他本赛季6场正式比赛第10球
