7'诺伊尔为拜仁慕尼黑赢得一个任意球.                   7'开场7分钟，德布劳内开出角球，奥利奇头球一蹭被诺伊尔击出
7'沃尔夫斯堡球员古斯塔沃拼抢犯规,对手获得控球权.                   7'开场7分钟，德布劳内开出角球，奥利奇头球一蹭被诺伊尔击出
22'射门!!!沃尔夫斯堡球员维埃里尼亚大禁区外左脚射门,被对方守门员横身扑出.给他传球的是德布劳内.                   19'第19分钟，罗本右路内切距门15米处左脚低射被格林没收
22'拜仁慕尼黑球员莱万多夫斯基手球犯规,对手获得球权.                   19'第19分钟，罗本右路内切距门15米处左脚低射被格林没收
47'进球啦！！！拜仁慕尼黑球员罗本大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是莱万多夫斯基. 拜仁慕尼黑 2-0 沃尔夫斯堡.                   46'1分钟后，穆勒禁区右侧低射造成格林脱手，但莱万没有抓住补射机会
48'维埃里尼亚为沃尔夫斯堡赢得一个任意球.                   46'1分钟后，穆勒禁区右侧低射造成格林脱手，但莱万没有抓住补射机会
48'拜仁慕尼黑球员格策拼抢犯规,对手获得控球权.                   46'1分钟后，穆勒禁区右侧低射造成格林脱手，但莱万没有抓住补射机会
37'进球啦！！！拜仁慕尼黑球员穆勒球门线跟前右脚射门,球从左下角飞进球门,球进了!助攻的是罗本. 拜仁慕尼黑 1-0 沃尔夫斯堡.                   37'拜仁第37分钟取得领先
40'罗德里格斯将球处理出底线,拜仁慕尼黑获得角球.                   37'拜仁第37分钟取得领先
52'进球啦！！！沃尔夫斯堡球员奥利奇大禁区右侧左脚射门,球从左上角飞进球门,球进了!助攻的是维埃里尼亚. 拜仁慕尼黑 2-1 沃尔夫斯堡.                   52'狼堡第52分钟追回一球，维埃里尼亚右侧掷入边线球，奥利奇前点转身禁区边缘左脚弧线球吊过诺伊尔指尖，击中横梁下沿弹进远角，1比2，这是他连续4个德甲客场进球
53'沃尔夫斯堡球员维埃里尼亚拼抢犯规,对手获得控球权.                   52'狼堡第52分钟追回一球，维埃里尼亚右侧掷入边线球，奥利奇前点转身禁区边缘左脚弧线球吊过诺伊尔指尖，击中横梁下沿弹进远角，1比2，这是他连续4个德甲客场进球
53'格策为拜仁慕尼黑赢得一个任意球.                   52'狼堡第52分钟追回一球，维埃里尼亚右侧掷入边线球，奥利奇前点转身禁区边缘左脚弧线球吊过诺伊尔指尖，击中横梁下沿弹进远角，1比2，这是他连续4个德甲客场进球
55'拜仁慕尼黑球员拉姆大禁区外左脚射门,被防守球员封堵.给他传球的是罗本.                   52'狼堡第52分钟追回一球，维埃里尼亚右侧掷入边线球，奥利奇前点转身禁区边缘左脚弧线球吊过诺伊尔指尖，击中横梁下沿弹进远角，1比2，这是他连续4个德甲客场进球
70'射门!!!拜仁慕尼黑球员阿拉巴大禁区外左脚射门,被对方守门员横身扑出.                   70'第70分钟，阿拉巴左侧距门28米处任意球被格林没收
70'德布劳内为沃尔夫斯堡在对方半场,赢得一个任意球.                   70'第70分钟，阿拉巴左侧距门28米处任意球被格林没收
70'拜仁慕尼黑球员Gianluca Gaudino拼抢犯规,对手获得控球权.                   70'第70分钟，阿拉巴左侧距门28米处任意球被格林没收
72'沃尔夫斯堡换人,Junior Malanda换下古斯塔沃                   70'第70分钟，阿拉巴左侧距门28米处任意球被格林没收
79'拜仁慕尼黑换人,罗德换下莱万多夫斯基                   79'第79分钟，阿诺尔德左路传中，马兰达在门前7米处半凌空推射被诺伊尔伸腿一挡击中横梁下沿弹回，接着近在咫尺补射空门竟然偏出左门柱
79'射门!!!沃尔夫斯堡球员Junior Malanda大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是阿诺尔德.                   79'第79分钟，阿诺尔德左路传中，马兰达在门前7米处半凌空推射被诺伊尔伸腿一挡击中横梁下沿弹回，接着近在咫尺补射空门竟然偏出左门柱
79'沃尔夫斯堡球员Junior Malanda球门线跟前尝试右脚射门,可惜皮球稍稍偏出了左球门.                   79'第79分钟，阿诺尔德左路传中，马兰达在门前7米处半凌空推射被诺伊尔伸腿一挡击中横梁下沿弹回，接着近在咫尺补射空门竟然偏出左门柱
80'沃尔夫斯堡球员卡利朱里大禁区中央尝试右脚射门,可惜皮球偏出球门.给他传球的是德布劳内.                   79'第79分钟，阿诺尔德左路传中，马兰达在门前7米处半凌空推射被诺伊尔伸腿一挡击中横梁下沿弹回，接着近在咫尺补射空门竟然偏出左门柱
84'拜仁慕尼黑球员罗德一脚直塞球给穆勒,但是边裁举旗显示后者已经越位.                   84'第84分钟，罗本左路回敲，罗德在门前20米处抽射被穆勒漏进右下角，但主裁判与助理商议后吹穆勒越位，进球被判无效，慢镜显示穆勒没有越位
86'沃尔夫斯堡球员卡利朱里大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是荣.                   84'第84分钟，罗本左路回敲，罗德在门前20米处抽射被穆勒漏进右下角，但主裁判与助理商议后吹穆勒越位，进球被判无效，慢镜显示穆勒没有越位
87'沃尔夫斯堡球员阿诺尔德拼抢犯规,对手获得控球权.                   84'第84分钟，罗本左路回敲，罗德在门前20米处抽射被穆勒漏进右下角，但主裁判与助理商议后吹穆勒越位，进球被判无效，慢镜显示穆勒没有越位
87'罗德为拜仁慕尼黑在对方半场,赢得一个任意球.                   84'第84分钟，罗本左路回敲，罗德在门前20米处抽射被穆勒漏进右下角，但主裁判与助理商议后吹穆勒越位，进球被判无效，慢镜显示穆勒没有越位
87'黄牌！沃尔夫斯堡球员阿诺尔德因为恶意犯规,被主裁判出示黄牌.                   84'第84分钟，罗本左路回敲，罗德在门前20米处抽射被穆勒漏进右下角，但主裁判与助理商议后吹穆勒越位，进球被判无效，慢镜显示穆勒没有越位
88'射门!!!拜仁慕尼黑球员沙奇里大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是巴德施图伯.                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
89'卡利朱里为沃尔夫斯堡赢得一个任意球.                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
89'拜仁慕尼黑球员拉姆拼抢犯规,对手获得控球权.                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
90'拜仁慕尼黑换人,Pierre-Emile Höjbjerg换下Gianluca Gaudino                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
90'拜仁慕尼黑球员罗本大禁区左侧左脚射门,命中门柱横梁.给他传球的是罗德.                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
90'+1'拜仁慕尼黑球员穆勒大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
90'+2'沃尔夫斯堡球员德布劳内拼抢犯规,对手获得控球权.                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
90'+2'Pierre-Emile Höjbjerg为拜仁慕尼黑赢得一个任意球.                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
90'+2'射门!!!拜仁慕尼黑球员贝尔纳特大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是沙奇里.                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
90'+2'格林将球处理出底线,拜仁慕尼黑获得角球.                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
90'+4'下半场结束,拜仁慕尼黑 2-1 沃尔夫斯堡                   88'第88分钟，沙奇里突入禁区左侧没传罗本，小角度射门被格林封出
47'进球啦！！！拜仁慕尼黑球员罗本大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是莱万多夫斯基. 拜仁慕尼黑 2-0 沃尔夫斯堡.                   46'补时第1分钟，穆勒禁区左侧距门7米处推射偏出近门柱
48'维埃里尼亚为沃尔夫斯堡赢得一个任意球.                   46'补时第1分钟，穆勒禁区左侧距门7米处推射偏出近门柱
48'拜仁慕尼黑球员格策拼抢犯规,对手获得控球权.                   46'补时第1分钟，穆勒禁区左侧距门7米处推射偏出近门柱
