2'卡利亚里球员巴雷拉拼抢犯规,对手获得控球权.                   2'开场仅2分钟，皮亚尼奇任意球被斯托拉里没收
2'迪巴拉为尤文图斯在对方半场,赢得一个任意球.                   2'开场仅2分钟，皮亚尼奇任意球被斯托拉里没收
2'射门!!!尤文图斯球员皮亚尼奇大禁区外右脚射门,被对方守门员横身扑出.                   2'开场仅2分钟，皮亚尼奇任意球被斯托拉里没收
3'斯托拉里将球处理出底线,尤文图斯获得角球.                   2'开场仅2分钟，皮亚尼奇任意球被斯托拉里没收
4'射门!!!尤文图斯球员伊瓜因大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是迪巴拉.                   2'开场仅2分钟，皮亚尼奇任意球被斯托拉里没收
10'射门!!!尤文图斯球员伊瓜因大禁区中央头球,被对方守门员横身扑出.给他传球的是阿尔维斯.                   10'斯托拉里前10分钟已有4次扑救
13'卡利亚里球员迪詹纳罗拼抢犯规,对手获得控球权.                   10'斯托拉里前10分钟已有4次扑救
13'伊瓜因为尤文图斯在对方半场,赢得一个任意球.                   10'斯托拉里前10分钟已有4次扑救
13'黄牌！卡利亚里球员迪詹纳罗因为恶意犯规,被主裁判出示黄牌.                   10'斯托拉里前10分钟已有4次扑救
33'尤文图斯球员伊瓜因大禁区外右脚射门,命中门柱左侧立柱.给他传球的是埃尔纳内斯.                   33'尤文第33分钟扩大优势，埃尔纳内斯传球，伊瓜因摆脱迪真纳罗，在门前18米处抽射击中左门柱
33'射门!!!尤文图斯球员皮亚尼奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是阿莱士-桑多罗.                   33'尤文第33分钟扩大优势，埃尔纳内斯传球，伊瓜因摆脱迪真纳罗，在门前18米处抽射击中左门柱
33'进球啦！！！尤文图斯球员伊瓜因大禁区中央左脚射门,球从中路飞进球门,球进了! 尤文图斯 2-0 卡利亚里.                   33'尤文第33分钟扩大优势，埃尔纳内斯传球，伊瓜因摆脱迪真纳罗，在门前18米处抽射击中左门柱
35'卡利亚里球员巴雷拉危险动作,对手获得控球权.                   33'尤文第33分钟扩大优势，埃尔纳内斯传球，伊瓜因摆脱迪真纳罗，在门前18米处抽射击中左门柱
35'皮亚尼奇为尤文图斯赢得一个任意球.                   33'尤文第33分钟扩大优势，埃尔纳内斯传球，伊瓜因摆脱迪真纳罗，在门前18米处抽射击中左门柱
39'射门!!!尤文图斯球员皮亚尼奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是迪巴拉.                   39'第39分钟，皮亚尼奇左侧角球回传，阿尔维斯在门前20米处低射钻进左下角，3比0
39'斯托拉里将球处理出底线,尤文图斯获得角球.                   39'第39分钟，皮亚尼奇左侧角球回传，阿尔维斯在门前20米处低射钻进左下角，3比0
39'进球啦！！！尤文图斯球员阿尔维斯大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是皮亚尼奇. 尤文图斯 3-0 卡利亚里.                   39'第39分钟，皮亚尼奇左侧角球回传，阿尔维斯在门前20米处低射钻进左下角，3比0
41'卡利亚里球员比坦特拼抢犯规,对手获得控球权.                   39'第39分钟，皮亚尼奇左侧角球回传，阿尔维斯在门前20米处低射钻进左下角，3比0
41'阿莱士-桑多罗为尤文图斯在左路,赢得一个任意球.                   39'第39分钟，皮亚尼奇左侧角球回传，阿尔维斯在门前20米处低射钻进左下角，3比0
41'黄牌！卡利亚里球员比坦特因为恶意犯规,被主裁判出示黄牌.                   39'第39分钟，皮亚尼奇左侧角球回传，阿尔维斯在门前20米处低射钻进左下角，3比0
42'乔-佩德罗为卡利亚里在右路,赢得一个任意球.                   39'第39分钟，皮亚尼奇左侧角球回传，阿尔维斯在门前20米处低射钻进左下角，3比0
42'尤文图斯球员阿莱士-桑多罗拼抢犯规,对手获得控球权.                   39'第39分钟，皮亚尼奇左侧角球回传，阿尔维斯在门前20米处低射钻进左下角，3比0
78'尤文图斯阿尔维斯受伤倒地,比赛暂停                   77'卡利亚里第77分钟才有射门，詹内蒂凌空打偏
79'暂停结束,球员们重新开始比赛.                   77'卡利亚里第77分钟才有射门，詹内蒂凌空打偏
83'射门!!!尤文图斯球员莱米纳大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是曼祖基奇.                   83'尤文第83分钟再添1分，曼朱基奇禁区中路头球摆渡，勒米纳左侧卸球距门7米处左脚铲射被斯托拉里扑出，但球打在回防的后卫切皮泰利身上弹入近角，4比0
83'卡利亚里球员Luca Ceppitelli自摆乌龙,尤文图斯 4-0 卡利亚里                   83'尤文第83分钟再添1分，曼朱基奇禁区中路头球摆渡，勒米纳左侧卸球距门7米处左脚铲射被斯托拉里扑出，但球打在回防的后卫切皮泰利身上弹入近角，4比0
85'尤文图斯球员阿莱士-桑多罗大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是埃尔纳内斯.                   83'尤文第83分钟再添1分，曼朱基奇禁区中路头球摆渡，勒米纳左侧卸球距门7米处左脚铲射被斯托拉里扑出，但球打在回防的后卫切皮泰利身上弹入近角，4比0
85'詹内蒂为卡利亚里在对方半场,赢得一个任意球.                   83'尤文第83分钟再添1分，曼朱基奇禁区中路头球摆渡，勒米纳左侧卸球距门7米处左脚铲射被斯托拉里扑出，但球打在回防的后卫切皮泰利身上弹入近角，4比0
85'尤文图斯球员埃尔纳内斯拼抢犯规,对手获得控球权.                   83'尤文第83分钟再添1分，曼朱基奇禁区中路头球摆渡，勒米纳左侧卸球距门7米处左脚铲射被斯托拉里扑出，但球打在回防的后卫切皮泰利身上弹入近角，4比0
