2'冯潇霆长传球给前场左路塔利斯卡！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
2'塔利斯卡直传球给禁区前沿，法图斯把球解围出边线！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
3'恒大边线发球给左路郑智，郑智挑传给中路！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
3'裁判吹了高拉特的越位！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
3'张思鹏大脚开球给中场，塔利斯卡把球断下来！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
3'塔利斯卡再给前场中路郑智！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
3'郑智低平球给禁区内，高拉特插上！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
4'皮球先被张思鹏拿到没收！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
4'张思鹏大脚开球给中场附近郜林！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
4'郜林再给身前的塔利斯卡！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
4'塔利斯卡直传球直接传出了左侧底线啊！球门球！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
5'蒋亮反击送给恒大一个中场右侧定位球                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
5'郜林开球给身后的保利尼奥！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
5'保利尼奥直传球给前场右侧！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
5'皮球被陈吉解围出去！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
7'于汉超得球陷入逼抢！                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
7'把球回给身后跟进的郑智！                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
7'郑智起球传中到禁区内！右肋！                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
7'这球传出了底线啊！球门球！                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
8'塔利斯卡把球给前场右侧邓涵文                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
8'邓涵文搓传半高球给到禁区内！前点！                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
8'塔利斯卡凌空扫射攻门！！                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
8'皮球被挡了一下！                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
9'禁区内左肋郜林！起身侧钩打门！！                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
9'GOOOOOOOOOOAL！！！球进了！                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
9'郜林倒钩球破门！广州恒大1-0贵州恒丰！                   7'第7分钟，塔利斯卡一脚打门被挡出，随后塔利斯卡得球分边，右路于汉超输送传中，塔利斯塔打门时将球踢呲了，球落到大禁区左侧，面对来球郜林一个精彩的倒挂金钩将球打入，恒大取得1-0领先，看台上郜林的女儿手舞足蹈十分兴奋地庆祝
15'郑智分球给左路插上的于汉超！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
15'于汉超回传身边的李学鹏！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
