9'巴勒莫球员内斯托罗夫斯基拼抢犯规,对手获得控球权.                   9'巴勒莫近9次意甲对阵尤文全负，仅打进1球，连续880分钟未能攻破斑马球门
9'赫迪拉为尤文图斯在右路,赢得一个任意球.                   9'巴勒莫近9次意甲对阵尤文全负，仅打进1球，连续880分钟未能攻破斑马球门
11'内斯托罗夫斯基为巴勒莫赢得一个任意球.                   9'巴勒莫近9次意甲对阵尤文全负，仅打进1球，连续880分钟未能攻破斑马球门
11'尤文图斯球员贝纳蒂亚拼抢犯规,对手获得控球权.                   9'巴勒莫近9次意甲对阵尤文全负，仅打进1球，连续880分钟未能攻破斑马球门
12'巴勒莫球员Sinisa Andjelkovic拼抢犯规,对手获得控球权.                   9'巴勒莫近9次意甲对阵尤文全负，仅打进1球，连续880分钟未能攻破斑马球门
12'迪巴拉为尤文图斯在对方半场,赢得一个任意球.                   9'巴勒莫近9次意甲对阵尤文全负，仅打进1球，连续880分钟未能攻破斑马球门
49'巴勒莫球员萨尔来拼抢犯规,对手获得控球权.                   47'尤文第2脚射门便带来进球，第13分钟，安杰尔科维奇背后放倒迪巴拉，尤文快开任意球挑传禁区，伊瓜因插上距门7米处推射被波萨维奇封出，马尔基西奥左脚补射入网，1比0
49'阿尔维斯为尤文图斯赢得一个任意球.                   47'尤文第2脚射门便带来进球，第13分钟，安杰尔科维奇背后放倒迪巴拉，尤文快开任意球挑传禁区，伊瓜因插上距门7米处推射被波萨维奇封出，马尔基西奥左脚补射入网，1比0
50'博萨维奇将球处理出底线,尤文图斯获得角球.                   47'尤文第2脚射门便带来进球，第13分钟，安杰尔科维奇背后放倒迪巴拉，尤文快开任意球挑传禁区，伊瓜因插上距门7米处推射被波萨维奇封出，马尔基西奥左脚补射入网，1比0
40'进球啦！！！尤文图斯球员迪巴拉左脚射门,球从右上角飞进球门,球进了! 尤文图斯 2-0 巴勒莫.                   40'尤文第40分钟扩大比分，斯图拉罗右肋断球遇恩里克阻挡倒地，迪巴拉在门前26米处左脚任意球挂近角，2比0
42'尤文图斯球员斯图若多大禁区右侧右脚射门,被防守球员封堵.给他传球的是阿尔维斯.                   40'尤文第40分钟扩大比分，斯图拉罗右肋断球遇恩里克阻挡倒地，迪巴拉在门前26米处左脚任意球挂近角，2比0
42'Haitam Aleesami将球处理出底线,尤文图斯获得角球.                   40'尤文第40分钟扩大比分，斯图拉罗右肋断球遇恩里克阻挡倒地，迪巴拉在门前26米处左脚任意球挂近角，2比0
