4'一个变向转身，范晓冬补防犯规！！                   4'第4分钟，拉维奇弧线球传中，桂宏后点停球后射门被吴亚轲挡出
4'华夏幸福获得前场右路的任意球机会！！                   4'第4分钟，拉维奇弧线球传中，桂宏后点停球后射门被吴亚轲挡出
4'拉维奇任意球斜传到禁区，桂宏插上                   4'第4分钟，拉维奇弧线球传中，桂宏后点停球后射门被吴亚轲挡出
4'准备不足，将球碰出了底线！！                   4'第4分钟，拉维奇弧线球传中，桂宏后点停球后射门被吴亚轲挡出
5'华夏幸福前场抢断，姆比亚左路强突，被放倒！！                   4'第4分钟，拉维奇弧线球传中，桂宏后点停球后射门被吴亚轲挡出
5'华夏幸福再次获得前场左路的任意球！！                   4'第4分钟，拉维奇弧线球传中，桂宏后点停球后射门被吴亚轲挡出
6'拉维奇任意球斜传禁区，没能形成威胁！！                   4'第4分钟，拉维奇弧线球传中，桂宏后点停球后射门被吴亚轲挡出
6'拉维奇右路拿球，传中到禁区！！                   4'第4分钟，拉维奇弧线球传中，桂宏后点停球后射门被吴亚轲挡出
6'尹鸿博抢点头球，撞翻了蒋哲，犯规！！                   4'第4分钟，拉维奇弧线球传中，桂宏后点停球后射门被吴亚轲挡出
10'河北华夏幸福进球，1-0！！！                   10'第10分钟，张呈栋停球后弧线球传中绕过孙婕的防守，拉维奇后点推射打入死角，河北华夏1-0领先
10'拉维奇的抢点推射！！                   10'第10分钟，张呈栋停球后弧线球传中绕过孙婕的防守，拉维奇后点推射打入死角，河北华夏1-0领先
11'张呈栋右路拿球，强突斜传到后点，拉维奇插上无人干扰，推射近角破门！！！                   10'第10分钟，张呈栋停球后弧线球传中绕过孙婕的防守，拉维奇后点推射打入死角，河北华夏1-0领先
12'姆比亚中场拿球，强突被胡兹蒂放倒在地！！                   10'第10分钟，张呈栋停球后弧线球传中绕过孙婕的防守，拉维奇后点推射打入死角，河北华夏1-0领先
22'何超前场拿球，分球左侧找张笑飞                   22'第22分钟，长春亚泰边路弧线球传中，胡斯蒂快速插上凌空垫射，球擦着远端立柱偏出
22'可惜张笑飞并未启动，球先出了边线！！                   22'第22分钟，长春亚泰边路弧线球传中，胡斯蒂快速插上凌空垫射，球擦着远端立柱偏出
24'张力前场拿球，分球右侧给胡兹蒂                   22'第22分钟，长春亚泰边路弧线球传中，胡斯蒂快速插上凌空垫射，球擦着远端立柱偏出
24'胡兹蒂的强突下底，变向想过任航                   22'第22分钟，长春亚泰边路弧线球传中，胡斯蒂快速插上凌空垫射，球擦着远端立柱偏出
24'任航回防拉人，拉倒了胡兹蒂，犯规！！                   22'第22分钟，长春亚泰边路弧线球传中，胡斯蒂快速插上凌空垫射，球擦着远端立柱偏出
25'拉维奇左路拿球，内切后横传禁区找尹鸿博                   22'第22分钟，长春亚泰边路弧线球传中，胡斯蒂快速插上凌空垫射，球擦着远端立柱偏出
42'胡兹蒂前场中路拿球，直塞打身后                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
