1'上半场比赛开始！！                   1'第1分钟皇马将对方完全压制在半场
1'白衣白裤的率先开球，从画面的左侧向右进攻！！                   1'第1分钟皇马将对方完全压制在半场
1'莫德里奇后场拿球，横传拉莫斯                   1'第1分钟皇马将对方完全压制在半场
1'拉莫斯再给左侧的马塞洛，马塞洛过顶长传到禁区                   1'第1分钟皇马将对方完全压制在半场
1'本泽马前插接应，被吹越位在先！                   1'第1分钟皇马将对方完全压制在半场
2'狼堡右路的直塞球，拉莫斯补防将球破坏出边线！！                   1'第1分钟皇马将对方完全压制在半场
3'皇马今天的首发，完全是进攻为主，看看效果！！                   1'第1分钟皇马将对方完全压制在半场
3'皇马前场进攻，贝尔禁区线上的起脚打门，打偏！！                   1'第1分钟皇马将对方完全压制在半场
3'C罗左路拿球，挑传中间找本泽马                   1'第1分钟皇马将对方完全压制在半场
4'本泽马胸部停球，停大了，被古斯塔沃大脚踢到前场找许尔勒                   1'第1分钟皇马将对方完全压制在半场
4'拉莫斯转身回防，面对许尔勒的逼抢                   1'第1分钟皇马将对方完全压制在半场
4'拉莫斯附身头球回顶给到纳瓦斯！！                   1'第1分钟皇马将对方完全压制在半场
15'德拉克斯勒停球没停好，直接出了边线！！                   15'皇马第15分钟取得领先
15'本泽马前场左路拿球，内切维埃里尼亚放铲拦截                   15'皇马第15分钟取得领先
16'维埃里尼亚拿球，再传，被马塞洛解围出边线！                   15'皇马第15分钟取得领先
16'皇马进球啦！！                   15'皇马第15分钟取得领先
16'C罗的抢点推射！！！                   15'皇马第15分钟取得领先
17'卡瓦哈尔中场抢断，反击斜传给阿诺尔德一挡再回到卡瓦哈尔脚下，卡瓦哈尔拿球一趟，斜传后点，C罗到位，推射打进！                   15'皇马第15分钟取得领先
17'皇马前场再攻，卡瓦哈尔的传中，C罗头球，被维埃里尼亚解围出底线！！                   15'皇马第15分钟取得领先
17'皇马左侧的角球机会！！                   15'皇马第15分钟取得领先
17'2-0！！！                   15'皇马第15分钟取得领先
18'C罗的头球，梅开二度！！                   15'皇马第15分钟取得领先
18'克罗斯角球开出到前点，C罗头球攻门，顶出反弹球，直接顶入远角！！                   15'皇马第15分钟取得领先
38'阿诺尔德左路拿球，转身前被卡瓦哈尔放倒在地！！                   38'狼堡第38分钟错过良机，许尔勒左路突破低传，无人盯防的恩里克在点球点没有直接射门，左脚一停右脚推射被马塞洛腿部一挡偏出右门柱
38'狼堡获得前场左侧的任意球机会！！                   38'狼堡第38分钟错过良机，许尔勒左路突破低传，无人盯防的恩里克在点球点没有直接射门，左脚一停右脚推射被马塞洛腿部一挡偏出右门柱
38'许尔勒斜传球到禁区，恩里克停球                   38'狼堡第38分钟错过良机，许尔勒左路突破低传，无人盯防的恩里克在点球点没有直接射门，左脚一停右脚推射被马塞洛腿部一挡偏出右门柱
38'调整一下再打，被上来的皇马球员挡出底线！！                   38'狼堡第38分钟错过良机，许尔勒左路突破低传，无人盯防的恩里克在点球点没有直接射门，左脚一停右脚推射被马塞洛腿部一挡偏出右门柱
39'恩里克这次停球有点多余，错失最佳射门良机！！                   38'狼堡第38分钟错过良机，许尔勒左路突破低传，无人盯防的恩里克在点球点没有直接射门，左脚一停右脚推射被马塞洛腿部一挡偏出右门柱
39'狼堡获得右侧角球机会，这次没能形成威胁！！                   38'狼堡第38分钟错过良机，许尔勒左路突破低传，无人盯防的恩里克在点球点没有直接射门，左脚一停右脚推射被马塞洛腿部一挡偏出右门柱
40'上半场40分钟，比分2-0！！                   38'狼堡第38分钟错过良机，许尔勒左路突破低传，无人盯防的恩里克在点球点没有直接射门，左脚一停右脚推射被马塞洛腿部一挡偏出右门柱
41'目前这个比分比较微妙啊，狼堡进一球，皇马就得再进两个！！                   38'狼堡第38分钟错过良机，许尔勒左路突破低传，无人盯防的恩里克在点球点没有直接射门，左脚一停右脚推射被马塞洛腿部一挡偏出右门柱
66'克罗斯主罚，拉莫斯头球，球进了，被贝纳利奥从线内捞了出来！！                   66'第66分钟出现争议，克罗斯左侧开出角球，拉莫斯在门前7米处头球击中右门柱内侧，球沿门线附近飞行，贝纳利奥在自己身后将球捞到，主裁判考绍伊判球没进
66'皇马队员准备庆祝，主裁判认为没进啊！！                   66'第66分钟出现争议，克罗斯左侧开出角球，拉莫斯在门前7米处头球击中右门柱内侧，球沿门线附近飞行，贝纳利奥在自己身后将球捞到，主裁判考绍伊判球没进
67'一次误判，这个整体明显越过了球门线啊！！                   66'第66分钟出现争议，克罗斯左侧开出角球，拉莫斯在门前7米处头球击中右门柱内侧，球沿门线附近飞行，贝纳利奥在自己身后将球捞到，主裁判考绍伊判球没进
67'狼堡前场进攻，维埃里尼亚禁区外的远射，打偏！！                   66'第66分钟出现争议，克罗斯左侧开出角球，拉莫斯在门前7米处头球击中右门柱内侧，球沿门线附近飞行，贝纳利奥在自己身后将球捞到，主裁判考绍伊判球没进
68'拉莫斯后场拿球，横传给到克罗斯                   66'第66分钟出现争议，克罗斯左侧开出角球，拉莫斯在门前7米处头球击中右门柱内侧，球沿门线附近飞行，贝纳利奥在自己身后将球捞到，主裁判考绍伊判球没进
68'克罗斯再给右侧的莫德里奇                   66'第66分钟出现争议，克罗斯左侧开出角球，拉莫斯在门前7米处头球击中右门柱内侧，球沿门线附近飞行，贝纳利奥在自己身后将球捞到，主裁判考绍伊判球没进
68'莫德里奇直塞找前插的卡瓦哈尔，失误啦                   66'第66分钟出现争议，克罗斯左侧开出角球，拉莫斯在门前7米处头球击中右门柱内侧，球沿门线附近飞行，贝纳利奥在自己身后将球捞到，主裁判考绍伊判球没进
69'狼堡的反击，布鲁斯中路拿球，拉莫斯上抢放铲破坏                   66'第66分钟出现争议，克罗斯左侧开出角球，拉莫斯在门前7米处头球击中右门柱内侧，球沿门线附近飞行，贝纳利奥在自己身后将球捞到，主裁判考绍伊判球没进
69'狼堡前场再攻，许尔勒左路下底，佩佩补防犯规！！                   66'第66分钟出现争议，克罗斯左侧开出角球，拉莫斯在门前7米处头球击中右门柱内侧，球沿门线附近飞行，贝纳利奥在自己身后将球捞到，主裁判考绍伊判球没进
