7'国际米兰球员科尔辛大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是奥斯瓦尔多.                   7'开场7分钟，奥斯瓦尔多右路突破两人禁区内回做
9'博纳佐利为国际米兰在对方半场,赢得一个任意球.                   7'开场7分钟，奥斯瓦尔多右路突破两人禁区内回做
9'卡拉巴赫球员萨迪戈夫拼抢犯规,对手获得控球权.                   7'开场7分钟，奥斯瓦尔多右路突破两人禁区内回做
10'国际米兰球员奥比手球犯规,对手获得球权.                   7'开场7分钟，奥斯瓦尔多右路突破两人禁区内回做
16'国际米兰球员德安布罗西奥手球犯规,对手获得球权.                   15'第15分钟
18'卡拉巴赫球员Namiq Alasgarov拼抢犯规,对手获得控球权.                   15'第15分钟
18'奥比为国际米兰在左路,赢得一个任意球.                   15'第15分钟
18'黄牌！卡拉巴赫球员Namiq Alasgarov因为恶意犯规,被主裁判出示黄牌.                   15'第15分钟
41'国际米兰球员奥斯瓦尔多一脚直塞球给姆巴耶,但是边裁举旗显示后者已经越位.                   40'第40分钟，博纳佐利转身低射被塞希奇得到
42'卡拉巴赫球员梅德韦杰夫拼抢犯规,对手获得控球权.                   40'第40分钟，博纳佐利转身低射被塞希奇得到
42'德安布罗西奥为国际米兰在左路,赢得一个任意球.                   40'第40分钟，博纳佐利转身低射被塞希奇得到
42'卡拉巴赫纳迪洛夫受伤倒地,比赛暂停                   40'第40分钟，博纳佐利转身低射被塞希奇得到
43'卡拉巴赫换人,优西福夫上,纳迪洛夫因伤下场.                   40'第40分钟，博纳佐利转身低射被塞希奇得到
48'国际米兰球员博纳佐利大禁区中央左脚射门,被防守球员封堵.给他传球的是奥斯瓦尔多.                   48'下半时开始3分钟，奥斯瓦尔多左路挑传禁区，博纳佐利在门前12米处倚人转身左脚扫射被挡出左门柱
48'Rashad F将球处理出底线,国际米兰获得角球.                   48'下半时开始3分钟，奥斯瓦尔多左路挑传禁区，博纳佐利在门前12米处倚人转身左脚扫射被挡出左门柱
49'卡拉巴赫球员优西福夫拼抢犯规,对手获得控球权.                   48'下半时开始3分钟，奥斯瓦尔多左路挑传禁区，博纳佐利在门前12米处倚人转身左脚扫射被挡出左门柱
49'奥斯瓦尔多为国际米兰在对方半场,赢得一个任意球.                   48'下半时开始3分钟，奥斯瓦尔多左路挑传禁区，博纳佐利在门前12米处倚人转身左脚扫射被挡出左门柱
50'国际米兰球员姆维拉大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   48'下半时开始3分钟，奥斯瓦尔多左路挑传禁区，博纳佐利在门前12米处倚人转身左脚扫射被挡出左门柱
48'国际米兰球员博纳佐利大禁区中央左脚射门,被防守球员封堵.给他传球的是奥斯瓦尔多.                   47'2分钟后，奥斯瓦尔多被卡拉耶夫脚下多余动作激怒，用胸脯顶撞对方，主裁判出面平息事态
48'Rashad F将球处理出底线,国际米兰获得角球.                   47'2分钟后，奥斯瓦尔多被卡拉耶夫脚下多余动作激怒，用胸脯顶撞对方，主裁判出面平息事态
49'卡拉巴赫球员优西福夫拼抢犯规,对手获得控球权.                   47'2分钟后，奥斯瓦尔多被卡拉耶夫脚下多余动作激怒，用胸脯顶撞对方，主裁判出面平息事态
49'奥斯瓦尔多为国际米兰在对方半场,赢得一个任意球.                   47'2分钟后，奥斯瓦尔多被卡拉耶夫脚下多余动作激怒，用胸脯顶撞对方，主裁判出面平息事态
50'国际米兰球员姆维拉大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   47'2分钟后，奥斯瓦尔多被卡拉耶夫脚下多余动作激怒，用胸脯顶撞对方，主裁判出面平息事态
85'射门!!!国际米兰球员博纳佐利大禁区外左脚射门,被对方守门员横身扑出.给他传球的是姆维拉.                   85'第85分钟，博纳佐利禁区弧顶左脚抽射又被塞希奇飞身单手托出底线
87'丘拉耶夫为卡拉巴赫赢得一个任意球.                   85'第85分钟，博纳佐利禁区弧顶左脚抽射又被塞希奇飞身单手托出底线
87'国际米兰球员奥比拼抢犯规,对手获得控球权.                   85'第85分钟，博纳佐利禁区弧顶左脚抽射又被塞希奇飞身单手托出底线
88'卡拉巴赫球员梅德韦杰夫拼抢犯规,对手获得控球权.                   85'第85分钟，博纳佐利禁区弧顶左脚抽射又被塞希奇飞身单手托出底线
88'奥比为国际米兰在左路,赢得一个任意球.                   85'第85分钟，博纳佐利禁区弧顶左脚抽射又被塞希奇飞身单手托出底线
88'国际米兰奥比受伤倒地,比赛暂停                   85'第85分钟，博纳佐利禁区弧顶左脚抽射又被塞希奇飞身单手托出底线
49'卡拉巴赫球员优西福夫拼抢犯规,对手获得控球权.                   49'补时第4分钟，比赛出现戏剧性一幕，阿戈利左路传中，唐科前点解围不远，理查德在门前11米处左脚推射碰唐科脚内侧折射入网，但就在卡拉巴赫庆祝进球时，主裁判却吹进球无效
49'奥斯瓦尔多为国际米兰在对方半场,赢得一个任意球.                   49'补时第4分钟，比赛出现戏剧性一幕，阿戈利左路传中，唐科前点解围不远，理查德在门前11米处左脚推射碰唐科脚内侧折射入网，但就在卡拉巴赫庆祝进球时，主裁判却吹进球无效
50'国际米兰球员姆维拉大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   49'补时第4分钟，比赛出现戏剧性一幕，阿戈利左路传中，唐科前点解围不远，理查德在门前11米处左脚推射碰唐科脚内侧折射入网，但就在卡拉巴赫庆祝进球时，主裁判却吹进球无效
52'I-多科尔将球处理出底线,卡拉巴赫获得角球.                   49'补时第4分钟，比赛出现戏剧性一幕，阿戈利左路传中，唐科前点解围不远，理查德在门前11米处左脚推射碰唐科脚内侧折射入网，但就在卡拉巴赫庆祝进球时，主裁判却吹进球无效
