4'再次角球发到禁区内，对方破坏出来                   4'第4分钟登巴巴左路带球推到中路，瓜林推射远角偏出
4'布鲁尼尼奥争顶，被柏佳骏放倒                   4'第4分钟登巴巴左路带球推到中路，瓜林推射远角偏出
5'.登巴巴左路突破横传，瓜林抢点劲射！稍稍偏了一点点！                   4'第4分钟登巴巴左路带球推到中路，瓜林推射远角偏出
6'上海申花队进球啦！！吕征，1-0                   4'第4分钟登巴巴左路带球推到中路，瓜林推射远角偏出
6'上海申花队左路突破横传禁区后点，吕征抢点打门球进！！！                   4'第4分钟登巴巴左路带球推到中路，瓜林推射远角偏出
6'吕征显得非常兴奋！                   4'第4分钟登巴巴左路带球推到中路，瓜林推射远角偏出
10'广州富力队长传球到前场右路，唐淼没能接好，球出边线                   10'但富力依然按部就班来打，第10分钟富力第一次有效射门就取得进球
10'界外球发出来，广州富力队断球反击                   10'但富力依然按部就班来打，第10分钟富力第一次有效射门就取得进球
11'广州富力队进球啦！！肖智！1-1                   10'但富力依然按部就班来打，第10分钟富力第一次有效射门就取得进球
11'姜至鹏左路接唐淼传球横传，对方挡出来，广州富力队再从右路横传门前，肖智抢点打门球进！                   10'但富力依然按部就班来打，第10分钟富力第一次有效射门就取得进球
12'上海申花队长传球，吕征抢球犯规                   10'但富力依然按部就班来打，第10分钟富力第一次有效射门就取得进球
13'上海申花队左路攻到前场，横传球被挡出来                   10'但富力依然按部就班来打，第10分钟富力第一次有效射门就取得进球
20'中场双方争顶，球到了上海申花队脚下                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
21'后场上海申花队得球，转移到左路进攻                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
21'前场广州富力队断球，交给布鲁尼尼奥！                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
21'布鲁尼尼奥突破，李建滨飞铲！动作太大啦！黄牌！                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
21'布鲁尼尼奥还算机灵！闪了一下，否则这腿就麻烦了！                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
22'任意球发到后点，过渡回来，莫雷诺把球顶出底线                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
22'安全为上！                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
22'送给广州富力队角球机会                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
23'角球发到禁区内，对方顶了一下，皮球滑门而过                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
23'上海申花队快速反击，到中场被断                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
23'莫雷诺断球长传前场中路，广州富力队再把球抢断下来                   20'第20分钟布鲁尼尼奥人球分过李建滨，后者直接铲到布鲁尼尼奥腿上，李吃到黄牌
30'广州富力队在前场抢球犯规                   30'第30分钟秦升中场上抢得手，瓜林带球直线往禁区中路冲击，斯文森在瓜林杀到弧顶附近铲球犯规吃到黄牌
