1'上半场比赛开始！                   1'双方第1分钟对抗激烈
1'上半场由西班牙人中圈开球                   1'双方第1分钟对抗激烈
1'西班牙人在后场倒脚                   1'双方第1分钟对抗激烈
1'佩德罗萨回传给门将洛佩斯                   1'双方第1分钟对抗激烈
1'交给了纳尔多                   1'双方第1分钟对抗激烈
1'长传过不了加西亚                   1'双方第1分钟对抗激烈
1'中场的争夺，加西亚对梅伦多犯规                   1'双方第1分钟对抗激烈
2'继续是西班牙人后场控球，纳尔多交给罗萨莱斯                   1'双方第1分钟对抗激烈
2'回传给纳尔多                   1'双方第1分钟对抗激烈
2'转移给了埃尔莫索，再斜长传转移给了梅伦多                   1'双方第1分钟对抗激烈
2'横传给了桑切斯，交给了罗卡                   1'双方第1分钟对抗激烈
2'转移左侧的武磊，回传雌埃尔莫索                   1'双方第1分钟对抗激烈
2'斜长传右侧的罗萨莱斯                   1'双方第1分钟对抗激烈
2'回给桑切斯                   1'双方第1分钟对抗激烈
3'再交给中路的罗卡                   1'双方第1分钟对抗激烈
3'给左侧的达德尔                   1'双方第1分钟对抗激烈
3'不断的回传，交给了纳尔多                   1'双方第1分钟对抗激烈
3'回传给洛佩斯，长传到中场，伊格莱西亚斯接应回一下，球被断了                   1'双方第1分钟对抗激烈
3'但桑切斯马上反断了                   1'双方第1分钟对抗激烈
3'达德尔的斜塞中路，拉瓜迪亚抢前大脚解围                   1'双方第1分钟对抗激烈
4'武磊争高球时撞倒了希莫                   1'双方第1分钟对抗激烈
4'武磊被吹了犯规                   1'双方第1分钟对抗激烈
4'比赛继续                   1'双方第1分钟对抗激烈
4'帕切科长传前场左侧                   1'双方第1分钟对抗激烈
4'约翰尼直传被断了                   1'双方第1分钟对抗激烈
4'伊格莱西亚斯右侧拿球内毁传中被拉瓜迪亚断下                   1'双方第1分钟对抗激烈
15'打门被对方的希莫伸脚挡出底线                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
15'西班牙人右侧的角球机会                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
15'达德尔过来主罚                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
16'达德尔发到门前被拉瓜迪亚顶出                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
16'门前混战，伊格莱西亚斯碾压，近距离打进                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
16'不过越位在先                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
16'帕切科发门球                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
16'被罗萨莱斯解围                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
17'桑切斯的长传被杜阿尔特顶一下                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
17'约翰尼得球横传                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
17'罗萨莱斯放倒了对方的杜阿尔特                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
17'杜阿尔特左路放直传，球直接传出了底线                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
17'镜头给到了武磊                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
17'暂时没有太多的触球机会                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
18'桑切斯带球交给了梅伦多，分右侧拉边的伊格莱西亚斯                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
18'横传失误了                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
18'阿拉维斯门将的帕切科禁区内将球没收                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
18'长传左侧                   15'第15分钟，埃尔莫索角球混战中头球摆渡，越位位置的博尔哈近距离破门被判无效
47'洛佩斯回断                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
47'约翰尼左侧得球传右侧，没有传好                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
47'球从人丛中穿过                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
47'帕切科后场长传上来                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
47'被顶一下                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
