3'郑涛左路带球到前场，回传球后再长传禁区，乌索把球解围出来                   3'开场仅3分钟，山东鲁能差点形成破门
3'后场郑涛得球，左路直传给弋腾                   3'开场仅3分钟，山东鲁能差点形成破门
4'蒙蒂略直传球到禁区内，野牛快速跟上一脚劲射，被张鹭把球扑出！！                   3'开场仅3分钟，山东鲁能差点形成破门
4'鲁能泰山队得到角球机会，球发到禁区内，张鹭把球打出                   3'开场仅3分钟，山东鲁能差点形成破门
5'后场辽宁宏运队得球分到左路，詹姆斯头球顶了一下，球出边线                   3'开场仅3分钟，山东鲁能差点形成破门
6'后场辽宁宏运队得球，右路进攻到中场，横传左路给了詹姆斯                   3'开场仅3分钟，山东鲁能差点形成破门
6'詹姆斯回传球，辽宁宏运队横传右路，球出边线                   3'开场仅3分钟，山东鲁能差点形成破门
9'张文钊突破到禁区内，到底线啦，在对方抗住了他，张文钊出底线                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
9'辽宁宏运队左路直传球，詹姆斯跟进，对方把球回传给了王大雷                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
10'辽宁宏运队挑传球，争不越位，横传球交给耶夫蒂奇                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
10'辽宁宏运队左路斜传禁区，对方把球顶出来，刘彬彬回传                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
10'中场野牛争顶，侵犯了米切尔                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
10'詹姆斯左路突破没能传好，鲁能泰山队得球右路反击                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
10'詹姆斯左路带球进攻，金敬道把球抢断下来                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
11'张文钊直传球，蒙蒂略插到禁区内回扣时被挡在了身后                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
11'lzfang20102010：这样的场地也好意思拿来作主场！？[回复]场地不是特别好，但也没办法！对比赛影响不是特别大                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
12'蒙蒂略直传球被挡出来，金敬道把球分到右路                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
12'张文钊右路突破到大禁区线，被踢倒，但主裁判并没有吹                   9'第9分钟，张文钊边路带球一路杀到禁区底线附近，只可惜传中时被后卫破坏
19'阿洛伊西奥带球到禁区内，直接一脚打门，没有打上力量，被张鹭没收！                   19'第19分钟，辽宁宏运后场失误，山东鲁能打出快速反击，阿洛伊西奥带球突入禁区后扣过防守队员，突然弧线球低射，但力量不大被门将张鹭没收
19'由于草皮不怎么好，阿洛伊西奥的打门受到一点影响                   19'第19分钟，辽宁宏运后场失误，山东鲁能打出快速反击，阿洛伊西奥带球突入禁区后扣过防守队员，突然弧线球低射，但力量不大被门将张鹭没收
20'乌索挑传身后球，阿洛伊西奥快速插上，张鹭出击抢先把球没收！                   19'第19分钟，辽宁宏运后场失误，山东鲁能打出快速反击，阿洛伊西奥带球突入禁区后扣过防守队员，突然弧线球低射，但力量不大被门将张鹭没收
21'忠橙521鲁能：鲁能加油！！！[回复]加油，双方加油！！打出高水平！                   19'第19分钟，辽宁宏运后场失误，山东鲁能打出快速反击，阿洛伊西奥带球突入禁区后扣过防守队员，突然弧线球低射，但力量不大被门将张鹭没收
22'阿洛伊西奥把球传出去啦，吴高俊踩到了对方脚上，吃到黄牌                   19'第19分钟，辽宁宏运后场失误，山东鲁能打出快速反击，阿洛伊西奥带球突入禁区后扣过防守队员，突然弧线球低射，但力量不大被门将张鹭没收
23'金敬道突破横传，阿洛伊西奥直传球，金敬道快速插上打门，被张鹭扑了一下出底线！！！                   23'第23分钟，山东鲁能打出精彩配合，金敬道分球中路，阿洛伊西奥脚后跟塞球，金敬道后插上形成单刀，但是他的弧线球射门被张鹭神勇扑出
23'这次配合太漂亮啦，阿洛伊西奥的脚后跟传球也漂亮！                   23'第23分钟，山东鲁能打出精彩配合，金敬道分球中路，阿洛伊西奥脚后跟塞球，金敬道后插上形成单刀，但是他的弧线球射门被张鹭神勇扑出
23'角球发到禁区内后点，郑铮手球犯规                   23'第23分钟，山东鲁能打出精彩配合，金敬道分球中路，阿洛伊西奥脚后跟塞球，金敬道后插上形成单刀，但是他的弧线球射门被张鹭神勇扑出
24'辽宁宏运队快速反击，对方犯规，中后场任意球发出来，辽宁宏运队走右路进攻                   23'第23分钟，山东鲁能打出精彩配合，金敬道分球中路，阿洛伊西奥脚后跟塞球，金敬道后插上形成单刀，但是他的弧线球射门被张鹭神勇扑出
24'吴高俊右路长传球，郑铮破坏                   23'第23分钟，山东鲁能打出精彩配合，金敬道分球中路，阿洛伊西奥脚后跟塞球，金敬道后插上形成单刀，但是他的弧线球射门被张鹭神勇扑出
25'鲁能泰山队后场大脚长传，直接传出边线                   23'第23分钟，山东鲁能打出精彩配合，金敬道分球中路，阿洛伊西奥脚后跟塞球，金敬道后插上形成单刀，但是他的弧线球射门被张鹭神勇扑出
26'詹姆斯突破到禁区内横传球，奥格布打门被破坏                   23'第23分钟，山东鲁能打出精彩配合，金敬道分球中路，阿洛伊西奥脚后跟塞球，金敬道后插上形成单刀，但是他的弧线球射门被张鹭神勇扑出
26'辽宁宏运队在前场断球，右路横传，詹姆斯直传球，奥格布一脚推射被王大雷挡住！                   23'第23分钟，山东鲁能打出精彩配合，金敬道分球中路，阿洛伊西奥脚后跟塞球，金敬道后插上形成单刀，但是他的弧线球射门被张鹭神勇扑出
26'金敬道把球转移到左路，交给蒙蒂略                   23'第23分钟，山东鲁能打出精彩配合，金敬道分球中路，阿洛伊西奥脚后跟塞球，金敬道后插上形成单刀，但是他的弧线球射门被张鹭神勇扑出
28'战术任意球发出来，郑铮一脚劲射，皮球打在广告牌上！                   28'第28分钟，山东鲁能战术任意球，蒙蒂略做球，郑铮稍带两步后大力远射，球打偏了
28'蒙蒂略直传球到林区内，对方两人卡住了位置，张鹭没收                   28'第28分钟，山东鲁能战术任意球，蒙蒂略做球，郑铮稍带两步后大力远射，球打偏了
30'后场鲁能泰山队得球，大脚长传前场左路，球出边线                   28'第28分钟，山东鲁能战术任意球，蒙蒂略做球，郑铮稍带两步后大力远射，球打偏了
30'界外球发出来，吴高俊背身拿球，大脚传球出边线                   28'第28分钟，山东鲁能战术任意球，蒙蒂略做球，郑铮稍带两步后大力远射，球打偏了
30'界外球发出来，阿洛伊西奥横传，乌索把球分到右路                   28'第28分钟，山东鲁能战术任意球，蒙蒂略做球，郑铮稍带两步后大力远射，球打偏了
31'金敬道右路挑传禁区，阿洛伊西奥被压倒，主裁判并没有吹                   28'第28分钟，山东鲁能战术任意球，蒙蒂略做球，郑铮稍带两步后大力远射，球打偏了
31'弋腾确实有压人犯规，阿洛伊西奥受伤倒在禁区内                   28'第28分钟，山东鲁能战术任意球，蒙蒂略做球，郑铮稍带两步后大力远射，球打偏了
39'角球开到前点，对方头球解围！                   39'第39分钟，蒙蒂略中路分球，刘彬彬杀入禁区底线附近横扫门前，辽宁宏运后卫抢在阿洛伊西奥之前将球踢出底线
39'郑铮左路下底横传，对方解围出来，辽宁宏运队打反击                   39'第39分钟，蒙蒂略中路分球，刘彬彬杀入禁区底线附近横扫门前，辽宁宏运后卫抢在阿洛伊西奥之前将球踢出底线
39'辽宁宏运队长传球，詹姆斯快速插上，一旦过去就是单刀，乌索回防把球解围                   39'第39分钟，蒙蒂略中路分球，刘彬彬杀入禁区底线附近横扫门前，辽宁宏运后卫抢在阿洛伊西奥之前将球踢出底线
40'郑铮左路斜传禁区，张鹭把球打出来，阿洛伊西奥插上倒在地上，被张鹭踩了一下！                   39'第39分钟，蒙蒂略中路分球，刘彬彬杀入禁区底线附近横扫门前，辽宁宏运后卫抢在阿洛伊西奥之前将球踢出底线
40'今天阿洛伊西奥很受伤！                   39'第39分钟，蒙蒂略中路分球，刘彬彬杀入禁区底线附近横扫门前，辽宁宏运后卫抢在阿洛伊西奥之前将球踢出底线
41'用户3893607981：这场地跟菜地似的[回复]，嗯，但不象是刚收了白菜！                   39'第39分钟，蒙蒂略中路分球，刘彬彬杀入禁区底线附近横扫门前，辽宁宏运后卫抢在阿洛伊西奥之前将球踢出底线
41'蒙蒂略中路突破分左路，阿洛伊西奥回传，蒙蒂略抢点打门稍偏！！                   39'第39分钟，蒙蒂略中路分球，刘彬彬杀入禁区底线附近横扫门前，辽宁宏运后卫抢在阿洛伊西奥之前将球踢出底线
42'韩鹏和蒿俊闵坐在场边！今天有可能替补上场！                   39'第39分钟，蒙蒂略中路分球，刘彬彬杀入禁区底线附近横扫门前，辽宁宏运后卫抢在阿洛伊西奥之前将球踢出底线
45'辽宁宏运队右路横传球，鲁能泰山队得球反击                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
45'蒙蒂略直传球，交给阿洛伊西奥，阿洛伊西奥回传球，刘彬彬再把球分到右路                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
45'上半场要补时 1 分钟                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
45'郑铮右路拿球，杨超声把球破坏出边线                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
45'郑铮左路突破横传，球到另一侧                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
45'鲁能泰山队再从右路横传球，对方破坏出来                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
46'王彤右路横传禁区，乌索到位啦，头球顶门高出！                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
46'上半场比赛结束，双方都没能破门，战成0-0                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
46'下半场比赛开始                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
46'辽宁宏运队把球传到左路，王彤回防把球让出边线                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
46'界外球发出来，阿洛伊西奥断球，詹姆斯抢球出界                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
47'戴琳中场抢球犯规，吃到了黄牌                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
47'主裁判给戴琳出示了黄牌                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
47'耶夫蒂奇左路斜传禁区，有队员越位啦                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
47'辽宁宏运队右路进攻，被金敬道卡住了路线                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
48'鲁能泰山队左路长传进攻，对方把球破坏出边线                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
48'郑铮发界外球，对方头球顶到中场，金敬道抢断回传                   45'第45分钟，乌索禁区外尝试远射，球被防守抵押挡出
47'戴琳中场抢球犯规，吃到了黄牌                   47'下半场易边再战，第47分钟，戴琳后场追防中拉人犯规，被主裁判黄牌警告
47'主裁判给戴琳出示了黄牌                   47'下半场易边再战，第47分钟，戴琳后场追防中拉人犯规，被主裁判黄牌警告
47'耶夫蒂奇左路斜传禁区，有队员越位啦                   47'下半场易边再战，第47分钟，戴琳后场追防中拉人犯规，被主裁判黄牌警告
47'辽宁宏运队右路进攻，被金敬道卡住了路线                   47'下半场易边再战，第47分钟，戴琳后场追防中拉人犯规，被主裁判黄牌警告
48'鲁能泰山队左路长传进攻，对方把球破坏出边线                   47'下半场易边再战，第47分钟，戴琳后场追防中拉人犯规，被主裁判黄牌警告
48'郑铮发界外球，对方头球顶到中场，金敬道抢断回传                   47'下半场易边再战，第47分钟，戴琳后场追防中拉人犯规，被主裁判黄牌警告
49'〔互动话题〕双方各有机会，只是还没有破门。请大家猜一下最终的比赛结果：A、宏远胜 B、鲁能胜 C、双方战平！[qiangda]                   47'下半场易边再战，第47分钟，戴琳后场追防中拉人犯规，被主裁判黄牌警告
50'耶夫蒂奇左路角球附近控球，强突横传门前，王大雷把球摘下一                   47'下半场易边再战，第47分钟，戴琳后场追防中拉人犯规，被主裁判黄牌警告
50'王大雷把球摘下来                   47'下半场易边再战，第47分钟，戴琳后场追防中拉人犯规，被主裁判黄牌警告
50'鲁能泰山队在前场断球，阿洛伊西奥越位回接，助理裁判举旗啦！                   47'下半场易边再战，第47分钟，戴琳后场追防中拉人犯规，被主裁判黄牌警告
62'角球发到禁区内，主裁判哨响！！发生什么啦？                   62'第62分钟，山东鲁能发角球时制造冲突，争抢位置时，韩鹏肘击米切尔逃过一劫
62'米切尔受伤倒在地上！有肘击吗？                   62'第62分钟，山东鲁能发角球时制造冲突，争抢位置时，韩鹏肘击米切尔逃过一劫
62'角球发到禁区内，韩鹏摆脱时肘向后打啦！打在了米切尔的嘴上！                   62'第62分钟，山东鲁能发角球时制造冲突，争抢位置时，韩鹏肘击米切尔逃过一劫
63'要啥有啥2738571794：王永珀是咋回事呀？得给他机会，库卡先生[回复]感觉最近一段时间王永珀没了动静！其实王永珀有能力啊！                   62'第62分钟，山东鲁能发角球时制造冲突，争抢位置时，韩鹏肘击米切尔逃过一劫
64'鲁能泰山队在前场逼抢，对方回传门将，张鹭大脚开球到前场                   62'第62分钟，山东鲁能发角球时制造冲突，争抢位置时，韩鹏肘击米切尔逃过一劫
65'阿洛伊西奥在大禁区线得球回传，蒙蒂略迎球打门，高出！                   62'第62分钟，山东鲁能发角球时制造冲突，争抢位置时，韩鹏肘击米切尔逃过一劫
65'鹏宝1988：辽足加油啊，一定要挺住，保级之路要全力以赴！[回复]必须加油！保级球队，一分和三分都成，只要得分就成！！                   62'第62分钟，山东鲁能发角球时制造冲突，争抢位置时，韩鹏肘击米切尔逃过一劫
46'王彤右路横传禁区，乌索到位啦，头球顶门高出！                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
46'上半场比赛结束，双方都没能破门，战成0-0                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
46'下半场比赛开始                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
46'辽宁宏运队把球传到左路，王彤回防把球让出边线                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
46'界外球发出来，阿洛伊西奥断球，詹姆斯抢球出界                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
47'戴琳中场抢球犯规，吃到了黄牌                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
47'主裁判给戴琳出示了黄牌                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
