11'鲁能泰山队左路传中！！后点的塔尔德利接球推射破门！！很轻松！                   11'第11分钟，郑铮边路传中，塔尔德利后点推射远角破门
11'重庆斯威队攻到前场，斜传禁区！王大雷没收                   11'第11分钟，郑铮边路传中，塔尔德利后点推射远角破门
11'塔尔德利中场右路接！回传一脚                   11'第11分钟，郑铮边路传中，塔尔德利后点推射远角破门
12'郑铮在前场抢球出界                   11'第11分钟，郑铮边路传中，塔尔德利后点推射远角破门
12'界外球发出来！双方争抢！鲁能泰山队把球断下来                   11'第11分钟，郑铮边路传中，塔尔德利后点推射远角破门
12'塔尔德利中场接球！他起到了穿针引线的作用！                   11'第11分钟，郑铮边路传中，塔尔德利后点推射远角破门
13'塔尔德利挑传球到前场！刘洋争顶犯规！！                   11'第11分钟，郑铮边路传中，塔尔德利后点推射远角破门
14'此前为塔尔德利传球的是郑铮！传得非常到位！                   11'第11分钟，郑铮边路传中，塔尔德利后点推射远角破门
14'鲁能泰山队右路直传球！随给杰出击！没跑过金敬道！                   11'第11分钟，郑铮边路传中，塔尔德利后点推射远角破门
14'金敬道横传球！被挡出来                   11'第11分钟，郑铮边路传中，塔尔德利后点推射远角破门
65'鲁能泰山队进球啦！！佩莱！！2-0                   65'第65分钟，刘彬彬边路传中，佩莱禁区内推射远角得手
65'刘彬彬左路强突过人！下底横传禁区！佩莱抢点打门球进！！！                   65'第65分钟，刘彬彬边路传中，佩莱禁区内推射远角得手
66'刘彬彬利用速度！左路下底传中还是有相当威胁！                   65'第65分钟，刘彬彬边路传中，佩莱禁区内推射远角得手
66'佩莱进球后！第一个镜头是给了他的夫人！                   65'第65分钟，刘彬彬边路传中，佩莱禁区内推射远角得手
68'重庆斯威队换人：冯劲上场，换下丁捷！                   65'第65分钟，刘彬彬边路传中，佩莱禁区内推射远角得手
68'丁捷今天状态一般！                   65'第65分钟，刘彬彬边路传中，佩莱禁区内推射远角得手
68'在猛攻后，重庆斯威队也显得办法不多！                   65'第65分钟，刘彬彬边路传中，佩莱禁区内推射远角得手
68'彭欣力中场得球，分到左路                   65'第65分钟，刘彬彬边路传中，佩莱禁区内推射远角得手
56'塔尔德利中场左路接球！被侵犯！不过裁判没有吹！                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
56'判给了重庆斯威队界外球                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
56'界外球发出来！姚均晟得球左路直传，找佩莱！刘宇将球破坏出边线                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
56'界外球发出来，鲁能泰山队将球转移到右路                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
57'右路鲁能泰山队斜传禁区！金敬道无人盯防的情况下没能停好球！                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
57'金敬道在前场抢球犯规！                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
57'隋维杰大脚开球到前场，戴琳把球顶回来！                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
57'中场鲁能泰山队抢球犯规                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
58'中场罗皓得球长传前场右路，球出边线                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
58'界外球发出来，塔尔德利带球进攻，交给张驰！                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
59'张驰右路接球带球到禁区线，大力打门被挡出来                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
59'重庆斯威队左路横传球，吉尔将球破坏                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
59'鲁能泰山队长传球！塔尔德利越位！                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
59'塔尔德利塔尔德利没有过中线啊！对方后卫已经过中线！！                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
59'误判！                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
59'过了半场才有越位啊！                   56'开场之后，主场作战的山东鲁能迅速占据了场上主动，经历了多次传倒球失利以后，第11分钟，山东鲁能抓住机会
