1'辽宁从画面右侧向左侧进攻，贵州人和从左侧向右侧进攻                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
1'辽宁中圈拿球，被断下                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
1'贵州队埃里克森直塞桑托斯被断                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
2'张成林后场起长传，杨善平头球解围                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
3'埃里克森右路得球，搓起来，斜传禁区，被解围出来                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
3'埃里克森外围来一脚远射，没有形成威胁                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
4'辽宁队后场拿球，控制一下节奏                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
4'米切尔起长传球，被刘天祺把球踢出边线                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
4'秦升左路界外球扔给詹姆斯                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
4'辽宁队进球了                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
4'辽宁队后场拿球，控制一下节奏                   4'辽宁队第4分钟即打破僵局――秦升在左路精确制导，皮球绕过前点打到中路，邱卡包抄到位，一个强劲的头球攻门将球砸入网窝，张烈几乎没有反应，1-0
4'米切尔起长传球，被刘天祺把球踢出边线                   4'辽宁队第4分钟即打破僵局――秦升在左路精确制导，皮球绕过前点打到中路，邱卡包抄到位，一个强劲的头球攻门将球砸入网窝，张烈几乎没有反应，1-0
4'秦升左路界外球扔给詹姆斯                   4'辽宁队第4分钟即打破僵局――秦升在左路精确制导，皮球绕过前点打到中路，邱卡包抄到位，一个强劲的头球攻门将球砸入网窝，张烈几乎没有反应，1-0
4'辽宁队进球了                   4'辽宁队第4分钟即打破僵局――秦升在左路精确制导，皮球绕过前点打到中路，邱卡包抄到位，一个强劲的头球攻门将球砸入网窝，张烈几乎没有反应，1-0
5'梦幻般的开局啊，来自邱卡的进球                   4'辽宁队第4分钟即打破僵局――秦升在左路精确制导，皮球绕过前点打到中路，邱卡包抄到位，一个强劲的头球攻门将球砸入网窝，张烈几乎没有反应，1-0
6'左侧詹姆斯回给秦升，秦升左路精确制导，绕过前点，到中路邱卡包抄到位，一个强劲的头球，砸入网窝，张烈几乎没有反应                   4'辽宁队第4分钟即打破僵局――秦升在左路精确制导，皮球绕过前点打到中路，邱卡包抄到位，一个强劲的头球攻门将球砸入网窝，张烈几乎没有反应，1-0
6'这个球距离太近，速度太快，顶的非常充分啊，没人能够守住这个球，还是后卫线的责任                   4'辽宁队第4分钟即打破僵局――秦升在左路精确制导，皮球绕过前点打到中路，邱卡包抄到位，一个强劲的头球攻门将球砸入网窝，张烈几乎没有反应，1-0
7'没有一名外援坐镇的贵州防线有点不能令人放心                   4'辽宁队第4分钟即打破僵局――秦升在左路精确制导，皮球绕过前点打到中路，邱卡包抄到位，一个强劲的头球攻门将球砸入网窝，张烈几乎没有反应，1-0
7'贵州队左侧进攻，直塞禁区内，被辽宁一个关门                   4'辽宁队第4分钟即打破僵局――秦升在左路精确制导，皮球绕过前点打到中路，邱卡包抄到位，一个强劲的头球攻门将球砸入网窝，张烈几乎没有反应，1-0
