29'进球啦！！！埃尔切球员德尔莫拉尔大禁区中央头球,球从左下角飞进球门,球进了!助攻的是西斯马. 皇家贝蒂斯 0-1 埃尔切.                   29'第29分钟，西斯马左路传中，德尔-莫拉尔10码处头球冲顶破门
31'达米安-苏亚雷斯为埃尔切赢得一个任意球.                   29'第29分钟，西斯马左路传中，德尔-莫拉尔10码处头球冲顶破门
31'皇家贝蒂斯球员胡安-卡洛斯拼抢犯规,对手获得控球权.                   29'第29分钟，西斯马左路传中，德尔-莫拉尔10码处头球冲顶破门
32'保拉奥将球处理出底线,埃尔切获得角球.                   29'第29分钟，西斯马左路传中，德尔-莫拉尔10码处头球冲顶破门
41'进球啦！！！皇家贝蒂斯球员莫利纳大禁区中央头球,球从右下角飞进球门,球进了!助攻的是萨尔瓦-塞维利亚. 皇家贝蒂斯 1-2 埃尔切.                   41'贝蒂斯第41分钟扳回一城，塞维利亚左路任意球传中，反越位成功的莫里纳小禁区边缘头球破门
42'科罗为埃尔切赢得一个任意球.                   41'贝蒂斯第41分钟扳回一城，塞维利亚左路任意球传中，反越位成功的莫里纳小禁区边缘头球破门
42'皇家贝蒂斯球员萨尔瓦-塞维利亚拼抢犯规,对手获得控球权.                   41'贝蒂斯第41分钟扳回一城，塞维利亚左路任意球传中，反越位成功的莫里纳小禁区边缘头球破门
42'黄牌！皇家贝蒂斯球员萨尔瓦-塞维利亚因为恶意犯规,被主裁判出示黄牌.                   41'贝蒂斯第41分钟扳回一城，塞维利亚左路任意球传中，反越位成功的莫里纳小禁区边缘头球破门
44'哈维-马克斯为埃尔切在对方半场,赢得一个任意球.                   41'贝蒂斯第41分钟扳回一城，塞维利亚左路任意球传中，反越位成功的莫里纳小禁区边缘头球破门
44'皇家贝蒂斯球员马蒂莉亚拼抢犯规,对手获得控球权.                   41'贝蒂斯第41分钟扳回一城，塞维利亚左路任意球传中，反越位成功的莫里纳小禁区边缘头球破门
44'埃尔切球员R-佩雷斯大禁区外右脚射门,被防守球员封堵.给他传球的是哈维-马克斯.                   41'贝蒂斯第41分钟扳回一城，塞维利亚左路任意球传中，反越位成功的莫里纳小禁区边缘头球破门
44'埃尔切球员哈维-马克斯一脚直塞球给科罗,但是边裁举旗显示后者已经越位.                   41'贝蒂斯第41分钟扳回一城，塞维利亚左路任意球传中，反越位成功的莫里纳小禁区边缘头球破门
