1'比赛开始了，巴萨开球                   1'第1分钟，马拉加回收后场防守
1'巴萨从画面左侧向右侧进攻，马拉加反之                   1'第1分钟，马拉加回收后场防守
1'帕科回给小马哥，在给皮克，右侧给到图兰                   1'第1分钟，马拉加回收后场防守
1'插上过来，给拉菲尼亚，在往中路走，被解围                   1'第1分钟，马拉加回收后场防守
1'理查把球解围出边线                   1'第1分钟，马拉加回收后场防守
2'皮克直传到图兰，右侧突破                   1'第1分钟，马拉加回收后场防守
2'底线附近传中过来，前点被头球解围                   1'第1分钟，马拉加回收后场防守
2'球在来到图兰脚下，二次传中过来，争顶出去                   1'第1分钟，马拉加回收后场防守
2'禁区外左侧内少得球，罗萨莱斯补防踢出界外                   1'第1分钟，马拉加回收后场防守
3'小马哥组织，右侧在给罗贝托，拉菲尼亚接球，在给小马哥                   1'第1分钟，马拉加回收后场防守
3'小马哥中路一个搓传，吊向禁区内                   1'第1分钟，马拉加回收后场防守
3'帕科插上单刀破门，但越位在先                   1'第1分钟，马拉加回收后场防守
3'帕科来到巴萨至今还没有进球，估计今天应该差不多了吧                   1'第1分钟，马拉加回收后场防守
3'门将大脚开出                   1'第1分钟，马拉加回收后场防守
4'拉菲尼亚右侧控制下来                   1'第1分钟，马拉加回收后场防守
4'推进到前场，遭遇包夹，在给布斯克茨                   1'第1分钟，马拉加回收后场防守
4'左侧分内少，中路在给苏亚雷斯，转身回给皮克                   1'第1分钟，马拉加回收后场防守
31'罗贝托给到小马哥，推进一下，左侧给迪涅                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
31'身前找内少，横向带球，在给身后皮克                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
31'皮克交给小马哥，挑传到禁区左肋                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
31'内少跟上，倒三角传中到门前                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
31'点球点附近拉菲尼亚左脚射门被挡出                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
32'苏亚雷斯跟进再射，，卡梅尼倒地扑出                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
32'罗贝托外围在给拉菲尼亚，右侧传中到后点                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
32'迪涅争顶，被吹了越位                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
33'巴萨的进攻今天少了苏神和梅球王，，有点艰难啊                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
33'卡梅尼大脚开出                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
33'罗贝托给到中间布斯克茨，在往左侧转移                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
33'迪涅带球到前场，给到身前内少                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
33'横向带球，斜传右路找图兰                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
34'回敲给皮克，左侧再找内少                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
34'内少横敲给中路插上的皮克，挑传到禁区                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
34'维拉努埃瓦头球蹭出危险区                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
34'图兰拼抢犯规                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
34'卡梅尼大脚开出                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
34'又是直接飞出了左边线                   31'巴萨第31分钟险些破门，迪涅禁区左侧接应后场长传回敲，拉菲尼亚在门前13米处推射被卡梅尼神勇封出
57'弗纳尔斯后场长传，找桑德罗。。皮克把球回敲给特尔施特根                   57'马拉加第57分钟得到机会，胡安皮中路突破直传，胡安-卡洛斯趟过特尔施特根，禁区右侧打中边网
57'马拉加错失进球良机啊                   57'马拉加第57分钟得到机会，胡安皮中路突破直传，胡安-卡洛斯趟过特尔施特根，禁区右侧打中边网
57'胡安卡面对空门，，小角度打偏                   57'马拉加第57分钟得到机会，胡安皮中路突破直传，胡安-卡洛斯趟过特尔施特根，禁区右侧打中边网
58'马拉加中场胡安皮直塞，直接穿透巴萨防线，胡安卡禁区内闪过特尔施特根，在后卫逼抢下，小角度抽射，操之过急。偏出                   57'马拉加第57分钟得到机会，胡安皮中路突破直传，胡安-卡洛斯趟过特尔施特根，禁区右侧打中边网
58'巴萨在猛攻之下，也要注意防守啦                   57'马拉加第57分钟得到机会，胡安皮中路突破直传，胡安-卡洛斯趟过特尔施特根，禁区右侧打中边网
58'皮克前场插上，直塞给图兰                   57'马拉加第57分钟得到机会，胡安皮中路突破直传，胡安-卡洛斯趟过特尔施特根，禁区右侧打中边网
59'图兰禁区线上在做球，，被断了                   57'马拉加第57分钟得到机会，胡安皮中路突破直传，胡安-卡洛斯趟过特尔施特根，禁区右侧打中边网
59'小马哥左侧在给迪涅，和内少做撞墙配合                   57'马拉加第57分钟得到机会，胡安皮中路突破直传，胡安-卡洛斯趟过特尔施特根，禁区右侧打中边网
59'迪涅左侧下底，传中未能过前点                   57'马拉加第57分钟得到机会，胡安皮中路突破直传，胡安-卡洛斯趟过特尔施特根，禁区右侧打中边网
60'巴萨前场反抢下来，中路拉菲尼亚左侧闪开角度，射门偏出                   57'马拉加第57分钟得到机会，胡安皮中路突破直传，胡安-卡洛斯趟过特尔施特根，禁区右侧打中边网
69'带球突破，略伦特侧面过来，一个飞踹，，直接把内少掀翻                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
69'略伦特是直接被主裁红牌罚下                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
70'马拉加迅速换人，穆涅兹替下了昂提贝罗斯                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
70'还是补足后卫，撤掉中场                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
70'巴萨现在11打10，还有20分钟。这个是好机会了                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
70'左侧阿尔巴给到戈麦斯                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
71'戈麦斯禁区左侧传球，被挡出底线                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
71'巴萨角球开出，拉菲尼亚禁区内高高跃起，头球攻门，高了                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
71'卡梅尼大脚开出门球                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
71'桑德罗前场护球被皮克推倒                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
71'定位球快开，给桑德罗                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
72'拉边面对罗贝托，突破被挡出边线                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
72'恩里克把布斯克茨和内少叫到场边，布置了一番                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
72'理查左侧接应，传中进来，小马哥前点解围                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
72'布斯克茨斜传给到戈麦斯，左侧在给内少                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
72'斜塞在给前插的戈麦斯，倒三角传中进来                   69'第69分钟，内马尔中场带球突破，迭戈-略伦特侧面将其铲倒，被直接红牌罚下
83'连续的突破，在搓到禁区，戈麦斯胸部停球，在射。。。又造成角球                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
83'左侧角球再来，第一点被解围                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
84'外围戈麦斯半高球在送进来，皮克争顶偏出                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
84'布斯克茨中路给到小马哥                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
84'小马哥再送到禁区，长传冲吊很坚决                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
84'戈麦斯中路抢在门将之前头球攻门，击中横梁。。                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
85'皮克再补，，进了。。。但是吹了皮克越位                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
85'皮克还真是一个合格的中锋啊，这敏锐的嗅觉                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
85'左侧内少接球，晃开防守，在传中                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
85'拉基蒂奇远端把球拿下，低球在传进来，被维拉努埃瓦解围                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
86'布斯克茨边路在给图兰，右侧给到禁区内                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
86'皮克插上门前倒地了。。。裁判还是不吹                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
86'反而是给了皮克前插的犯规，吹了皮克对维拉努埃瓦的冲撞犯规                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
86'比赛算上补时还有不到10分钟                   83'第83分钟，马斯切拉诺挑传过顶，安德烈-戈麦斯在门前9米处头球击中右门柱，皮克补进空门，但安德烈-戈麦斯被吹越位，进球无效
48'横敲到中间，被挡出底线                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
48'右侧角球，给到禁区内，前点小马哥回头望月，高了                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
49'前锋不给力啊，难道需要小马哥和皮克这俩后场杀手解决问题吗                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
49'皮克后场推进，中路给小马哥，推进到前场                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
49'左侧在给内少，内切突破，回敲迪涅                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
49'在给小马哥，还是找皮克，右侧给拉菲尼亚                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
50'中路突破，转移到左侧，破大巴还是要利用场地宽度                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
50'内少左侧拿球，面对防守，往内线一趟，弧线球搓远角                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
50'角度不错，但力量欠缺，被卡梅尼没收                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
51'昂提沃罗斯右侧拿球，直塞向前找胡安皮                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
51'皮克把球铲出底线                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
51'马拉加右侧战术角球                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
51'右路传中被小马哥解围，罗萨莱斯跟上远射，打高                   48'补时第3分钟，安德烈-戈麦斯右路斜传，内马尔后点距门5米处头球又被卡梅尼神奇捞出
