1'AC米兰球员阿巴特一脚直塞球给巴卡,但是边裁举旗显示后者已经越位.                   1'第1分钟两队直接展开高节奏对抗
35'AC米兰球员本田圭佑大禁区中央左脚射门,被防守球员封堵.给他传球的是阿巴特.                   35'AC米兰第35分钟首次射正就取得领先
35'米兰达将球处理出底线,AC米兰获得角球.                   35'AC米兰第35分钟首次射正就取得领先
35'进球啦！！！AC米兰球员阿莱士球门线跟前头球,球从左上角飞进球门,球进了!助攻的是本田圭佑. AC米兰 1-0 国际米兰.                   35'AC米兰第35分钟首次射正就取得领先
37'尼昂为AC米兰在左路,赢得一个任意球.                   35'AC米兰第35分钟首次射正就取得领先
37'国际米兰球员米兰达拼抢犯规,对手获得控球权.                   35'AC米兰第35分钟首次射正就取得领先
37'AC米兰球员尼昂拼抢犯规,对手获得控球权.                   35'AC米兰第35分钟首次射正就取得领先
37'米兰达为国际米兰赢得一个任意球.                   35'AC米兰第35分钟首次射正就取得领先
53'AC米兰球员库奇卡拼抢犯规,对手获得控球权.                   50'下半时开始5分钟，阿莱士后场回传，唐纳鲁马解围踢呲，埃德尔禁区左侧飞身够球，与唐纳鲁马接触倒地，主裁判达马托有些犹豫，与助理裁判沟通后没判点球
53'布罗佐维奇为国际米兰赢得一个任意球.                   50'下半时开始5分钟，阿莱士后场回传，唐纳鲁马解围踢呲，埃德尔禁区左侧飞身够球，与唐纳鲁马接触倒地，主裁判达马托有些犹豫，与助理裁判沟通后没判点球
69'射门!!!国际米兰球员伊卡尔迪大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是利亚伊奇.                   69'第69分钟，利亚伊奇直传，伊卡尔迪突入禁区右侧斜射被唐纳鲁马扑出，跟进射门被阿莱士勾倒，点球
69'AC米兰球员阿莱士犯规,致使对方获得点球.                   69'第69分钟，利亚伊奇直传，伊卡尔迪突入禁区右侧斜射被唐纳鲁马扑出，跟进射门被阿莱士勾倒，点球
69'点球,伊卡尔迪在禁区内被侵犯,国际米兰获得点球.                   69'第69分钟，利亚伊奇直传，伊卡尔迪突入禁区右侧斜射被唐纳鲁马扑出，跟进射门被阿莱士勾倒，点球
70'国际米兰球员Penalty missed! Still  Milan 1, Inter Milan 0. Mauro Icardi右脚射门,命中门柱右侧立柱.                   69'第69分钟，利亚伊奇直传，伊卡尔迪突入禁区右侧斜射被唐纳鲁马扑出，跟进射门被阿莱士勾倒，点球
71'AC米兰球员巴卡大禁区左侧右脚射门,被防守球员封堵.给他传球的是博纳文图拉.                   69'第69分钟，利亚伊奇直传，伊卡尔迪突入禁区右侧斜射被唐纳鲁马扑出，跟进射门被阿莱士勾倒，点球
73'进球啦！！！AC米兰球员巴卡球门线跟前左脚射门,球从右上角飞进球门,球进了!助攻的是尼昂. AC米兰 2-0 国际米兰.                   73'第73分钟，尼昂右路弧线球传中，巴卡在门前4米处飞身左膝撞射破门，2比0，这是他近7轮第5球，AC米兰此役前2次射正全部进球
74'库奇卡将球处理出底线,国际米兰获得角球.                   73'第73分钟，尼昂右路弧线球传中，巴卡在门前4米处飞身左膝撞射破门，2比0，这是他近7轮第5球，AC米兰此役前2次射正全部进球
74'国际米兰球员埃德大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是利亚伊奇.                   73'第73分钟，尼昂右路弧线球传中，巴卡在门前4米处飞身左膝撞射破门，2比0，这是他近7轮第5球，AC米兰此役前2次射正全部进球
76'射门!!!AC米兰球员尼昂大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是博纳文图拉.                   73'第73分钟，尼昂右路弧线球传中，巴卡在门前4米处飞身左膝撞射破门，2比0，这是他近7轮第5球，AC米兰此役前2次射正全部进球
