5'洛伦特右翼横拔，比达尔前插连停带过过了梅德尔横扫门前，特维斯抢前点弹射破门                   5'尤文第5分钟取得领先
6'特维斯打进了本赛季个人第11个进球                   5'尤文第5分钟取得领先
6'埃夫拉左路得球交给皮尔洛，再回给埃夫拉                   5'尤文第5分钟取得领先
6'博格巴横传球失误了，但伊卡尔迪也马上陷入包围圈                   5'尤文第5分钟取得领先
7'德安布罗西奥左路助攻上来传中被利希斯泰纳拦截出边线                   5'尤文第5分钟取得领先
8'拉诺齐亚长传前场，伊卡尔迪头球后蹭没有队友跟进                   5'尤文第5分钟取得领先
8'博努奇头球回点给布冯                   5'尤文第5分钟取得领先
8'皮尔洛送一记过顶，汉达诺维奇轻松将球没收                   5'尤文第5分钟取得领先
12'皮尔洛角球发前点，大家都漏了，后点比达尔胸部停球下来再抽射被德安布罗西奥挡高越过横梁                   12'第12分钟，皮尔洛右侧开出角球，比达尔在门前12米处胸部停球抽射，球碰丹布罗西奥弹起，汉达诺维奇指尖托出横梁
12'尤文图斯的战术角球，博格巴斜塞没有塞过去                   12'第12分钟，皮尔洛右侧开出角球，比达尔在门前12米处胸部停球抽射，球碰丹布罗西奥弹起，汉达诺维奇指尖托出横梁
13'坎帕尼亚罗边线球掷到中场，尤文图斯又将球拿到，博努奇交给埃夫拉                   12'第12分钟，皮尔洛右侧开出角球，比达尔在门前12米处胸部停球抽射，球碰丹布罗西奥弹起，汉达诺维奇指尖托出横梁
13'埃夫拉与博格巴的配合，被坎帕尼亚罗倒地铲留球，科瓦契奇带球推进，但裁判哨响                   12'第12分钟，皮尔洛右侧开出角球，比达尔在门前12米处胸部停球抽射，球碰丹布罗西奥弹起，汉达诺维奇指尖托出横梁
14'吹罚了坎帕尼亚罗铲球犯规，科瓦契奇向边裁嚷了几句                   12'第12分钟，皮尔洛右侧开出角球，比达尔在门前12米处胸部停球抽射，球碰丹布罗西奥弹起，汉达诺维奇指尖托出横梁
14'坎帕尼亚罗右路得球，瓜林接应一下                   12'第12分钟，皮尔洛右侧开出角球，比达尔在门前12米处胸部停球抽射，球碰丹布罗西奥弹起，汉达诺维奇指尖托出横梁
14'科瓦契奇长传，博努奇头球点一下                   12'第12分钟，皮尔洛右侧开出角球，比达尔在门前12米处胸部停球抽射，球碰丹布罗西奥弹起，汉达诺维奇指尖托出横梁
15'博格巴护球有点磕碰，瓜林踢人犯规                   12'第12分钟，皮尔洛右侧开出角球，比达尔在门前12米处胸部停球抽射，球碰丹布罗西奥弹起，汉达诺维奇指尖托出横梁
15'尤文图斯左路发动进攻，博格巴交给洛伦特，洛伦特转身后趟大了                   12'第12分钟，皮尔洛右侧开出角球，比达尔在门前12米处胸部停球抽射，球碰丹布罗西奥弹起，汉达诺维奇指尖托出横梁
34'这球比达尔打得角度比较正                   34'第34分钟，埃弗拉传球，比达尔禁区左侧抽射被汉达诺维奇扑出
34'皮尔洛前场断球进了禁区下底挑一个倒三角，队友没有领会他的意图                   34'第34分钟，埃弗拉传球，比达尔禁区左侧抽射被汉达诺维奇扑出
35'国米后卫尽是失误，博格巴在对方前沿断球并一个牛尾巴过人进了禁区                   34'第34分钟，埃弗拉传球，比达尔禁区左侧抽射被汉达诺维奇扑出
36'博格巴单刀球打门被汉达诺维奇封堵出底线                   34'第34分钟，埃弗拉传球，比达尔禁区左侧抽射被汉达诺维奇扑出
36'皮尔洛发后点，德安布罗西奥将球蹭一下                   34'第34分钟，埃弗拉传球，比达尔禁区左侧抽射被汉达诺维奇扑出
37'后点比达尔传中，球被拉诺齐亚顶出底线                   34'第34分钟，埃弗拉传球，比达尔禁区左侧抽射被汉达诺维奇扑出
37'战术角球，皮尔洛做晃动过人，这不是他强项，只能回传中场                   34'第34分钟，埃弗拉传球，比达尔禁区左侧抽射被汉达诺维奇扑出
54'国际米兰换人，11号波多尔斯基替下了17号库兹曼诺维奇                   54'下半时开始后，波多尔斯基脱下外套热身，第54分钟替补出场，换下库兹曼诺维奇
55'德安布罗西奥带球上来，效果不错分给波多尔斯基                   54'下半时开始后，波多尔斯基脱下外套热身，第54分钟替补出场，换下库兹曼诺维奇
55'波多尔斯基传中过不了博努奇                   54'下半时开始后，波多尔斯基脱下外套热身，第54分钟替补出场，换下库兹曼诺维奇
55'比达尔要到球长传上前，拉诺齐亚将球破坏出边线                   54'下半时开始后，波多尔斯基脱下外套热身，第54分钟替补出场，换下库兹曼诺维奇
55'界外球进来，博格巴自己滑倒                   54'下半时开始后，波多尔斯基脱下外套热身，第54分钟替补出场，换下库兹曼诺维奇
56'德安布罗西奥左路的传中，埃尔纳内斯刚进禁区头球攻门，偏离目标比较多                   54'下半时开始后，波多尔斯基脱下外套热身，第54分钟替补出场，换下库兹曼诺维奇
57'国际米兰到目前为止只有三脚射门，而且全部没有打正门框                   54'下半时开始后，波多尔斯基脱下外套热身，第54分钟替补出场，换下库兹曼诺维奇
57'波多尔斯基在前场积极拼抢，不过也只能将球碰一下出边线                   54'下半时开始后，波多尔斯基脱下外套热身，第54分钟替补出场，换下库兹曼诺维奇
64'国际米兰不经意间扳平了比分，伊卡尔迪                   64'国米第64分钟扳平比分
65'中场靠右的位置，瓜林直塞到禁区右侧，伊卡尔迪抢在博努奇之前小角度打远角球进                   64'国米第64分钟扳平比分
65'伊卡尔迪是抓住稍纵即逝的机会破门                   64'国米第64分钟扳平比分
65'这是伊卡尔迪个人在本赛季第9粒联赛进球                   64'国米第64分钟扳平比分
66'镜头分别捕捉到曼奇尼和阿莱格里尼                   64'国米第64分钟扳平比分
66'伊卡尔迪中场争高球甩肘击中了利希斯泰纳                   64'国米第64分钟扳平比分
67'主裁判黄牌警告伊卡尔迪                   64'国米第64分钟扳平比分
67'皮尔洛任意球斜传，胡安顶到第一点                   64'国米第64分钟扳平比分
67'比达尔传球右路，特维斯将球捞回来                   64'国米第64分钟扳平比分
68'莫拉塔得球变向过人，拉诺齐亚用身体扛倒了莫拉塔                   68'第68分钟，拉诺基亚推倒莫拉塔，也吃到黄牌，下轮无缘出战热那亚，皮尔洛右侧距门25米处主罚任意球被汉达诺维奇托出横梁
68'拉诺齐亚也吃到一张黄牌                   68'第68分钟，拉诺基亚推倒莫拉塔，也吃到黄牌，下轮无缘出战热那亚，皮尔洛右侧距门25米处主罚任意球被汉达诺维奇托出横梁
68'拉诺齐亚下场比赛将累计黄牌停赛                   68'第68分钟，拉诺基亚推倒莫拉塔，也吃到黄牌，下轮无缘出战热那亚，皮尔洛右侧距门25米处主罚任意球被汉达诺维奇托出横梁
69'特维斯与波多尔斯基发生一点口角，很快被平息                   68'第68分钟，拉诺基亚推倒莫拉塔，也吃到黄牌，下轮无缘出战热那亚，皮尔洛右侧距门25米处主罚任意球被汉达诺维奇托出横梁
69'皮尔洛没有传中而是直接打电梯球攻门，汉达诺维奇没有走神，将球挡出底线                   68'第68分钟，拉诺基亚推倒莫拉塔，也吃到黄牌，下轮无缘出战热那亚，皮尔洛右侧距门25米处主罚任意球被汉达诺维奇托出横梁
70'皮尔洛角球传中也是被胡安顶出来                   68'第68分钟，拉诺基亚推倒莫拉塔，也吃到黄牌，下轮无缘出战热那亚，皮尔洛右侧距门25米处主罚任意球被汉达诺维奇托出横梁
70'马尔基西奥再送右肋部，让皮尔洛去追，勉为其难了                   68'第68分钟，拉诺基亚推倒莫拉塔，也吃到黄牌，下轮无缘出战热那亚，皮尔洛右侧距门25米处主罚任意球被汉达诺维奇托出横梁
71'莫拉塔带球进了禁区倒地，裁判果断判断是莫拉塔假摔                   68'第68分钟，拉诺基亚推倒莫拉塔，也吃到黄牌，下轮无缘出战热那亚，皮尔洛右侧距门25米处主罚任意球被汉达诺维奇托出横梁
71'黄牌及时送上！                   68'第68分钟，拉诺基亚推倒莫拉塔，也吃到黄牌，下轮无缘出战热那亚，皮尔洛右侧距门25米处主罚任意球被汉达诺维奇托出横梁
81'马尔基西奥也尝试带球突破，没有成功                   81'第81分钟，波多尔斯基几乎助攻国米反超
81'莫拉塔右路护球，回传给利希斯泰纳                   81'第81分钟，波多尔斯基几乎助攻国米反超
81'波多尔斯基前场断球，送到后点，伊卡尔迪倒地铲射居然打偏了                   81'第81分钟，波多尔斯基几乎助攻国米反超
